instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"No record of a paper with the title 'Diffurecsys: Diffusion-based generative modeling for sequential recommendation' exists, and the provided DOI (10.1145/3545678.3557899) resolves to a different ACM article, not a WWW 2024 paper. Moreover, WWW 2024 articles use proceedings DOI prefix 10.1145/3589334.*, so the venue–year–DOI combination is inconsistent.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""No record of a paper with the title 'Diffurecsys: Diffusion-based generative modeling for sequential recommendation' exists, and the provided DOI (10.1145/3545678.3557899) resolves to a different ACM article, not a WWW 2024 paper. Moreover, WWW 2024 articles use proceedings DOI prefix 10.1145/3589334.*, so the venue–year–DOI combination is inconsistent."",
  ""confidence"": ""high""
}",46036,2270,0.200245,156.805,12,"[""Diffurecsys Diffusion-based generative modeling for sequential recommendation"", ""10.1145/3545678.3557899"", ""site:dl.acm.org 10.1145/3545678.3557899"", ""\""10.1145/3545678\"""", ""\""Diffurecsys: Diffusion-based generative modeling for sequential recommendation\"""", ""Majid Zolghadr recommendation"", ""Zolghadr diffusion recommendation sequential"", ""Proceedings of the ACM Web Conference 2024 DOI 10.1145"", ""Mohsen Jamali recommendation 2024 WWW"", ""\""10.1145/3545678\"" ACM"", ""\""3557899\"" DOI""]",,False,,
1,s2_real,valid,valid,valid,"The DOI 10.3390/ijms21010038 resolves to an IJMS article with the exact title and author list given, published as Int. J. Mol. Sci. 21(1):38. It appears online on December 19, 2019 (often cited as 2020 due to the volume), but all fields are mutually consistent and describe a real paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI 10.3390/ijms21010038 resolves to an IJMS article with the exact title and author list given, published as Int. J. Mol. Sci. 21(1):38. It appears online on December 19, 2019 (often cited as 2020 due to the volume), but all fields are mutually consistent and describe a real paper."",
  ""confidence"": ""high""
}",29963,1761,0.145064,49.373,9,"[""10.3390/ijms21010038"", ""MDPI IJMS 10.3390/ijms21010038"", ""ijms 21 1 38 Endo Ohya Kito MDPI 10.3390/ijms21010038 site:mdpi.com"", ""site:mdpi.com 1422-0067/21/1/38""]",,False,,
2,s2_real,valid,fabricated,fabricated,"The paper exists in the Chinese journal Environmental Science & Technology (环境科学与技术), 2014, 37(6):183–190, but the authors are Li Yonghong, Chen Yalin, Fu Zeqiang, and Xiang Bao—not “Liu Yonghon.” Since the title matches but the author list is wrong, the reference is inconsistent.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The paper exists in the Chinese journal Environmental Science & Technology (环境科学与技术), 2014, 37(6):183–190, but the authors are Li Yonghong, Chen Yalin, Fu Zeqiang, and Xiang Bao—not “Liu Yonghon.” Since the title matches but the author list is wrong, the reference is inconsistent."",
  ""confidence"": ""high""
}",17885,1730,0.069656,33.601,3,"[""Optimization of Chengdu Landscape Patterns Based on the Modern Garden City"", ""现代田园城市 成都市 景观 格局 优化 2014 环境科学与技术""]",,False,,
3,neurips,fabricated,fabricated,fabricated,"The Journal of Trading stopped publication in 2018, so a 2019 volume 14(4) issue does not exist. Moreover, Petter Kolm’s 2019 reinforcement-learning hedging article is in The Journal of Financial Data Science with Gordon Ritter, not with Sebastian Krügel and Sergiy V. Zadorozhnyi, so both venue/year and authorship are inconsistent.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The Journal of Trading stopped publication in 2018, so a 2019 volume 14(4) issue does not exist. Moreover, Petter Kolm’s 2019 reinforcement-learning hedging article is in The Journal of Financial Data Science with Gordon Ritter, not with Sebastian Krügel and Sergiy V. Zadorozhnyi, so both venue/year and authorship are inconsistent."",
  ""confidence"": ""high""
}",50067,2997,0.202554,70.123,11,"[""Reinforcement learning for optimal hedging Journal of Trading 2019 Kolm Krügel Zadorozhnyi"", ""site:jotr.pm-research.com Reinforcement learning for optimal hedging"", ""\""Journal of Trading\"" 14(4) 2019"", ""Sebastian Krügel Journal of Trading 2019"", ""\""The Journal of Trading\"" 14 4 2019 site:pm-research.com"", ""site:pm-research.com \""The Journal of Trading\"" 2019"", ""\""Sebastian Krügel\"" hedging reinforcement"", ""\""Reinforcement learning for optimal hedging\"" Kolm"", ""\""The Journal of Trading\"" 14(4)"", ""\""The Journal of Trading\"" 2019 14(4) site:doi.org"", ""\""Sergiy V Zadorozhnyi\"" finance hedging""]",,False,,
4,s2_real,valid,fabricated,fabricated,"The real 'Handbook of Disruptive Behavior Disorders' is an edited book by Herbert C. Quay and Anne E. Hogan published by Springer in 1999 (with later reprints), not a 2016 in-proceedings by M. Wagner. The author, year, and publication type are inconsistent with the known work.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The real 'Handbook of Disruptive Behavior Disorders' is an edited book by Herbert C. Quay and Anne E. Hogan published by Springer in 1999 (with later reprints), not a 2016 in-proceedings by M. Wagner. The author, year, and publication type are inconsistent with the known work."",
  ""confidence"": ""high""
}",13414,994,0.046707,35.138,2,"[""Handbook of Disruptive Behavior Disorders 2016"", ""M. Wagner disruptive behavior disorders""]",,False,,
5,s2_real,valid,valid,valid,"The DOI 10.3727/108354217X14955605216159 resolves to a Tourism Analysis article (2017, vol. 22, no. 3, pp. 429–433) with the same title and author list (Mazumder; Su; Abul Bashar Bhuiyan; Mamunur Rashid; Abdullah Al‑Mamun). The venue, year, pagination, and lack of arXiv ID are consistent with the publisher’s record.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI 10.3727/108354217X14955605216159 resolves to a Tourism Analysis article (2017, vol. 22, no. 3, pp. 429–433) with the same title and author list (Mazumder; Su; Abul Bashar Bhuiyan; Mamunur Rashid; Abdullah Al‑Mamun). The venue, year, pagination, and lack of arXiv ID are consistent with the publisher’s record."",
  ""confidence"": ""high""
}",30901,2027,0.138896,51.108,8,"[""10.3727/108354217X14955605216159"", ""site:ingentaconnect.com Economy-wide Impact of Tourism in Malaysia: An Input-output Analysis"", ""ingentaconnect Tourism Analysis 2017 22 3 Economy-wide Impact of Tourism in Malaysia"", ""\""Economy-wide Impact of Tourism in Malaysia: An Input–output Analysis\"""", ""10.3727/108354217X14955605216159 Tourism Analysis""]",,False,,
6,s2_real,valid,valid,valid,"This is a real Stata SSC module: 'FRACLOGIT: Stata module to estimate fractional logit model' by Daniel (D.) Powers, first released in 2012. The title, author, and year match; it is a software component (SSC/RePEc), not a conference paper, which explains the missing venue/DOI.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a real Stata SSC module: 'FRACLOGIT: Stata module to estimate fractional logit model' by Daniel (D.) Powers, first released in 2012. The title, author, and year match; it is a software component (SSC/RePEc), not a conference paper, which explains the missing venue/DOI."",
  ""confidence"": ""high""
}",10869,1289,0.046476,26.469,2,"[""FRACLOGIT: Stata module to estimate fractional logit model""]",,False,,
7,s2_real,valid,valid,valid,"This article exists in LWT (Vol. 59, Issue 2, 2014) with the same title, authors (Gomes, Pflanzer, de Felício, Bolini), pages (629–634), and the DOI 10.1016/j.lwt.2014.07.007. The fields are mutually consistent and correctly describe the paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This article exists in LWT (Vol. 59, Issue 2, 2014) with the same title, authors (Gomes, Pflanzer, de Felício, Bolini), pages (629–634), and the DOI 10.1016/j.lwt.2014.07.007. The fields are mutually consistent and correctly describe the paper."",
  ""confidence"": ""high""
}",17942,1082,0.083248,41.176,5,"[""Temporal changes of tenderness and juiciness of beef strip loin steaks"", ""10.1016/J.LWT.2014.07.007 crossref""]",,False,,
8,iclr2026,fabricated,fabricated,fabricated,"The provided arXiv ID (2309.12345) resolves to a different paper titled “Antagonising explanation and revealing bias directly through sequencing and multimodal inference” by Luís Arandas, Mick Grierson, and Miguel Carvalhais (submitted Aug 25, 2023), not the given title or authors.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The provided arXiv ID (2309.12345) resolves to a different paper titled “Antagonising explanation and revealing bias directly through sequencing and multimodal inference” by Luís Arandas, Mick Grierson, and Miguel Carvalhais (submitted Aug 25, 2023), not the given title or authors."",
  ""confidence"": ""high""
}",11883,1005,0.044904,27.507,2,"[""arXiv 2309.12345""]",,False,,
9,s2_real,valid,valid,valid,"The DOI 10.1093/jmammal/gyw184 resolves to a Journal of Mammalogy article with the same title and author list; the article appears in volume 98(2), pages 464–474. The official issue year is 2017, with online publication on December 30, 2016, explaining the year discrepancy.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI 10.1093/jmammal/gyw184 resolves to a Journal of Mammalogy article with the same title and author list; the article appears in volume 98(2), pages 464–474. The official issue year is 2017, with online publication on December 30, 2016, explaining the year discrepancy."",
  ""confidence"": ""high""
}",15896,1235,0.06222,24.354,3,"[""10.1093/jmammal/gyw184"", ""site:academic.oup.com 10.1093/jmammal/gyw184""]",,False,,
10,neurips,fabricated,fabricated,fabricated,"The arXiv ID 2406.07887 corresponds to the paper 'An Empirical Study of Mamba-based Language Models' by Roger Waleffe et al., not the provided title, and the listed authors (e.g., Manning, Ré, Smith, Kyrola) do not match the actual author list. Therefore the identifiers and metadata are inconsistent.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID 2406.07887 corresponds to the paper 'An Empirical Study of Mamba-based Language Models' by Roger Waleffe et al., not the provided title, and the listed authors (e.g., Manning, Ré, Smith, Kyrola) do not match the actual author list. Therefore the identifiers and metadata are inconsistent."",
  ""confidence"": ""high""
}",20662,1156,0.077387,106.654,4,"[""arXiv:2406.07887"", ""arXiv 2406.07887 Tri Dao"", ""An empirical study of state space models for large language modeling""]",,False,,
11,s2_real,valid,fabricated,fabricated,"The DOI 10.1007/s11626-017-0160-3 corresponds to the 2017 In Vitro Biology Meeting Abstract Issue section titled “Education Silent Abstracts,” which has no single set of authors. The listed authors (Roldán, Oviedo, Ruiz) belong to one specific abstract in that section titled “Healing Effect of Chitosan Gel Produced by an Environmental Friendly Method,” not to a paper titled “Education Silent Abstracts.” Thus the title–author pairing is inconsistent.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The DOI 10.1007/s11626-017-0160-3 corresponds to the 2017 In Vitro Biology Meeting Abstract Issue section titled “Education Silent Abstracts,” which has no single set of authors. The listed authors (Roldán, Oviedo, Ruiz) belong to one specific abstract in that section titled “Healing Effect of Chitosan Gel Produced by an Environmental Friendly Method,” not to a paper titled “Education Silent Abstracts.” Thus the title–author pairing is inconsistent."",
  ""confidence"": ""high""
}",46791,2882,0.207309,85.578,12,"[""10.1007/s11626-017-0160-3"", ""\""10.1007/s11626-017-0160-3\"""", ""site:link.springer.com s11626-017-0160-3"", ""\""Education Silent Abstracts\"" 2017 In Vitro Cell Dev Biol Anim DOI"", ""s11626-017-0160-3 site:link.springer.com"", ""\""In Vitro Cell.Dev.Biol.—Animal\"" DOI 10.1007/s11626-017-0160-3"", ""Crossref 10.1007/s11626-017-0160-3"", ""\""In Vitro Cell Dev Biol Anim\"" 2017 abstract issue Education Silent Abstracts pages 45-46""]",,False,,
