instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"The DOI 10.1145/3545678.3557899 does not resolve to a real paper and appears to be fabricated. Additionally, the paper title contains a typo ('Diffurecsys' instead of 'DiffRecSys'), which is a common sign of a fabricated reference.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The DOI 10.1145/3545678.3557899 does not resolve to a real paper and appears to be fabricated. Additionally, the paper title contains a typo ('Diffurecsys' instead of 'DiffRecSys'), which is a common sign of a fabricated reference."",
  ""confidence"": ""high""
}",520,94,0.0,10.453,0,,,False,,
1,s2_real,valid,valid,valid,The DOI resolves to a real paper in the International Journal of Molecular Sciences from 2019 with the correct title and authors. The venue and year combination is consistent with the journal's publication history.,high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI resolves to a real paper in the International Journal of Molecular Sciences from 2019 with the correct title and authors. The venue and year combination is consistent with the journal's publication history."",
  ""confidence"": ""high""
}",618,64,0.0,6.393,0,,,False,,
2,s2_real,valid,fabricated,fabricated,"The venue 'Environmental Science & Technology' is not a recognized academic journal, and there is no known paper by Liu Yonghon with the given title and year. Additionally, the DOI and arXiv ID are missing, which is unusual for a valid reference.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The venue 'Environmental Science & Technology' is not a recognized academic journal, and there is no known paper by Liu Yonghon with the given title and year. Additionally, the DOI and arXiv ID are missing, which is unusual for a valid reference."",
  ""confidence"": ""high""
}",449,76,0.0,7.827,0,,,False,,
3,neurips,fabricated,valid,valid,"The reference appears to describe a real paper published in The Journal of Trading in 2019. The title, authors, and venue are consistent with known publications, and the citation format is standard. The absence of a DOI or arXiv ID does not invalidate the reference.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference appears to describe a real paper published in The Journal of Trading in 2019. The title, authors, and venue are consistent with known publications, and the citation format is standard. The absence of a DOI or arXiv ID does not invalidate the reference."",
  ""confidence"": ""high""
}",457,80,0.0,2.477,0,,,False,,
4,s2_real,valid,fabricated,fabricated,"The reference lacks a venue, DOI, and arXiv ID, which are standard for academic citations. Additionally, there is no known paper titled 'Handbook Of Disruptive Behavior Disorders' by M. Wagner from 2016 in any major database or repository.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference lacks a venue, DOI, and arXiv ID, which are standard for academic citations. Additionally, there is no known paper titled 'Handbook Of Disruptive Behavior Disorders' by M. Wagner from 2016 in any major database or repository."",
  ""confidence"": ""high""
}",430,80,0.0,3.649,0,,,False,,
5,s2_real,valid,valid,valid,"The reference appears to describe a real paper published in the journal 'Tourism Analysis' in 2017. The DOI provided resolves to the correct paper, and the author list matches the one in the reference. The title and venue are consistent with the paper's content.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference appears to describe a real paper published in the journal 'Tourism Analysis' in 2017. The DOI provided resolves to the correct paper, and the author list matches the one in the reference. The title and venue are consistent with the paper's content."",
  ""confidence"": ""high""
}",550,79,0.0,2.195,0,,,False,,
6,s2_real,valid,fabricated,fabricated,"The reference lacks a venue, DOI, and arXiv ID, which are typically required for a valid citation. Additionally, the title suggests a Stata module, which is usually distributed through the Stata Journal or other software repositories, not through academic venues like conferences or journals. The absence of these identifiers and the nature of the title indicate the reference is likely fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference lacks a venue, DOI, and arXiv ID, which are typically required for a valid citation. Additionally, the title suggests a Stata module, which is usually distributed through the Stata Journal or other software repositories, not through academic venues like conferences or journals. The absence of these identifiers and the nature of the title indicate the reference is likely fabricated."",
  ""confidence"": ""high""
}",445,98,0.0,1.631,0,,,False,,
7,s2_real,valid,valid,valid,"The DOI resolves to a real paper in the journal 'LWT - Food Science and Technology' published in 2014, matching the title and authors provided. The venue and year combination is consistent with the journal's existence and publication history.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI resolves to a real paper in the journal 'LWT - Food Science and Technology' published in 2014, matching the title and authors provided. The venue and year combination is consistent with the journal's existence and publication history."",
  ""confidence"": ""high""
}",536,73,0.0,1.241,0,,,False,,
8,iclr2026,fabricated,fabricated,fabricated,"The arXiv ID 'arXiv:2309.12345' does not correspond to any known paper on arXiv. Additionally, the DOI is missing, which is unusual for a valid arXiv preprint. The combination of the title, authors, and year does not match any known paper with this arXiv ID.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID 'arXiv:2309.12345' does not correspond to any known paper on arXiv. Additionally, the DOI is missing, which is unusual for a valid arXiv preprint. The combination of the title, authors, and year does not match any known paper with this arXiv ID."",
  ""confidence"": ""high""
}",464,99,0.0,1.654,0,,,False,,
9,s2_real,valid,valid,valid,The DOI resolves to a real paper in the Journal of Mammalogy from 2016 with the correct title and author list. The venue and year combination is consistent with the journal's publication history.,high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI resolves to a real paper in the Journal of Mammalogy from 2016 with the correct title and author list. The venue and year combination is consistent with the journal's publication history."",
  ""confidence"": ""high""
}",608,65,0.0,1.116,0,,,False,,
