instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"The DOI 10.1145/3545678.3557899 follows the ACM Web Conference 2022 numbering pattern, not 2024, and likely resolves to a different paper. The specific title and author combination is not recognizable for WWW 2024, and the page numbers plus DOI-year mismatch indicate inconsistencies suggesting fabrication.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The DOI 10.1145/3545678.3557899 follows the ACM Web Conference 2022 numbering pattern, not 2024, and likely resolves to a different paper. The specific title and author combination is not recognizable for WWW 2024, and the page numbers plus DOI-year mismatch indicate inconsistencies suggesting fabrication."",
  ""confidence"": ""high""
}",477,100,0.001596,2.576,0,[],,False,,
1,s2_real,valid,valid,valid,"The title, author list, venue (International Journal of Molecular Sciences), year (2019), and DOI format for MDPI (10.3390/ijms21010038) are mutually consistent. IJMS volume 21 corresponds to 2019, and the paper topic and multi-author Japanese-affiliated names match typical publications in that journal.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title, author list, venue (International Journal of Molecular Sciences), year (2019), and DOI format for MDPI (10.3390/ijms21010038) are mutually consistent. IJMS volume 21 corresponds to 2019, and the paper topic and multi-author Japanese-affiliated names match typical publications in that journal."",
  ""confidence"": ""medium""
}",587,101,0.001744,2.438,0,[],,False,,
2,s2_real,valid,fabricated,fabricated,"Environmental Science & Technology is a US ACS journal focused on environmental science/engineering; a 2014 article with a single author 'Liu Yonghon' on Chengdu landscape patterns and 'Modern Garden City' is inconsistent with that venue’s scope and naming conventions. The author name also appears unusual, and no DOI/arXiv is provided, suggesting the citation was synthesized rather than a real ES&T article.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""Environmental Science & Technology is a US ACS journal focused on environmental science/engineering; a 2014 article with a single author 'Liu Yonghon' on Chengdu landscape patterns and 'Modern Garden City' is inconsistent with that venue’s scope and naming conventions. The author name also appears unusual, and no DOI/arXiv is provided, suggesting the citation was synthesized rather than a real ES&T article."",
  ""confidence"": ""medium""
}",429,114,0.001676,2.723,0,[],,False,,
3,neurips,fabricated,valid,valid,"This is a known paper in quantitative finance published in The Journal of Trading around 2019 with the listed authors and title; the citation details (volume 14, issue 4, pages 4–17) are consistent. Absence of DOI/arXiv does not indicate fabrication.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a known paper in quantitative finance published in The Journal of Trading around 2019 with the listed authors and title; the citation details (volume 14, issue 4, pages 4–17) are consistent. Absence of DOI/arXiv does not indicate fabrication."",
  ""confidence"": ""high""
}",435,89,0.001434,2.394,0,[],,False,,
4,s2_real,valid,fabricated,fabricated,"“Handbook of Disruptive Behavior Disorders” is a well-known edited academic handbook (edited by Johnny L. Matson and others) and not a 2016 conference paper by a single author “M. Wagner.” The provided entry type (Inproceedings), lone author, and year/format do not match the real work, and no standard identifiers are given.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""“Handbook of Disruptive Behavior Disorders” is a well-known edited academic handbook (edited by Johnny L. Matson and others) and not a 2016 conference paper by a single author “M. Wagner.” The provided entry type (Inproceedings), lone author, and year/format do not match the real work, and no standard identifiers are given."",
  ""confidence"": ""high""
}",412,108,0.001595,2.616,0,[],,False,,
5,s2_real,valid,valid,valid,"The citation details are internally consistent: the title, author list, year (2017), venue (Tourism Analysis), and DOI format for that journal align plausibly. The provided DOI matches the style used by Tourism Analysis and corresponds to a 2017 article, and no conflicting identifiers are present.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The citation details are internally consistent: the title, author list, year (2017), venue (Tourism Analysis), and DOI format for that journal align plausibly. The provided DOI matches the style used by Tourism Analysis and corresponds to a 2017 article, and no conflicting identifiers are present."",
  ""confidence"": ""high""
}",508,91,0.001545,2.419,0,[],,False,,
6,s2_real,valid,valid,valid,"There is a known Stata user-written module called FRACLOGIT for estimating fractional logit models, authored by D. Powers, released around 2012 in the SSC/Stata ecosystem. Such modules typically lack DOI/arXiv and are cited minimally; the fields given are consistent with a real Stata module entry.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""There is a known Stata user-written module called FRACLOGIT for estimating fractional logit models, authored by D. Powers, released around 2012 in the SSC/Stata ecosystem. Such modules typically lack DOI/arXiv and are cited minimally; the fields given are consistent with a real Stata module entry."",
  ""confidence"": ""medium""
}",427,96,0.001494,2.589,0,[],,False,,
7,s2_real,valid,valid,valid,"The article title, author list (Gomes, Pflanzer, Felício, Bolini), year (2014), journal (LWT - Food Science and Technology), and DOI format all align plausibly for an Elsevier LWT article. Volume 59 with pages 629–634 in 2014 is consistent, and the DOI pattern 10.1016/J.LWT.2014.07.007 fits LWT articles from that period.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The article title, author list (Gomes, Pflanzer, Felício, Bolini), year (2014), journal (LWT - Food Science and Technology), and DOI format all align plausibly for an Elsevier LWT article. Volume 59 with pages 629–634 in 2014 is consistent, and the DOI pattern 10.1016/J.LWT.2014.07.007 fits LWT articles from that period."",
  ""confidence"": ""medium""
}",496,124,0.00186,2.658,0,[],,False,,
8,iclr2026,fabricated,fabricated,fabricated,"The arXiv ID 2309.12345 is unlikely to correspond to this title and author list; the provided combination (title, authors, arXiv ID) does not match any well-known arXiv preprint. With no DOI and only an arXiv claim, the specific identifier-title-author alignment appears synthesized.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID 2309.12345 is unlikely to correspond to this title and author list; the provided combination (title, authors, arXiv ID) does not match any well-known arXiv preprint. With no DOI and only an arXiv claim, the specific identifier-title-author alignment appears synthesized."",
  ""confidence"": ""medium""
}",436,99,0.001535,1.878,0,[],,False,,
9,s2_real,valid,valid,valid,"The DOI 10.1093/jmammal/gyw184 corresponds to a 2016 Journal of Mammalogy article with this title and author group, and the venue/year/volume and page range are consistent. No arXiv ID is expected for this journal article.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI 10.1093/jmammal/gyw184 corresponds to a 2016 Journal of Mammalogy article with this title and author group, and the venue/year/volume and page range are consistent. No arXiv ID is expected for this journal article."",
  ""confidence"": ""high""
}",568,88,0.00159,3.135,0,[],,False,,
