id,source_paper_title,year,citation_excerpt,target_paper_title,target_paper_year
1,The enhanced surface permeability and retention effect of topically administrated nanoparticles,2025,"""Furthermore, within the body’s normal pH spectrum, cancer cells present a higher negative charge on their cell membranes, rendering them more predisposed to attachment with positively charged nanoparticles when contrasted with normal cells [CITATION] """,Characterization of Human Bladder Cell Membrane During Cancer Transformation,2015
2,Remodeling tumor microenvironment with natural products to overcome drug resistance,2022,"""The proteins encoded by Ras genes regulate different signaling pathways in malignant cells that are important for the development and progression of cancer cells, including angiogenesis, cell survival, proliferation, cell cycle distribution, and migration [CITATION]""",Modulation of K-Ras Signaling by Natural Product,2012
3,"Neutrophil, Extracellular Matrix Components, and Their Interlinked Action in Promoting Secondary Pathogenesis After Spinal Cord Injury",2021,"""Besides, this selectivity issue with MMP-9 inhibitors can also be sorted by using alternative target such as hemopexin-binding site domain (PEX-9), hemopexin domain is specific for MMP-9 and is necessary for the substrate specificity so that it can serve as an intriguing target for selective inhibition of MMP-9 [CITATION]""",Matrix metalloproteinase9 as the protein target in anti-breast cancer drug discovery: an approach by targeting hemopexin domain,2019
4,Protein Phosphorylation in Cancer: Role of Nitric Oxide Signaling Pathway,2021,"""The study showed that iNOS is phosphorylated on a tyrosine residue by Src kinase in human alveolar type II epithelium-like lung carcinoma cell line. Therefore, inhibition of Src can be a promising therapy at the late stage of lung cancer [CITATION].""",Src Kinase-mediated Phosphorylation Stabilizes Inducible Nitric-oxide Synthase in Normal Cells and Cancer Cells,2010
5,Hub metastatic gene signature and risk score of breast cancer patients with small tumor sizes using WGCNA,2024,"""Schisandrin A (SchA), a good anti-cancer drug, significantly down-regulated EGFR, PIK3R1, and MMP9 but up-regulated cleaved-caspase 3, thus inhibiting the migration and promoting the apoptosis of MDA-MB-231 cells [CITATION].""",Bio-informatics and in Vitro Experiments Reveal the Mechanism of Schisandrin A Against MDA-MB-231 cells,2021
6,A protein restricted diet induces a stable increased fat storage phenotype in flies,2023,"""On a positive note, challenges and outcomes observed in both HFD and HSD increased fat storage fly models help identify them as better cancer, lipotoxicity and glucotoxicity fly research models [CITATION]."" ",The interplay between obesity and cancer: a fly view,2016
7,Cell death,2024,"""Enhanced apoptosis owing to MCL-1 deficiency promotes tumorigenesis in the mouse intestine [CITATION].""",MCL1 is Required for Maintenance of Intestinal Homeostasis and Prevention of Carcinogenesis in Mice,2020
8,Characterization of bioactive fatty acid metabolites produced by the halophilic Idiomarina sp. OM679414.1 for their antimicrobial and anticancer activity,2023,"""The fatty acids, palmitic acid, margaric acid, a similar compound to heptadecanoic acid (HDA), and stearic acid, sourced from Pacific oysters (Crassostrea gigas), have been reported to increase apoptosis in human prostate cancer cells (PC3) [CITATION]""","Anticancer Effect of Lipids Partially Purified from Pacific Oyster, Crassostrea gigas on PC3 Cells",2010
9,Effect of Stromal Cells in Tumor Microenvironment on Metastasis Initiation,2018,"""Invasion is a process in which tumor cells migrate from one place to another by breaking the ECM or basement membrane [CITATION]""",Breast Cancer Cell Invasion into a Three Dimensional Tumor-Stroma Microenvironment,2016
10,Biomimetic gradient scaffolds for the tissue engineering and regeneration of rotator cuff enthesis,2024,"""Despite its advantageous properties, gelatin has relatively low mechanical properties and is frequently combined with other biological substances to improve the mechanical properties of the scaffold, such as calcium phosphate ceramics, alginate and chitosan [CITATION]""",Native-mimicking in vitro microenvironment: an elusive and seductive future for tumor modeling and tissue engineering,2018
