instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The paper shows that PINK1’s kinase activity and mitochondrial localization are required for recruiting Parkin to damaged mitochondria, supporting the claim that PINK1 recruits Parkin via its kinase activity on the outer mitochondrial membrane.","A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria... Consistent with necessity of PINK1's mitochondrial localization and kinase activity, exogenous expression of PINK1 KD or PINK1 DN fails to accelerate the kinetics of Parkin recruitment.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper shows that PINK1’s kinase activity and mitochondrial localization are required for recruiting Parkin to damaged mitochondria, supporting the claim that PINK1 recruits Parkin via its kinase activity on the outer mitochondrial membrane."",
  ""evidence_quote"": ""A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria... Consistent with necessity of PINK1's mitochondrial localization and kinase activity, exogenous expression of PINK1 KD or PINK1 DN fails to accelerate the kinetics of Parkin recruitment.""
}",1980,138,0.003855,7.113,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper establishes that PINK1 is upstream of Parkin and that PINK1 (including its kinase function) is required for Parkin recruitment/activation on damaged mitochondria, supporting the claim that Parkin acts downstream of PINK1 and that PINK1 kinase activity is required for many Parkin functions.","“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... These findings provide a biochemical explanation for the genetic epistasis between PINK1 and Parkin... in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper establishes that PINK1 is upstream of Parkin and that PINK1 (including its kinase function) is required for Parkin recruitment/activation on damaged mitochondria, supporting the claim that Parkin acts downstream of PINK1 and that PINK1 kinase activity is required for many Parkin functions."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... These findings provide a biochemical explanation for the genetic epistasis between PINK1 and Parkin... in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”""
}",1822,156,0.003837,3.119,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulates on damaged/depolarized mitochondria and that Parkin recruitment and Parkin-induced mitophagy are dependent on PINK1 activity, matching the claim that Parkin’s mitophagy is PINK1-dependent upon mitochondrial damage/uncoupling.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulates on damaged/depolarized mitochondria and that Parkin recruitment and Parkin-induced mitophagy are dependent on PINK1 activity, matching the claim that Parkin’s mitophagy is PINK1-dependent upon mitochondrial damage/uncoupling."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.""
}",2001,139,0.003891,6.929,
89,sarol_2024,VALID,VALID,SUPPORTED,"The paper shows that loss of mitochondrial membrane potential leads to stabilization/accumulation of PINK1 on damaged mitochondria, which recruits Parkin and induces mitophagy, matching the claim that mitochondrial stress (e.g., membrane potential inhibitors) initiates the PINK1/Parkin mitophagy pathway.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... suggesting that loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper shows that loss of mitochondrial membrane potential leads to stabilization/accumulation of PINK1 on damaged mitochondria, which recruits Parkin and induces mitophagy, matching the claim that mitochondrial stress (e.g., membrane potential inhibitors) initiates the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... suggesting that loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1.""
}",1752,135,0.00354,2.478,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulates on depolarized/damaged mitochondria and that this accumulation is necessary and sufficient for Parkin recruitment and subsequent Parkin-induced mitophagy, matching the claim that PINK1 is essential for Parkin translocation to depolarized mitochondria and for Parkin-mediated mitophagy.","“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulates on depolarized/damaged mitochondria and that this accumulation is necessary and sufficient for Parkin recruitment and subsequent Parkin-induced mitophagy, matching the claim that PINK1 is essential for Parkin translocation to depolarized mitochondria and for Parkin-mediated mitophagy."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.”""
}",2005,149,0.003996,2.403,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper reports that Parkin R275W translocates to depolarized mitochondria but impairs mitophagy, and that mutations in key cysteines (e.g., RING2/C441) disrupt recruitment, aligning with the claims about ParkinR275W and ParkinC441R behavior.",“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy…” … “Mutations in key cysteine residues in the RBR domain or deletion of RING2… severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper reports that Parkin R275W translocates to depolarized mitochondria but impairs mitophagy, and that mutations in key cysteines (e.g., RING2/C441) disrupt recruitment, aligning with the claims about ParkinR275W and ParkinC441R behavior."",
  ""evidence_quote"": ""“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy…” … “Mutations in key cysteine residues in the RBR domain or deletion of RING2… severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”""
}",2010,173,0.004242,3.117,
92,sarol_2024,VALID,VALID,SUPPORTED,"The paper studies PINK1/Parkin-mediated mitophagy and shows that deficits in this pathway (via patient mutations) cause a mitophagy deficit, implicating accumulation/turnover issues of damaged mitochondria. It explicitly links mitophagy deficits to impaired clearance of dysfunctional mitochondria.","These results suggest that the selective turnover of dysfunctional mitochondria may be balanced by the biogenesis of new mitochondria, allowing exchange of damaged, dysfunctional mitochondria for healthy, functional mitochondria.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper studies PINK1/Parkin-mediated mitophagy and shows that deficits in this pathway (via patient mutations) cause a mitophagy deficit, implicating accumulation/turnover issues of damaged mitochondria. It explicitly links mitophagy deficits to impaired clearance of dysfunctional mitochondria."",
  ""evidence_quote"": ""These results suggest that the selective turnover of dysfunctional mitochondria may be balanced by the biogenesis of new mitochondria, allowing exchange of damaged, dysfunctional mitochondria for healthy, functional mitochondria.""
}",1974,127,0.003738,4.958,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper discusses Parkin being recruited to damaged mitochondria and promoting their autophagic degradation (mitophagy), aligning with the claim that Parkin promotes degradation of impaired mitochondria via autophagy. While the sentence mentions ubiquitination-dependent autophagy, the paper’s focus on Parkin-induced mitophagy and recruitment to damaged mitochondria makes it a reasonable supporting citation.","“We recently reported that Parkin is selectively recruited to dysfunctional mitochondria with low membrane potential and, subsequently, promotes their autophagic degradation.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses Parkin being recruited to damaged mitochondria and promoting their autophagic degradation (mitophagy), aligning with the claim that Parkin promotes degradation of impaired mitochondria via autophagy. While the sentence mentions ubiquitination-dependent autophagy, the paper’s focus on Parkin-induced mitophagy and recruitment to damaged mitochondria makes it a reasonable supporting citation."",
  ""evidence_quote"": ""“We recently reported that Parkin is selectively recruited to dysfunctional mitochondria with low membrane potential and, subsequently, promotes their autophagic degradation.”""
}",2001,138,0.003881,2.442,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that stabilizing/increasing PINK1 on the mitochondrial outer membrane is sufficient to recruit Parkin even without mitochondrial depolarization, matching the claim about recruitment in the absence of uncoupling.","In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP... they indicate that increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that stabilizing/increasing PINK1 on the mitochondrial outer membrane is sufficient to recruit Parkin even without mitochondrial depolarization, matching the claim about recruitment in the absence of uncoupling."",
  ""evidence_quote"": ""In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP... they indicate that increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.""
}",1896,118,0.00355,2.399,
95,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper reports experiments in M17 human neuroblastoma cells stably transduced with control or PINK1 shRNA, matching the sentence’s reference to M17 neuroblastoma carrying shRNA for control or PINK1.",In M17 cells stably transduced with PINK1 shRNA... whereas 67.3±3.1% of control shRNA M17 cells displayed mitochondrial YFP-Parkin...,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper reports experiments in M17 human neuroblastoma cells stably transduced with control or PINK1 shRNA, matching the sentence’s reference to M17 neuroblastoma carrying shRNA for control or PINK1."",
  ""evidence_quote"": ""In M17 cells stably transduced with PINK1 shRNA... whereas 67.3±3.1% of control shRNA M17 cells displayed mitochondrial YFP-Parkin...""
}",2009,117,0.003681,2.088,
