Title,Average Review Rating,Paper Link,Citation Check Scan Link,Example of Verified Hallucination,Comment
TamperTok: Forensics-Driven Tokenized Autoregressive Framework for Image Tampering Localization,8.0,TamperTok: Forensics-Driven Tokenized Autoregressive Framework for Image Tampering Localization | OpenReview,https://app.gptzero.me/documents/4645494f-70eb-40bb-aea7-0007e13f7179/share,"Chong Zou, Zhipeng Wang, Ziyu Li, Nan Wu, Yuling Cai, Shan Shi, Jiawei Wei, Xia Sun, Jian Wang, and Yizhou Wang. Segment everything everywhere all at once. In Advances in Neural Information Processing Systems (NeurIPS), volume 36, 2023.","This paper exists, but all authors are wrong."
MixtureVitae: Open Web-Scale Pretraining Dataset With High Quality Instruction and Reasoning Data Built from Permissive Text Sources,8.0,MixtureVitae: Open Web-Scale Pretraining Dataset With High Quality Instruction and Reasoning Data Built from Permissive Text Sources | OpenReview,https://app.gptzero.me/documents/bfd10666-ea2d-454c-9ab2-75faa8b84281/share,"Dan Hendrycks, Collin Burns, Steven Basart, Andy Critch, Jerry Li, Dawn Ippolito, Aina Lapedriza, Florian Tramer, Rylan Macfarlane, Eric Jiang, et al. Measuring massive multitask language understanding. In Proceedings of the International Conference on Learning Representations (ICLR), 2021.","The paper and first 3 authors match. The last 7 authors are not on the paper, and some of them do not exist"
Catch-Only-One: Non-Transferable Examples for Model-Specific Authorization,6.0,Catch-Only-One: Non-Transferable Examples for Model-Specific Authorization | OpenReview,https://app.gptzero.me/documents/9afb1d51-c5c8-48f2-9b75-250d95062521/share,"Dinghuai Zhang, Yang Song, Inderjit Dhillon, and Eric Xing. Defense against adversarial attacks using spectral regularization. In International Conference on Learning Representations (ICLR), 2020.",No Match
OrtSAE: Orthogonal Sparse Autoencoders Uncover Atomic Features,6.0,OrtSAE: Orthogonal Sparse Autoencoders Uncover Atomic Features | OpenReview,https://app.gptzero.me/documents/e3f155d7-067a-4720-adf8-65dc9dc714b9/share,"Robert Huben, Logan Riggs, Aidan Ewart, Hoagy Cunningham, and Lee Sharkey. Sparse autoencoders can interpret randomly initialized transformers, 2025. URL https://arxiv.org/ abs/2501.17727.","This paper exists, but all authors are wrong."
Principled Policy Optimization for LLMs via Self-Normalized Importance Sampling,5.0,Principled Policy Optimization for LLMs via Self-Normalized Importance Sampling | OpenReview,https://app.gptzero.me/documents/54c8aa45-c97d-48fc-b9d0-d491d54df8d3/share,"David Rein, Stas Gaskin, Lajanugen Logeswaran, Adva Wolf, Oded teht sun, Jackson H. He, Divyansh Kaushik, Chitta Baral, Yair Carmon, Vered Shwartz, Sang-Woo Lee, Yoav Goldberg, C. J. H. un, Swaroop Mishra, and Daniel Khashabi. Gpqa: A graduate-level google-proof q\&a benchmark, 2023",All authors except the first are fabricated.
PDMBench: A Standardized Platform for Predictive Maintenance Research,4.5,PDMBench: A Standardized Platform for Predictive Maintenance Research | OpenReview,https://app.gptzero.me/documents/5c55afe7-1689-480d-ac44-9502dc0f9229/share," Andrew Chen, Andy Chow, Aaron Davidson, Arjun DCunha, Ali Ghodsi, Sue Ann Hong, Andy Konwinski, Clemens Mewald, Siddharth Murching, Tomas Nykodym, et al. Mlflow: A platform for managing the machine learning lifecycle. In Proceedings of the Fourth International Workshop on Data Management for End-to-End Machine Learning, pp. 1-4. ACM, 2018. ","Authors and conference match this paper, but title is somewhat different and the year is wrong."
IMPQ: Interaction-Aware Layerwise Mixed Precision Quantization for LLMs,4.5,IMPQ: Interaction-Aware Layerwise Mixed Precision Quantization for LLMs | OpenReview,https://app.gptzero.me/documents/5461eefd-891e-4100-ba1c-e5419af520c0/share,"Chen Zhu et al. A survey on efficient deployment of large language models. arXiv preprint arXiv:2307.03744, 2023.","The arXiv ID is real, but the paper has different authors and a different title."
C3-OWD: A Curriculum Cross-modal Contrastive Learning Framework for Open-World Detection,4.5,C3-OWD: A Curriculum Cross-modal Contrastive Learning Framework for Open-World Detection | OpenReview,https://app.gptzero.me/documents/c07521cd-2757-40a2-8dc1-41382d7eb11b/share,"K. Marino, R. Salakhutdinov, and A. Gupta. Fine-grained image classification with learnable semantic parts. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, pp. 4500-4509, 2019.",Authors and subject match this paper
TopoMHC: Sequence–Topology Fusion for MHC Binding,4.5,TopoMHC: Sequence–Topology Fusion for MHC Binding | OpenReview,https://app.gptzero.me/documents/8da4f86c-00d8-4d73-81dd-c168c0bfdf4e/share,"Yuchen Han, Yohan Kim, Dalibor Petrovic, Alessandro Sette, Morten Nielsen, and Bjoern Peters. Deepligand: a deep learning framework for peptide-mhc binding prediction. Bioinformatics, 39 (1):btac834, 2023. doi: 10.1093/bioinformatics/btac834.",No Match
Can Text-to-Video Models Generate Realistic Human Motion?,4.5,Can Text-to-Video Models Generate Realistic Human Motion? | OpenReview,https://app.gptzero.me/documents/f52aad2d-2253-44bf-80ba-8e8668df650f/share,"Yugandhar Balaji, Jianwei Yang, Zhen Xu, Menglei Chai, Zhoutong Xu, Ersin Yumer, Greg Shakhnarovich, and Deva Ramanan. Conditional gan with discriminative filter generation for text-to-video synthesis. In Proceedings of the 28th International Joint Conference on Artificial Intelligence (IJCAI), pp. 2155-2161, July 2019. doi: 10.24963/ijcai.2019/276.","This paper exists, but the authors and page numbers are wrong."
