instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The sentence cites this paper for the PINK1-dependent recruitment/activation of Parkin at damaged mitochondria, which is exactly the paper’s central finding. Although the abstract does not explicitly say “via kinase activity,” the paper is an appropriate source for PINK1 activating/recruiting Parkin to mitochondria.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The sentence cites this paper for the PINK1-dependent recruitment/activation of Parkin at damaged mitochondria, which is exactly the paper’s central finding. Although the abstract does not explicitly say “via kinase activity,” the paper is an appropriate source for PINK1 activating/recruiting Parkin to mitochondria."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1411,629,0.025925,14.259,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly supports the idea that Parkin functions downstream of PINK1 by showing that PINK1 accumulation on damaged mitochondria is necessary and sufficient for Parkin recruitment and that PINK1 signals mitochondrial dysfunction to Parkin. While the abstract does not specifically emphasize kinase activity, the citation is appropriate for the broader claim that PINK1 activates/acts upstream of Parkin.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the idea that Parkin functions downstream of PINK1 by showing that PINK1 accumulation on damaged mitochondria is necessary and sufficient for Parkin recruitment and that PINK1 signals mitochondrial dysfunction to Parkin. While the abstract does not specifically emphasize kinase activity, the citation is appropriate for the broader claim that PINK1 activates/acts upstream of Parkin."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1436,591,0.02491,10.493,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly supports the role of PINK1 in damaged-mitochondria-dependent Parkin recruitment and Parkin-mediated mitophagy, which is the substance of the cited claim. Although the abstract phrases this as PINK1 accumulation/signaling rather than explicitly saying “kinase activity,” the paper is clearly an authoritative source on PINK1 activation of Parkin on impaired mitochondria.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the role of PINK1 in damaged-mitochondria-dependent Parkin recruitment and Parkin-mediated mitophagy, which is the substance of the cited claim. Although the abstract phrases this as PINK1 accumulation/signaling rather than explicitly saying “kinase activity,” the paper is clearly an authoritative source on PINK1 activation of Parkin on impaired mitochondria."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1432,1181,0.04259,22.152,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly describes how mitochondrial damage/depolarization stabilizes PINK1, leading to Parkin recruitment and Parkin-induced mitophagy. This is appropriate support for the claim that mitochondrial stress such as membrane potential inhibition initiates the PINK1/Parkin mitophagy pathway.",PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis... while facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation... is both necessary and sufficient for Parkin recruitment,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly describes how mitochondrial damage/depolarization stabilizes PINK1, leading to Parkin recruitment and Parkin-induced mitophagy. This is appropriate support for the claim that mitochondrial stress such as membrane potential inhibition initiates the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis... while facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation... is both necessary and sufficient for Parkin recruitment""
}",1418,231,0.01402,4.634,
90,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that PINK1 is required for Parkin recruitment/translocation to damaged mitochondria and for Parkin-induced mitophagy.,"PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that PINK1 is required for Parkin recruitment/translocation to damaged mitochondria and for Parkin-induced mitophagy."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy""
}",1423,183,0.012605,4.224,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence makes specific claims about the phenotypes of ParkinR275W and ParkinC441R, but the available abstract only states generally that disease-causing Parkin mutations disrupt recruitment and mitophagy at distinct steps. It does not identify these mutants or their specific translocation/mitophagy behaviors, so the citation cannot be verified from the available information.",disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence makes specific claims about the phenotypes of ParkinR275W and ParkinC441R, but the available abstract only states generally that disease-causing Parkin mutations disrupt recruitment and mitophagy at distinct steps. It does not identify these mutants or their specific translocation/mitophagy behaviors, so the citation cannot be verified from the available information."",
  ""evidence_quote"": ""disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps""
}",1438,592,0.02495,13.131,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper describes the PINK1/Parkin pathway as a mechanism for recognizing damaged mitochondria and promoting their autophagic elimination; if this mitophagy process is disrupted, damaged mitochondria would reasonably be expected to persist/accumulate. Thus it is appropriate support for the general claim that impaired mitophagy leads to accumulation of dysfunctional mitochondria.","PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper describes the PINK1/Parkin pathway as a mechanism for recognizing damaged mitochondria and promoting their autophagic elimination; if this mitophagy process is disrupted, damaged mitochondria would reasonably be expected to persist/accumulate. Thus it is appropriate support for the general claim that impaired mitophagy leads to accumulation of dysfunctional mitochondria."",
  ""evidence_quote"": ""PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1409,189,0.012715,4.634,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper directly supports the core claim that Parkin is recruited to damaged/impaired mitochondria and promotes their autophagic elimination; this is a reasonable citation for Parkin-mediated mitophagy, even if the abstract does not spell out the ubiquitination dependence.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{""classification"":""SUPPORTED"",""reasoning"":""The cited paper directly supports the core claim that Parkin is recruited to damaged/impaired mitochondria and promotes their autophagic elimination; this is a reasonable citation for Parkin-mediated mitophagy, even if the abstract does not spell out the ubiquitination dependence."",""evidence_quote"":""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""}",1414,611,0.0254,13.13,
94,sarol_2024,VALID,VALID,SUPPORTED,"The citing sentence claims that stabilized/accumulated PINK1 on mitochondria can recruit Parkin without mitochondrial uncoupling; the cited paper directly reports that PINK1 accumulation on mitochondria is sufficient for Parkin recruitment, which supports this usage.",“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria”,"{""classification"":""SUPPORTED"",""reasoning"":""The citing sentence claims that stabilized/accumulated PINK1 on mitochondria can recruit Parkin without mitochondrial uncoupling; the cited paper directly reports that PINK1 accumulation on mitochondria is sufficient for Parkin recruitment, which supports this usage."",""evidence_quote"":""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria”""}",1410,266,0.01503,5.965,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing fragment appears to cite a source for M17 neuroblastoma cells carrying control or PINK1 shRNA, but the available information about the cited paper describes PINK1 stabilization and Parkin recruitment on damaged mitochondria, not an M17 shRNA cell line or shRNA construct. Based on the title/abstract alone, this citation does not clearly earn that slot.","Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis...","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing fragment appears to cite a source for M17 neuroblastoma cells carrying control or PINK1 shRNA, but the available information about the cited paper describes PINK1 stabilization and Parkin recruitment on damaged mitochondria, not an M17 shRNA cell line or shRNA construct. Based on the title/abstract alone, this citation does not clearly earn that slot."",
  ""evidence_quote"": ""Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis...""
}",1407,595,0.024885,11.899,
