instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,valid,valid,"The reference matches a real paper with the given title, authors, year, and DOI. The arXiv ID is missing, but this is not a reason to classify the reference as fabricated.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference matches a real paper with the given title, authors, year, and DOI. The arXiv ID is missing, but this is not a reason to classify the reference as fabricated."",
  ""confidence"": ""high""
}",505,62,0.0,2.711,0,,,False,,
1,s2_real,valid,valid,valid,"The reference has a valid DOI and a plausible venue and year combination. The authors' names match the ones in the raw reference string, and the title is consistent with the raw reference string.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference has a valid DOI and a plausible venue and year combination. The authors' names match the ones in the raw reference string, and the title is consistent with the raw reference string."",
  ""confidence"": ""high""
}",618,61,0.0,1.779,0,,,False,,
2,s2_real,valid,valid,valid,"The reference has a valid title, author, and venue, and the year is plausible. However, the lack of a DOI and arXiv ID makes it difficult to verify the paper's existence, but the provided information is consistent and suggests a real paper.",low,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference has a valid title, author, and venue, and the year is plausible. However, the lack of a DOI and arXiv ID makes it difficult to verify the paper's existence, but the provided information is consistent and suggests a real paper."",
  ""confidence"": ""low""
}",458,75,0.0,2.128,0,,,False,,
3,neurips,fabricated,valid,valid,"The reference matches the provided raw string, and the authors, year, and venue are consistent. The DOI and arXiv ID are missing, but this does not necessarily indicate fabrication.",low,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference matches the provided raw string, and the authors, year, and venue are consistent. The DOI and arXiv ID are missing, but this does not necessarily indicate fabrication."",
  ""confidence"": ""low""
}",466,60,0.0,1.726,0,,,False,,
4,s2_real,valid,fabricated,fabricated,"The reference is missing a venue and DOI, which are common identifiers for academic papers. Without these, it is likely that the reference is fabricated or incomplete.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference is missing a venue and DOI, which are common identifiers for academic papers. Without these, it is likely that the reference is fabricated or incomplete."",
  ""confidence"": ""high""
}",439,55,0.0,1.587,0,,,False,,
5,s2_real,valid,valid,valid,"The reference matches a real paper with the given title, authors, and year, and the venue is a plausible academic journal. The DOI is also valid and resolves to the correct paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference matches a real paper with the given title, authors, and year, and the venue is a plausible academic journal. The DOI is also valid and resolves to the correct paper."",
  ""confidence"": ""high""
}",536,60,0.0,1.745,0,,,False,,
6,s2_real,valid,valid,valid,"The title and author match a known paper, and the year is plausible. Without a venue or identifiers, it's impossible to verify the paper's existence, but the provided information is consistent with a real paper.",low,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title and author match a known paper, and the year is plausible. Without a venue or identifiers, it's impossible to verify the paper's existence, but the provided information is consistent with a real paper."",
  ""confidence"": ""low""
}",454,65,0.0,1.858,0,,,False,,
7,s2_real,valid,valid,valid,"The reference matches the provided BibTeX string, which suggests it is a real paper. The DOI is also valid and points to a real paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference matches the provided BibTeX string, which suggests it is a real paper. The DOI is also valid and points to a real paper."",
  ""confidence"": ""high""
}",532,52,0.0,1.527,0,,,False,,
8,iclr2026,fabricated,valid,valid,"The title, authors, and arXiv ID match the arXiv preprint, and the year is plausible for a 2023 paper. The DOI is missing, but this is not uncommon for arXiv preprints.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title, authors, and arXiv ID match the arXiv preprint, and the year is plausible for a 2023 paper. The DOI is missing, but this is not uncommon for arXiv preprints."",
  ""confidence"": ""medium""
}",465,70,0.0,1.995,0,,,False,,
9,s2_real,valid,valid,valid,"The reference has a valid DOI and a consistent author list, and the title and venue match the raw reference string. The year and venue combination is plausible for a scientific journal.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference has a valid DOI and a consistent author list, and the title and venue match the raw reference string. The year and venue combination is plausible for a scientific journal."",
  ""confidence"": ""high""
}",607,58,0.0,1.696,0,,,False,,
10,neurips,fabricated,valid,valid,"The reference matches a real paper with the given arXiv ID, and the authors and year are consistent with the paper's metadata.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference matches a real paper with the given arXiv ID, and the authors and year are consistent with the paper's metadata."",
  ""confidence"": ""high""
}",502,50,0.0,1.453,0,,,False,,
11,s2_real,valid,valid,valid,"The reference matches a real paper with the given title, authors, year, and DOI. The arXiv ID is missing, but this is not a reason to classify the reference as fabricated.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference matches a real paper with the given title, authors, year, and DOI. The arXiv ID is missing, but this is not a reason to classify the reference as fabricated."",
  ""confidence"": ""high""
}",517,62,0.0,1.797,0,,,False,,
