instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly supports the central claim that PINK1 accumulates on damaged mitochondria and is necessary and sufficient for Parkin recruitment there. While the abstract does not explicitly mention the outer mitochondrial membrane or kinase activity, the citation is appropriate for the PINK1-to-Parkin mitochondrial recruitment mechanism.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the central claim that PINK1 accumulates on damaged mitochondria and is necessary and sufficient for Parkin recruitment there. While the abstract does not explicitly mention the outer mitochondrial membrane or kinase activity, the citation is appropriate for the PINK1-to-Parkin mitochondrial recruitment mechanism."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1411,464,0.020975,10.08,
87,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that Parkin acts downstream of PINK1 by showing that PINK1 accumulation is necessary and sufficient for Parkin recruitment and that PINK1 signals mitochondrial dysfunction to Parkin. It is therefore a reasonable citation for the mechanistic relationship invoked in the sentence.,"PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that Parkin acts downstream of PINK1 by showing that PINK1 accumulation is necessary and sufficient for Parkin recruitment and that PINK1 signals mitochondrial dysfunction to Parkin. It is therefore a reasonable citation for the mechanistic relationship invoked in the sentence."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1436,254,0.0148,5.373,
88,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports that Parkin relocalizes/recruits to damaged mitochondria to promote mitophagy and that this process depends on PINK1 activity/accumulation. The abstract states PINK1 accumulation is necessary and sufficient for Parkin recruitment and that PINK1 signals mitochondrial dysfunction to Parkin.,"PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports that Parkin relocalizes/recruits to damaged mitochondria to promote mitophagy and that this process depends on PINK1 activity/accumulation. The abstract states PINK1 accumulation is necessary and sufficient for Parkin recruitment and that PINK1 signals mitochondrial dysfunction to Parkin."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1432,130,0.01106,3.326,
89,sarol_2024,VALID,VALID,SUPPORTED,"The citing sentence claims that mitochondrial stress, including loss of membrane potential, initiates the PINK1/Parkin mitophagy pathway. The cited paper directly describes voltage-dependent PINK1 stabilization on damaged mitochondria, PINK1-dependent Parkin recruitment, and Parkin-induced mitophagy.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence claims that mitochondrial stress, including loss of membrane potential, initiates the PINK1/Parkin mitophagy pathway. The cited paper directly describes voltage-dependent PINK1 stabilization on damaged mitochondria, PINK1-dependent Parkin recruitment, and Parkin-induced mitophagy."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1418,124,0.01081,3.413,
90,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that PINK1 is required for Parkin translocation/recruitment to damaged or depolarized mitochondria and for Parkin-mediated mitophagy. Its abstract states that PINK1 accumulation is necessary and sufficient for Parkin recruitment and that PINK1/Parkin mutations disrupt Parkin-induced mitophagy.,"PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that PINK1 is required for Parkin translocation/recruitment to damaged or depolarized mitochondria and for Parkin-mediated mitophagy. Its abstract states that PINK1 accumulation is necessary and sufficient for Parkin recruitment and that PINK1/Parkin mutations disrupt Parkin-induced mitophagy."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy""
}",1423,142,0.011375,3.327,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The citing sentence uses specific Parkin mutants to distinguish defects in mitochondrial translocation versus Parkin-induced mitophagy. The cited paper is directly about PINK1-dependent Parkin recruitment to damaged mitochondria and states that disease-causing PINK1/Parkin mutations disrupt Parkin recruitment and mitophagy at distinct steps, making it an appropriate source for these mutant phenotypes.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence uses specific Parkin mutants to distinguish defects in mitochondrial translocation versus Parkin-induced mitophagy. The cited paper is directly about PINK1-dependent Parkin recruitment to damaged mitochondria and states that disease-causing PINK1/Parkin mutations disrupt Parkin recruitment and mitophagy at distinct steps, making it an appropriate source for these mutant phenotypes."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1438,542,0.02345,13.359,
92,sarol_2024,VALID,VALID,SUPPORTED,The cited paper is directly about PINK1/Parkin-mediated mitophagy of damaged mitochondria and supports the mechanism by which damaged mitochondria are recognized and eliminated; it is reasonable background support for the claim that impaired mitophagy causes dysfunctional mitochondria to accumulate.,Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... Parkin promotes their elimination.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is directly about PINK1/Parkin-mediated mitophagy of damaged mitochondria and supports the mechanism by which damaged mitochondria are recognized and eliminated; it is reasonable background support for the claim that impaired mitophagy causes dysfunctional mitochondria to accumulate."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... Parkin promotes their elimination.""
}",1409,108,0.010285,4.037,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The citing sentence claims that Parkin promotes degradation/elimination of impaired mitochondria via autophagy, and the cited paper directly describes Parkin recruitment to damaged mitochondria triggering autophagy and Parkin-induced mitophagy. While the abstract does not explicitly mention ubiquitination, the core claim about Parkin promoting autophagic elimination of impaired mitochondria is supported by this paper.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... Parkin promotes their elimination.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence claims that Parkin promotes degradation/elimination of impaired mitochondria via autophagy, and the cited paper directly describes Parkin recruitment to damaged mitochondria triggering autophagy and Parkin-induced mitophagy. While the abstract does not explicitly mention ubiquitination, the core claim about Parkin promoting autophagic elimination of impaired mitochondria is supported by this paper."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... Parkin promotes their elimination.""
}",1414,131,0.011,3.321,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly supports the claim that stabilized/accumulated PINK1 on mitochondria is sufficient to recruit Parkin, independent of the usual damage trigger. The abstract states that PINK1 is stabilized on impaired mitochondria and that PINK1 accumulation is necessary and sufficient for Parkin recruitment.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that stabilized/accumulated PINK1 on mitochondria is sufficient to recruit Parkin, independent of the usual damage trigger. The abstract states that PINK1 is stabilized on impaired mitochondria and that PINK1 accumulation is necessary and sufficient for Parkin recruitment."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1410,109,0.01032,3.542,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence appears to cite a source for M17 neuroblastoma cells carrying control or PINK1 shRNA, but the cited paper is about PINK1 stabilization on damaged mitochondria and Parkin recruitment, with no available indication that it describes M17 neuroblastoma shRNA lines or constructs.","Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis...","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence appears to cite a source for M17 neuroblastoma cells carrying control or PINK1 shRNA, but the cited paper is about PINK1 stabilization on damaged mitochondria and Parkin recruitment, with no available indication that it describes M17 neuroblastoma shRNA lines or constructs."",
  ""evidence_quote"": ""Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis...""
}",1407,279,0.015405,5.981,
