instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"The DOI is highly inconsistent with ACM Web Conference 2024 proceedings, whose DOI pattern is not of the form 10.1145/3545678.3557899. The title also resembles known diffusion-based sequential recommendation work but does not match a known WWW 2024 paper with these authors, suggesting the citation was synthesized.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The DOI is highly inconsistent with ACM Web Conference 2024 proceedings, whose DOI pattern is not of the form 10.1145/3545678.3557899. The title also resembles known diffusion-based sequential recommendation work but does not match a known WWW 2024 paper with these authors, suggesting the citation was synthesized."",
  ""confidence"": ""high""
}",477,297,0.011295,12.181,0,[],,False,,
1,s2_real,valid,valid,valid,"The DOI pattern 10.3390/ijms21010038 is consistent with an International Journal of Molecular Sciences volume 21, issue 1 article, and the title/authors match a plausible MDPI IJMS article published online in late 2019. The year/volume combination is not inconsistent because early 2020 IJMS issue articles can have 2019 online publication dates.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI pattern 10.3390/ijms21010038 is consistent with an International Journal of Molecular Sciences volume 21, issue 1 article, and the title/authors match a plausible MDPI IJMS article published online in late 2019. The year/volume combination is not inconsistent because early 2020 IJMS issue articles can have 2019 online publication dates."",
  ""confidence"": ""high""
}",587,413,0.015325,16.319,0,[],,False,,
2,s2_real,valid,fabricated,fabricated,"The title sounds like a local urban/landscape planning article rather than something that would appear in the ACS journal Environmental Science & Technology, and a 2014 ES&T article would normally have complete bibliographic metadata including volume/pages and a DOI. The sparse BibTeX and unusual author spelling ('Liu Yonghon') suggest the venue was likely synthesized or misassigned rather than a real ES&T publication.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The title sounds like a local urban/landscape planning article rather than something that would appear in the ACS journal Environmental Science & Technology, and a 2014 ES&T article would normally have complete bibliographic metadata including volume/pages and a DOI. The sparse BibTeX and unusual author spelling ('Liu Yonghon') suggest the venue was likely synthesized or misassigned rather than a real ES&T publication."",
  ""confidence"": ""medium""
}",429,242,0.009405,12.938,0,[],,False,,
3,neurips,fabricated,valid,valid,"This appears to be a real article in The Journal of Trading, volume 14 issue 4, published in 2019, with the cited title and author set. The venue, year, volume/issue, and page range are mutually consistent; the absence of DOI/arXiv identifiers is not itself suspicious.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This appears to be a real article in The Journal of Trading, volume 14 issue 4, published in 2019, with the cited title and author set. The venue, year, volume/issue, and page range are mutually consistent; the absence of DOI/arXiv identifiers is not itself suspicious."",
  ""confidence"": ""medium""
}",435,812,0.026535,31.063,0,[],,False,,
4,s2_real,valid,fabricated,fabricated,"“Handbook of Disruptive Behavior Disorders” is a known handbook/book title associated with editors such as Herbert C. Quay and Anne E. Hogan, not a 2016 in-proceedings paper by M. Wagner. The year, author, and entry type are inconsistent with the real publication.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""“Handbook of Disruptive Behavior Disorders” is a known handbook/book title associated with editors such as Herbert C. Quay and Anne E. Hogan, not a 2016 in-proceedings paper by M. Wagner. The year, author, and entry type are inconsistent with the real publication."",
  ""confidence"": ""high""
}",412,204,0.00818,8.333,0,[],,False,,
5,s2_real,valid,valid,valid,"The journal, year/volume/pages, and DOI format are mutually consistent for Tourism Analysis in 2017, and the DOI appears to correspond to the cited article title. The listed authors and bibliographic details are plausible and consistent with a real publication rather than a synthesized reference.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The journal, year/volume/pages, and DOI format are mutually consistent for Tourism Analysis in 2017, and the DOI appears to correspond to the cited article title. The listed authors and bibliographic details are plausible and consistent with a real publication rather than a synthesized reference."",
  ""confidence"": ""medium""
}",508,231,0.00947,9.656,0,[],,False,,
6,s2_real,valid,valid,valid,"This appears to be a real Stata software module titled “FRACLOGIT: Stata module to estimate fractional logit model,” authored by D. Powers and released around 2012. The lack of DOI/arXiv/venue is consistent with a Stata module/software component rather than a conventional proceedings paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This appears to be a real Stata software module titled “FRACLOGIT: Stata module to estimate fractional logit model,” authored by D. Powers and released around 2012. The lack of DOI/arXiv/venue is consistent with a Stata module/software component rather than a conventional proceedings paper."",
  ""confidence"": ""high""
}",427,238,0.009275,10.68,0,[],,False,,
7,s2_real,valid,valid,valid,"The title, authors, journal (LWT - Food Science and Technology), year, volume/pages, and Elsevier DOI format are mutually consistent with a real 2014 LWT article on beef strip loin steak tenderness and juiciness by Gomes, Pflanzer, Felício, and Bolini. No arXiv ID is expected for this food science paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title, authors, journal (LWT - Food Science and Technology), year, volume/pages, and Elsevier DOI format are mutually consistent with a real 2014 LWT article on beef strip loin steak tenderness and juiciness by Gomes, Pflanzer, Felício, and Bolini. No arXiv ID is expected for this food science paper."",
  ""confidence"": ""high""
}",496,232,0.00944,9.452,0,[],,False,,
8,iclr2026,fabricated,fabricated,fabricated,"I do not know of a 2023 arXiv paper titled “Measuring and reducing perplexity in large-scale llms” by Shiyang Liu, Hongyi Xu, and Min Chen, and the title is unusually generic. The specific arXiv ID arXiv:2309.12345 appears likely to be a fabricated or mismatched identifier rather than a known match for this citation.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""I do not know of a 2023 arXiv paper titled “Measuring and reducing perplexity in large-scale llms” by Shiyang Liu, Hongyi Xu, and Min Chen, and the title is unusually generic. The specific arXiv ID arXiv:2309.12345 appears likely to be a fabricated or mismatched identifier rather than a known match for this citation."",
  ""confidence"": ""medium""
}",436,285,0.01073,10.438,0,[],,False,,
9,s2_real,valid,valid,valid,"This DOI corresponds to the Journal of Mammalogy article with this title and author group, and the volume/pages information also matches the known article. The apparent year discrepancy is likely due to online publication in 2016 versus the formal volume/issue publication in 2017, not evidence of fabrication.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This DOI corresponds to the Journal of Mammalogy article with this title and author group, and the volume/pages information also matches the known article. The apparent year discrepancy is likely due to online publication in 2016 versus the formal volume/issue publication in 2017, not evidence of fabrication."",
  ""confidence"": ""medium""
}",568,605,0.02099,13.705,0,[],,False,,
