instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses PINK1's role in recruiting Parkin to mitochondria, which aligns with the claim in the citing sentence about PINK1 recruiting Parkin via its kinase activity.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses PINK1's role in recruiting Parkin to mitochondria, which aligns with the claim in the citing sentence about PINK1 recruiting Parkin via its kinase activity."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1196,83,0.0,25.549,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the relationship between PINK1 and Parkin, specifically how PINK1 stabilizes Parkin on impaired mitochondria. This aligns with the citing sentence's claim that Parkin acts downstream of PINK1 and that reduced Parkin activity in Pink1−/− mice may lead to increased JNK signaling.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the relationship between PINK1 and Parkin, specifically how PINK1 stabilizes Parkin on impaired mitochondria. This aligns with the citing sentence's claim that Parkin acts downstream of PINK1 and that reduced Parkin activity in Pink1−/− mice may lead to increased JNK signaling."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1220,111,0.0,7.068,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the stabilization of PINK1 on impaired mitochondria and its role in activating Parkin, which aligns with the claim that Parkin relocalizes to mitochondria and is dependent on PINK1 kinase activity.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the stabilization of PINK1 on impaired mitochondria and its role in activating Parkin, which aligns with the claim that Parkin relocalizes to mitochondria and is dependent on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1217,91,0.0,2.851,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly addresses the PINK1/Parkin mitophagy pathway and explains how mitochondrial stress leads to the stabilization of PINK1, which is critical for initiating the pathway. This aligns with the citing sentence's claim about mitochondrial stress initiating the pathway.","PINK1 is selectively stabilized on impaired mitochondria to activate Parkin, a key step in mitophagy.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly addresses the PINK1/Parkin mitophagy pathway and explains how mitochondrial stress leads to the stabilization of PINK1, which is critical for initiating the pathway. This aligns with the citing sentence's claim about mitochondrial stress initiating the pathway."",
  ""evidence_quote"": ""PINK1 is selectively stabilized on impaired mitochondria to activate Parkin, a key step in mitophagy.""
}",1202,100,0.0,2.515,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly addresses the role of PINK1 in stabilizing Parkin on impaired mitochondria, which aligns with the citing sentence's claim about PINK1's essential role in Parkin translocation and mitophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly addresses the role of PINK1 in stabilizing Parkin on impaired mitochondria, which aligns with the citing sentence's claim about PINK1's essential role in Parkin translocation and mitophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1208,91,0.0,1.565,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The cited paper discusses the role of PINK1 in stabilizing Parkin on impaired mitochondria, but it does not describe specific Parkin mutants like ParkinR275W or ParkinC441R or their functional characteristics such as translocation to mitochondria or mitophagy induction.",,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in stabilizing Parkin on impaired mitochondria, but it does not describe specific Parkin mutants like ParkinR275W or ParkinC441R or their functional characteristics such as translocation to mitochondria or mitophagy induction."",
  ""evidence_quote"": """"
}",1226,86,0.0,1.482,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 and Parkin in mitophagy, specifically how a deficit in mitophagy leads to mitochondrial dysfunction. This aligns with the citing sentence's claim.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 and Parkin in mitophagy, specifically how a deficit in mitophagy leads to mitochondrial dysfunction. This aligns with the citing sentence's claim."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1193,85,0.0,1.574,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper introduces the mechanism by which PINK1 stabilizes on impaired mitochondria to activate Parkin, which directly supports the claim that Parkin promotes degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper introduces the mechanism by which PINK1 stabilizes on impaired mitochondria to activate Parkin, which directly supports the claim that Parkin promotes degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1199,91,0.0,1.559,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly addresses the stabilization of PINK1 on the mitochondrial outer membrane and its role in recruiting Parkin, which aligns with the claim in the citing sentence.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly addresses the stabilization of PINK1 on the mitochondrial outer membrane and its role in recruiting Parkin, which aligns with the claim in the citing sentence."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1195,79,0.0,1.365,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper discusses the role of PINK1 in mitochondrial function and its interaction with Parkin, but it does not mention neuroblastoma or the use of shRNA for control or PINK1 in this context. The citation does not align with the sub-claim about neuroblastoma and shRNA.",,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in mitochondrial function and its interaction with Parkin, but it does not mention neuroblastoma or the use of shRNA for control or PINK1 in this context. The citation does not align with the sub-claim about neuroblastoma and shRNA."",
  ""evidence_quote"": """"
}",1193,86,0.0,1.439,
