target_paper_title,year,citation_excerpt,source_paper_title,source_year
An Approximation Algorithm for Time Optimal Multi-Robot Routing,2015,Multi-robot routing with an objective that reflects the distribution of visitations has been explored by [CITATION],Multi-robot long-term persistent coverage with fuel constrained robots,2015
Hyperparameter Optimization with Genetic Algorithms and XGBoost: A Step Forward in Smart Grid Fraud Detection,2024,The maximised performance is the best performance given hyperparameter search space because the aim is to find the hyperparameter configuration to maximise performance for the particular ML model [CITATION].,"Advances in Machine Learning and Deep Learning for Hormonal Disorder Diagnosis: an Exhaustive Review on PCOS, Thyroid, and Optimization Techniques",2025
Neural ordinary differential equations and recurrent neural networks for predicting the state of health of batteries,2022,"The hybrid model refers to a model that combines various types of basic networks to improve the accuracy of SOH prediction. For example, [CITATION] proposed a battery health prediction model incorporating neural networks and ordinary differential equation (ODE). ","Open access dataset, code library and benchmarking deep learning approaches for state-of-health estimation of lithium-ion batteries",2024
Parallel Gaussian Process Regression with Low-Rank Covariance Matrix Approximations,2013,A parallel implementation that exploits the block-wise conditional independence assumption of the PI(T)C approximation has been put forward by [CITATION].,Gaussian processes for dynamics learning in model predictive control,2025
RANDOMNESS CONTROL AND REPRODUCIBILITY STUDY OF RANDOM FOREST ALGORITHM IN R AND Python,2024,"The `randomForest` library is used to build Random Forest models, which are known to be stable and can handle various types of data [CITATION] To calculate the Root Mean Squared Error (RMSE), the `Metrics` library was used, which allows evaluation of the accuracy of model predictions against actual data.",IMPACT OF URBAN DEVEL T OF URBAN DEVELOPMENT ON UV EXPOSURE: A T ON UV EXPOSURE: A CLUSTERING AND MACHINE LEARNING ASSESSMENT,2024
A BAYESIAN APPROACH FOR EXTREME LEARNING MACHINE-BASED SUBSPACE LEARNING,2015,"[CITATION] proposed a method for calculating the output vector for ELM based on a Bayesian model, exploiting the labeling information available for the training data and geometric class information in the feature space determined by the network’s hidden layer outputs.",Study on applicable coverage extension of theory-based generalization errors bounds to the variants of RVFL network and ELM,2024
C 2 M 3 : Cycle-Consistent Multi-Model Merging,2024,"The authors call this the “variance collapse” problem and propose the REPAIR method to solve it. Additionally, [CITATION] noted that previous pairwise permutations do not guarantee cycle consistency, making the alignment fragile. They further proposed to globally optimize the permutations of all layers simultaneously at each step.","Model Merging in LLMs, MLLMs, and Beyond: Methods, Theories, Applications and Opportunities",2024
Respecting Transfer Gap in Knowledge Distillation,2022,"Although logit based KD is under-explored over recent years, there are still some impressive works. The recent work [CITATION] indicated the unbalance of knowledge among different samples and devotes to re-weight the importance of samples.",NormKD: Normalized Logits for Knowledge Distillation,2023
Meta-Learning Deep Energy-Based Memory Models,2019,[CITATION] propose a meta learning framework to learn a generative network that treats the retrieval error as their energy function.,Uniform Memory Retrieval with Larger Capacity for Modern Hopfield Models,2024
A Network Framework for Noisy Label Aggregation in Social Media,2017,"In social media the geographic locations of mobile phone could be inaccurate, and user-generated content such as posts, comments and tags could be incomplete or biased [CITATION].",Noise-resistant graph neural networks with manifold consistency and label consistency,2024
