instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,FABRICATED,"The reference and database record have completely different authors and titles, indicating a real mismatch. The authors in the reference (Majid Zolghadr, Mohsen Jamali, Jiawei Zhang) do not match any authors in the database record (Zihao Li, Aixin Sun, Chenliang Li). Additionally, the titles are significantly different, suggesting they refer to different works. Therefore, this reference is likely incorrect or does not exist in the database as claimed.",,,4715,830,0.001205,14.947,0,,NEEDS_METADATA,True,openreview,
1,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.574,0,,CLEAR_VALID,False,crossref,
2,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.359,0,,CLEAR_VALID,False,semantic_scholar,
3,neurips,fabricated,fabricated,FABRICATED,"The title and authors in the database record are completely different from the reference, indicating a real mismatch. The year is also significantly different (2019 vs 2023), and the venue is not the same. This suggests that the database record does not correspond to the same paper as the reference.",,,2375,732,0.000795,13.309,0,,NEEDS_METADATA,True,semantic_scholar,
4,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.334,0,,CLEAR_VALID,False,semantic_scholar,
5,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.471,0,,CLEAR_VALID,False,crossref,
6,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.185,0,,CLEAR_VALID,False,semantic_scholar,
7,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.835,0,,CLEAR_VALID,False,crossref,
8,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 6 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
9,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.465,0,,CLEAR_VALID,False,crossref,
10,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 6 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
11,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.943,0,,CLEAR_VALID,False,crossref,
12,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
13,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.241,0,,CLEAR_VALID,False,crossref,
14,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.307,0,,CLEAR_VALID,False,semantic_scholar,
15,neurips,fabricated,fabricated,FABRICATED,"The reference lists five authors (Itay Hubara, Matthieu Courbariaux, Daniel Soudry, Rami El-Yaniv, Yoshua Bengio) while the database record only lists one author (Raghuraman Krishnamoorthi). This is a significant mismatch as the authorship is completely different, indicating that the database record does not correspond to the same paper as the reference. Therefore, this is a real mismatch and not a cosmetic issue.",,,4804,731,0.001159,13.231,0,,NEEDS_METADATA,True,semantic_scholar,
16,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
17,iclr2026,fabricated,fabricated,FABRICATED,"The reference lists 6 authors, of which only 1 (Xuechen Li) matches the database record. The other 5 authors are completely different, indicating a real mismatch rather than a cosmetic one. This suggests that the database record does not correspond to the same paper as the reference provided.",,,4685,601,0.001063,10.586,0,,NEEDS_METADATA,True,semantic_scholar,
18,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 6 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
19,neurips,fabricated,fabricated,FABRICATED,"The title from the reference and the database record are completely different, indicating a real mismatch. The authors listed in the reference (M. Garcia, A. Thompson) do not match the authors of the database record (LHCb collaboration and many others), which further confirms that these are not the same paper. Additionally, the year and venue are also different, reinforcing the conclusion that this is a fabricated reference.",,,14785,672,0.002621,12.372,0,,NEEDS_METADATA,True,arxiv,
20,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.929,0,,CLEAR_VALID,False,crossref,
21,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
22,neurips,fabricated,fabricated,FABRICATED,"The titles are significantly different, indicating that they refer to different works. The database record's title suggests a different focus ('On the Optimal Linear Contraction Order of Tree Tensor Networks, and Beyond') compared to the reference's title ('NP-Hardness of Optimal TensorNetwork Contraction and Polynomial-Time Algorithms for Tree Tensor Networks'). Although the authors match, the title mismatch is substantial enough to classify this as a real mismatch.",,,4640,727,0.001132,16.761,0,,NEEDS_METADATA,True,arxiv,
23,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 6 databases: crossref, semantic_scholar, openalex, pubmed, arxiv, openreview",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
24,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.357,0,,CLEAR_VALID,False,crossref,
25,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.116,0,,CLEAR_VALID,False,crossref,
26,neurips,fabricated,fabricated,FABRICATED,"The reference lists authors Diederik P. Kingma and Jimmy Ba, while the database record lists different authors (Huifeng Guo et al.) for a paper with a similar title but published in a different year (2017) and venue (IJCAI instead of ICLR). This indicates a real mismatch, as the authors and publication details do not correspond to the same paper.",,,2379,681,0.000765,19.531,0,,NEEDS_METADATA,True,semantic_scholar,
27,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.629,0,,CLEAR_VALID,False,crossref,
28,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.587,0,,CLEAR_VALID,False,semantic_scholar,
29,iclr2026,fabricated,fabricated,FABRICATED,"The title from the reference and the database record are completely different, indicating a real mismatch. The authors listed in the database record do not match those in the reference, further confirming that these are not the same paper. The year discrepancy (2024 vs 2025) also supports this conclusion, as it is unlikely for two papers to have such a mismatch in title and authors while being closely dated. Therefore, this reference is flagged as a fabricated entry.",,,13025,620,0.002326,12.057,0,,NEEDS_METADATA,True,arxiv,
30,iclr2026,fabricated,fabricated,FABRICATED,"The title from the database record is significantly different from the reference title, indicating a different paper. The authors are also completely different, and the year is off by 2 years. The DOI resolves to a different paper, confirming that this is a real mismatch and not a cosmetic issue.",,,2433,734,0.000805,12.409,0,,NEEDS_METADATA,True,semantic_scholar,
31,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.032,0,,CLEAR_VALID,False,crossref,
32,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.915,0,,CLEAR_VALID,False,crossref,
33,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.839,0,,CLEAR_VALID,False,crossref,
34,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.835,0,,CLEAR_VALID,False,crossref,
35,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.178,0,,CLEAR_VALID,False,crossref,
36,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.905,0,,CLEAR_VALID,False,crossref,
37,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.133,0,,CLEAR_VALID,False,crossref,
38,s2_real,valid,fabricated,FABRICATED,"There is a real mismatch in the authors. Three authors match, but 'Nozdrachev Ad' does not match 'A. D. Nozdrachev', indicating a discrepancy in the author name format. This suggests that the reference may not correspond to the same paper as the database record, leading to a potential fabrication.",,,4817,579,0.00107,15.005,0,,NEEDS_METADATA,True,crossref,
39,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
40,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 6 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
41,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
42,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
43,neurips,fabricated,fabricated,FABRICATED,"The title in the database record is completely different from the reference title, indicating a real mismatch. The authors match, but the year and venue are also inconsistent, with the database record showing a year of 2019 and an arXiv venue, while the reference claims a year of 2020 and a conference venue. This suggests that the database record does not correspond to the same paper as the reference.",,,2415,579,0.00071,12.018,0,,NEEDS_METADATA,True,arxiv,
44,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,2.047,0,,CLEAR_VALID,False,crossref,
45,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
46,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
47,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.258,0,,CLEAR_VALID,False,semantic_scholar,
48,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.212,0,,CLEAR_VALID,False,semantic_scholar,
49,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 7 databases: semantic_scholar, openalex, crossref, pubmed, arxiv, openreview, web",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
50,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.069,0,,CLEAR_VALID,False,crossref,
51,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.523,0,,CLEAR_VALID,False,crossref,
52,s2_real,valid,fabricated,UNVERIFIABLE,"There is a mismatch with one author, Ruth E Jefferson Ed.D., who does not match the database entry for Ruth E Jefferson. The remaining authors match, but the presence of the title and venue being identical suggests it may be the same paper. However, the discrepancy with the author raises concerns about the validity of the match. Further investigation is needed to confirm the identity of the authors.",,,4789,676,0.001124,16.69,0,,NEEDS_METADATA,True,crossref,
