instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in recruiting Parkin to mitochondria, which aligns with the claim about PINK1's kinase activity in this process.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in recruiting Parkin to mitochondria, which aligns with the claim about PINK1's kinase activity in this process."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1182,77,0.000223,2.123,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the relationship between PINK1 and Parkin, specifically how PINK1 stabilizes Parkin on impaired mitochondria, which supports the claim that Parkin acts downstream of PINK1 and is involved in its functions.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the relationship between PINK1 and Parkin, specifically how PINK1 stabilizes Parkin on impaired mitochondria, which supports the claim that Parkin acts downstream of PINK1 and is involved in its functions."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1207,91,0.000236,1.804,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is relevant to the claim about Parkin relocalizing to mitochondria and mediating their autophagic elimination dependent on PINK1 activity.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is relevant to the claim about Parkin relocalizing to mitochondria and mediating their autophagic elimination dependent on PINK1 activity."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1203,91,0.000235,2.113,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the stabilization of PINK1 on impaired mitochondria, which is relevant to the initiation of the PINK1/Parkin mitophagy pathway in response to mitochondrial stress.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the stabilization of PINK1 on impaired mitochondria, which is relevant to the initiation of the PINK1/Parkin mitophagy pathway in response to mitochondrial stress."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1189,81,0.000227,1.999,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is directly related to its function in Parkin translocation and mitophagy. This aligns well with the claim made in the citing sentence.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is directly related to its function in Parkin translocation and mitophagy. This aligns well with the claim made in the citing sentence."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1194,90,0.000233,2.107,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The cited paper focuses on the stabilization of PINK1 on impaired mitochondria and its role in activating Parkin, but does not specifically address the characteristics or effects of the Parkin mutants mentioned in the citing sentence. Therefore, it does not support the claims about the specific Parkin mutants' behaviors.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper focuses on the stabilization of PINK1 on impaired mitochondria and its role in activating Parkin, but does not specifically address the characteristics or effects of the Parkin mutants mentioned in the citing sentence. Therefore, it does not support the claims about the specific Parkin mutants' behaviors."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1209,104,0.000244,8.861,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is relevant to the claim about mitophagy and dysfunctional mitochondria. This aligns with the topic of how deficits in mitophagy can lead to mitochondrial dysfunction.",PINK1 is selectively stabilized on impaired mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is relevant to the claim about mitophagy and dysfunctional mitochondria. This aligns with the topic of how deficits in mitophagy can lead to mitochondrial dysfunction."",
  ""evidence_quote"": ""PINK1 is selectively stabilized on impaired mitochondria""
}",1180,84,0.000227,2.074,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is directly related to the activation of Parkin and its function in promoting the degradation of these mitochondria through autophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria, which is directly related to the activation of Parkin and its function in promoting the degradation of these mitochondria through autophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1185,87,0.00023,2.216,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the stabilization of PINK1 on impaired mitochondria and its role in activating Parkin, which aligns with the claim about PINK1 recruiting Parkin on the mitochondrial outer membrane.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the stabilization of PINK1 on impaired mitochondria and its role in activating Parkin, which aligns with the claim about PINK1 recruiting Parkin on the mitochondrial outer membrane."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1181,83,0.000227,2.024,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not appear to introduce or describe the use of small hairpin RNA (shRNA) in the context of M17 neuroblastoma or PINK1, making it an inappropriate citation for this claim.",,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not appear to introduce or describe the use of small hairpin RNA (shRNA) in the context of M17 neuroblastoma or PINK1, making it an inappropriate citation for this claim."",
  ""evidence_quote"": """"
}",1178,67,0.000217,1.833,
