instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,FABRICATED,"The mismatch is real, not cosmetic. The closest verifiable paper is “DiffuRec: A Diffusion Model for Sequential Recommendation” by Zihao Li, Aixin Sun, and Chenliang Li, published in ACM Transactions on Information Systems with DOI 10.1145/3631116. The cited DOI 10.1145/3545678.3557899 was not found in CrossRef, and searches did not find the cited title “Diffurecsys: Diffusion-based generative modeling for sequential recommendation.” The reference appears to blend a similar title/topic with different authors, venue, DOI, and publication details.",,,8171,1805,0.095005,138.274,0,,NEEDS_METADATA,True,openreview,
1,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.687,0,,CLEAR_VALID,False,crossref,
2,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,3.983,0,,CLEAR_VALID,False,openalex,
3,neurips,fabricated,fabricated,FABRICATED,"The database record is not the same work as the bibliography reference. The titles are only superficially similar: the reference is “Reinforcement learning for optimal hedging,” while the database record is “Reinforcement Learning for Credit Index Option Hedging.” The author lists are completely different, the years differ by 4 years, and the venues differ from a 2019 Journal of Trading article to a 2023 arXiv preprint. These are not cosmetic differences such as abbreviation, preprint/published version, or author-name formatting. Searches for the exact referenced title/authors in Semantic Scho",,,7118,2131,0.09952,104.565,0,,NEEDS_METADATA,True,semantic_scholar,
4,s2_real,valid,fabricated,FABRICATED,"The mismatch is real, not cosmetic. The Crossref database record is a 2022 work titled “Disruptive Behavior Disorders” with DOI 10.3390/books978-3-0365-3627-9, while the reference claims a 2016 work titled “Handbook Of Disruptive Behavior Disorders” by M. Wagner. The year differs by 6 years, which is too large to be explained by normal preprint/publication variation. Additional searches found an exact-title work “Handbook of Disruptive Behavior Disorders” as a 1999 Springer handbook edited/authored by Anne Hogan and Herbert C. Quay, and a Semantic Scholar exact-title 2016 record with author N.",,,6546,2202,0.09879,106.489,0,,NEEDS_METADATA,True,crossref,
5,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.921,0,,CLEAR_VALID,False,crossref,
6,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,2.151,0,,CLEAR_VALID,False,openalex,
7,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.4,0,,CLEAR_VALID,False,crossref,
8,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 4 databases: semantic_scholar, crossref, openalex, openreview (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,88.162,0,,CLEAR_FABRICATED,False,,
9,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.228,0,,CLEAR_VALID,False,crossref,
10,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 4 databases: semantic_scholar, crossref, openalex, openreview (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,46.568,0,,CLEAR_FABRICATED,False,,
11,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.499,0,,CLEAR_VALID,False,crossref,
12,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 5 databases: crossref, openalex, semantic_scholar, openreview, web (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,27.594,0,,CLEAR_FABRICATED,False,,
13,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.654,0,,CLEAR_VALID,False,crossref,
14,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,2.955,0,,CLEAR_VALID,False,openalex,
15,neurips,fabricated,fabricated,FABRICATED,"This is a real metadata mismatch, not cosmetic. The title in the reference matches the database record for Raghuraman Krishnamoorthi's 2018 arXiv whitepaper (arXiv:1806.08342), but the reference lists completely different authors, a different year, and a different arXiv identifier. A check of arXiv:1612.01462 shows it corresponds to an unrelated paper, ""Weakly Isolated horizons: first order actions and gauge symmetries,"" by Corichi/Reyes/Vukavsinac, not to the cited quantization whitepaper. The reference appears blended from multiple papers and cannot be treated as the same work as the databas",,,7815,1723,0.090765,55.579,0,,NEEDS_METADATA,True,openalex,
16,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 5 databases: crossref, openalex, semantic_scholar, openreview, web (1 other source(s) errored: arxiv: HTTPStatusError)",,,0,0,0.0,20.885,0,,CLEAR_FABRICATED,False,,
17,iclr2026,fabricated,fabricated,FABRICATED,"The title identifies a real 2020 paper, and the venue discrepancy is explainable as OpenAlex matching the arXiv preprint while Semantic Scholar confirms the same title appeared at AISTATS 2020. However, the author list in the reference is not a cosmetic formatting difference: the actual authors of the AISTATS/arXiv paper are Xuechen Li, Ting-Kam Leonard Wong, Ricky T. Q. Chen, and David Duvenaud. The bibliography entry lists mostly different people, sharing only Xuechen Li. This is a substantive metadata mismatch, consistent with a blended or incorrect reference.",,,5776,1985,0.08843,68.49,0,,NEEDS_METADATA,True,openalex,
