instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"This seminal paper demonstrates that PINK1 accumulates on damaged mitochondria and activates/recruits Parkin, fitting a multi-citation statement about PINK1 on the OMM recruiting Parkin via its kinase function. It is topically aligned and widely cited for this mechanistic step.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""This seminal paper demonstrates that PINK1 accumulates on damaged mitochondria and activates/recruits Parkin, fitting a multi-citation statement about PINK1 on the OMM recruiting Parkin via its kinase function. It is topically aligned and widely cited for this mechanistic step."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1181,1646,0.017936,22.862,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper establishes that PINK1 activates Parkin on impaired mitochondria, placing Parkin downstream of PINK1 and supporting the notion that PINK1’s activity regulates Parkin functions.",“PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper establishes that PINK1 activates Parkin on impaired mitochondria, placing Parkin downstream of PINK1 and supporting the notion that PINK1’s activity regulates Parkin functions."",
  ""evidence_quote"": ""“PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin”""
}",1206,1053,0.012037,15.69,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper establishes that PINK1 accumulates on damaged mitochondria and activates Parkin, indicating Parkin’s function in mitophagy is PINK1-dependent; as PINK1 is a kinase, this aligns with dependence on its kinase activity.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper establishes that PINK1 accumulates on damaged mitochondria and activates Parkin, indicating Parkin’s function in mitophagy is PINK1-dependent; as PINK1 is a kinase, this aligns with dependence on its kinase activity."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1202,1063,0.012133,14.869,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited work establishes that mitochondrial impairment (e.g., loss of membrane potential) stabilizes PINK1 on mitochondria and activates Parkin, initiating mitophagy, which directly supports the claim.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited work establishes that mitochondrial impairment (e.g., loss of membrane potential) stabilizes PINK1 on mitochondria and activates Parkin, initiating mitophagy, which directly supports the claim."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1188,412,0.005605,5.142,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly studies PINK1’s role on damaged mitochondria in activating/recruiting Parkin, which underpins Parkin translocation to depolarized mitochondria and subsequent mitophagy. This aligns with the claim that PINK1 is essential for these processes.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly studies PINK1’s role on damaged mitochondria in activating/recruiting Parkin, which underpins Parkin translocation to depolarized mitochondria and subsequent mitophagy. This aligns with the claim that PINK1 is essential for these processes."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1193,620,0.007691,7.292,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The claim is about the specific behaviors of two Parkin mutants (R275W and C441R) regarding translocation and mitophagy. The cited paper’s title indicates a focus on PINK1 stabilization and Parkin activation, not characterization of these particular mutants, and provides no clear support for the mutant-specific phenotypes.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The claim is about the specific behaviors of two Parkin mutants (R275W and C441R) regarding translocation and mitophagy. The cited paper’s title indicates a focus on PINK1 stabilization and Parkin activation, not characterization of these particular mutants, and provides no clear support for the mutant-specific phenotypes."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1208,1143,0.01294,17.121,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper establishes the PINK1‑Parkin pathway that targets impaired mitochondria for clearance via mitophagy, which reasonably underpins the claim that deficiency in this process would lead to accumulation of dysfunctional mitochondria.",“PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper establishes the PINK1‑Parkin pathway that targets impaired mitochondria for clearance via mitophagy, which reasonably underpins the claim that deficiency in this process would lead to accumulation of dysfunctional mitochondria."",
  ""evidence_quote"": ""“PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin”""
}",1179,1442,0.015894,15.689,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"This paper is a foundational work showing that PINK1 accumulates on damaged (impaired) mitochondria to activate Parkin, which is known to trigger ubiquitination and mitophagy. It is an appropriate source to back the claim that Parkin promotes degradation of impaired mitochondria via ubiquitination-dependent autophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""This paper is a foundational work showing that PINK1 accumulates on damaged (impaired) mitochondria to activate Parkin, which is known to trigger ubiquitination and mitophagy. It is an appropriate source to back the claim that Parkin promotes degradation of impaired mitochondria via ubiquitination-dependent autophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1184,820,0.00968,14.459,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited work establishes that stabilization of PINK1 on impaired mitochondria is sufficient to activate (i.e., recruit/engage) Parkin, aligning with the claim that experimentally stabilized PINK1 on the outer membrane recruits Parkin even without uncoupling.",“PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited work establishes that stabilization of PINK1 on impaired mitochondria is sufficient to activate (i.e., recruit/engage) Parkin, aligning with the claim that experimentally stabilized PINK1 on the outer membrane recruits Parkin even without uncoupling."",
  ""evidence_quote"": ""“PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin”""
}",1180,2283,0.024305,48.473,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence refers to M17 neuroblastoma cells carrying shRNA targeting PINK1, implying a source for these knockdown cells or method. The cited paper focuses on PINK1 stabilization and Parkin activation, and does not obviously introduce or describe M17 neuroblastoma shRNA lines.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence refers to M17 neuroblastoma cells carrying shRNA targeting PINK1, implying a source for these knockdown cells or method. The cited paper focuses on PINK1 stabilization and Parkin activation, and does not obviously introduce or describe M17 neuroblastoma shRNA lines."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1177,625,0.007721,10.159,
