instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly supports that PINK1 accumulation/localization on mitochondria is necessary and sufficient for Parkin recruitment, and retrieved passages specifically state that kinase-deficient PINK1 fails to recruit or accelerate recruitment of Parkin. This reasonably supports the claim that PINK1 recruits Parkin to mitochondria via its kinase activity.",A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria; ... Consistent with necessity of PINK1's mitochondrial localization and kinase activity...,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports that PINK1 accumulation/localization on mitochondria is necessary and sufficient for Parkin recruitment, and retrieved passages specifically state that kinase-deficient PINK1 fails to recruit or accelerate recruitment of Parkin. This reasonably supports the claim that PINK1 recruits Parkin to mitochondria via its kinase activity."",
  ""evidence_quote"": ""A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria; ... Consistent with necessity of PINK1's mitochondrial localization and kinase activity...""
}",1980,135,0.01395,3.217,
87,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that Parkin acts downstream of PINK1 and that PINK1 activity is required for Parkin recruitment/mitophagy functions. It reports that PINK1 accumulation is necessary and sufficient for Parkin recruitment and that kinase-deficient PINK1 fails to restore Parkin recruitment.,"PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that Parkin acts downstream of PINK1 and that PINK1 activity is required for Parkin recruitment/mitophagy functions. It reports that PINK1 accumulation is necessary and sufficient for Parkin recruitment and that kinase-deficient PINK1 fails to restore Parkin recruitment."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1822,182,0.01457,4.135,
88,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports that PINK1 activity/accumulation is required for Parkin recruitment to damaged mitochondria and Parkin-induced mitophagy. It states that PINK1 accumulation on impaired mitochondria is necessary and sufficient for Parkin recruitment and that disease-causing PINK1 mutations disrupt Parkin-induced mitophagy.,"PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports that PINK1 activity/accumulation is required for Parkin recruitment to damaged mitochondria and Parkin-induced mitophagy. It states that PINK1 accumulation on impaired mitochondria is necessary and sufficient for Parkin recruitment and that disease-causing PINK1 mutations disrupt Parkin-induced mitophagy."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",2001,133,0.013995,3.739,
89,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that loss of mitochondrial membrane potential or depolarization stabilizes PINK1 and activates Parkin recruitment/mitophagy. It describes PINK1 accumulation on damaged mitochondria as necessary and sufficient for Parkin recruitment and explicitly links membrane potential loss to activation of the PINK1/Parkin mitophagy pathway.,loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that loss of mitochondrial membrane potential or depolarization stabilizes PINK1 and activates Parkin recruitment/mitophagy. It describes PINK1 accumulation on damaged mitochondria as necessary and sufficient for Parkin recruitment and explicitly links membrane potential loss to activation of the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1""
}",1752,118,0.0123,2.892,
90,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that PINK1 is required for Parkin translocation/recruitment to depolarized mitochondria and for Parkin-induced mitophagy. Its abstract and retrieved passages state that PINK1 accumulation is necessary for Parkin recruitment and that Parkin-induced mitophagy depends on PINK1.,“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria” and “Parkin recruitment to depolarized mitochondria and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that PINK1 is required for Parkin translocation/recruitment to depolarized mitochondria and for Parkin-induced mitophagy. Its abstract and retrieved passages state that PINK1 accumulation is necessary for Parkin recruitment and that Parkin-induced mitophagy depends on PINK1."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria” and “Parkin recruitment to depolarized mitochondria and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal”""
}",2005,148,0.014465,2.844,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper directly supports the described functional distinction for ParkinR275W and broadly supports that cysteine/RBR-domain Parkin mutations disrupt mitochondrial recruitment and mitophagy, aligning with the use of ParkinC441R as a recruitment-defective mutant.",“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy” and “Mutations in key cysteine residues in the RBR domain ... severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the described functional distinction for ParkinR275W and broadly supports that cysteine/RBR-domain Parkin mutations disrupt mitochondrial recruitment and mitophagy, aligning with the use of ParkinC441R as a recruitment-defective mutant."",
  ""evidence_quote"": ""“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy” and “Mutations in key cysteine residues in the RBR domain ... severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”""
}",2010,380,0.02145,7.923,
92,sarol_2024,VALID,VALID,SUPPORTED,The cited paper is directly about PINK1/Parkin-mediated mitophagy of damaged mitochondria and reports that mutations can cause deficits in mitophagy. Its model that Parkin promotes elimination of dysfunctional mitochondria reasonably supports the inverse claim that defective mitophagy would allow dysfunctional mitochondria to accumulate.,"PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is directly about PINK1/Parkin-mediated mitophagy of damaged mitochondria and reports that mutations can cause deficits in mitophagy. Its model that Parkin promotes elimination of dysfunctional mitochondria reasonably supports the inverse claim that defective mitophagy would allow dysfunctional mitochondria to accumulate."",
  ""evidence_quote"": ""PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1974,182,0.01533,4.656,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper directly supports that Parkin is recruited to damaged/functionally impaired mitochondria and promotes their autophagic elimination/mitophagy. Although the abstract emphasizes PINK1-mediated activation rather than detailing ubiquitination, the claim that Parkin promotes degradation of impaired mitochondria through autophagy is clearly within the paper's reported findings.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports that Parkin is recruited to damaged/functionally impaired mitochondria and promotes their autophagic elimination/mitophagy. Although the abstract emphasizes PINK1-mediated activation rather than detailing ubiquitination, the claim that Parkin promotes degradation of impaired mitochondria through autophagy is clearly within the paper's reported findings."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",2001,117,0.013515,3.858,
94,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that stabilized/increased PINK1 on the mitochondrial outer membrane is sufficient to recruit Parkin without mitochondrial uncoupling/depolarization. It explicitly reports Parkin recruitment in the absence of CCCP and concludes this is independent of membrane potential.,“Parkin is recruited to mitochondria even in the absence of CCCP… increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that stabilized/increased PINK1 on the mitochondrial outer membrane is sufficient to recruit Parkin without mitochondrial uncoupling/depolarization. It explicitly reports Parkin recruitment in the absence of CCCP and concludes this is independent of membrane potential."",
  ""evidence_quote"": ""“Parkin is recruited to mitochondria even in the absence of CCCP… increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.”""
}",1896,116,0.01296,2.806,
95,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly describes experiments in M17 human neuroblastoma cells stably transduced with control shRNA or PINK1 shRNA, matching the citing sentence's claim.",M17 cells stably transduced with control short hairpin RNA (shRNA) or PINK shRNA,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly describes experiments in M17 human neuroblastoma cells stably transduced with control shRNA or PINK1 shRNA, matching the citing sentence's claim."",
  ""evidence_quote"": ""M17 cells stably transduced with control short hairpin RNA (shRNA) or PINK shRNA""
}",2009,143,0.014335,3.735,
