instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses how PINK1 recruits Parkin to mitochondria, which aligns with the citing sentence's claim about PINK1 recruiting Parkin via its kinase activity. The abstract explicitly states that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how PINK1 recruits Parkin to mitochondria, which aligns with the citing sentence's claim about PINK1 recruiting Parkin via its kinase activity. The abstract explicitly states that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1427,101,0.0,2.818,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper explains the relationship between PINK1 and Parkin, specifically that PINK1 is required for Parkin recruitment to mitochondria. This aligns with the citing sentence's claim that Parkin acts downstream of PINK1.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper explains the relationship between PINK1 and Parkin, specifically that PINK1 is required for Parkin recruitment to mitochondria. This aligns with the citing sentence's claim that Parkin acts downstream of PINK1."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1451,92,0.0,2.165,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper explains that PINK1 is necessary for Parkin recruitment to mitochondria and that Parkin mediates mitophagy, which aligns with the claim in the citing sentence about Parkin's role in autophagic elimination of damaged mitochondria being dependent on PINK1 kinase activity.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper explains that PINK1 is necessary for Parkin recruitment to mitochondria and that Parkin mediates mitophagy, which aligns with the claim in the citing sentence about Parkin's role in autophagic elimination of damaged mitochondria being dependent on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1448,131,0.0,3.614,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper explains how PINK1 is stabilized on damaged mitochondria to activate Parkin, which is central to the mitophagy pathway. The citing sentence refers to mitochondrial stress initiating the PINK1/Parkin pathway, which is directly supported by the cited paper's findings.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper explains how PINK1 is stabilized on damaged mitochondria to activate Parkin, which is central to the mitophagy pathway. The citing sentence refers to mitochondrial stress initiating the PINK1/Parkin pathway, which is directly supported by the cited paper's findings."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1433,100,0.0,1.759,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly discusses the role of PINK1 in Parkin translocation to damaged mitochondria and mitophagy, which aligns with the claim in the citing sentence.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly discusses the role of PINK1 in Parkin translocation to damaged mitochondria and mitophagy, which aligns with the claim in the citing sentence."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1439,107,0.0,2.076,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The cited paper discusses the role of PINK1 in stabilizing on damaged mitochondria to activate Parkin, but it does not mention specific Parkin mutants like ParkinR275W or ParkinC441R. The paper focuses on the mechanism of Parkin recruitment and mitophagy, not on specific mutations of Parkin.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in stabilizing on damaged mitochondria to activate Parkin, but it does not mention specific Parkin mutants like ParkinR275W or ParkinC441R. The paper focuses on the mechanism of Parkin recruitment and mitophagy, not on specific mutations of Parkin."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",1457,116,0.0,2.265,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 and Parkin in mitochondrial dysfunction and mitophagy, specifically how PINK1 accumulation on damaged mitochondria triggers Parkin recruitment and mitophagy. This aligns with the citing sentence's claim about a deficit in mitophagy leading to mitochondrial accumulation.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 and Parkin in mitochondrial dysfunction and mitophagy, specifically how PINK1 accumulation on damaged mitochondria triggers Parkin recruitment and mitophagy. This aligns with the citing sentence's claim about a deficit in mitophagy leading to mitochondrial accumulation."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1424,132,0.0,2.44,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper explains that Parkin is recruited to damaged mitochondria to trigger their autophagy, which aligns with the citing sentence's claim that Parkin promotes the degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper explains that Parkin is recruited to damaged mitochondria to trigger their autophagy, which aligns with the citing sentence's claim that Parkin promotes the degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",1430,95,0.0,1.964,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly discusses the stabilization of PINK1 on mitochondria and its role in recruiting Parkin, which aligns with the claim in the citing sentence.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly discusses the stabilization of PINK1 on mitochondria and its role in recruiting Parkin, which aligns with the claim in the citing sentence."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1426,77,0.0,1.47,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence mentions 'M17 neuroblastoma carrying small hairpin RNA (shRNA) for control or PINK1', which implies the use of shRNA targeting PINK1 in neuroblastoma cells. The cited paper discusses PINK1's role in mitochondrial function and Parkin recruitment, but it does not mention neuroblastoma, shRNA, or any experimental setup involving cancer cells. Therefore, the cited paper is not the appropriate source for the claim about shRNA use in neuroblastoma.",Loss-of-function mutations in PINK1 and Parkin cause parkinsonism in humans and mitochondrial dysfunction in model organisms.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence mentions 'M17 neuroblastoma carrying small hairpin RNA (shRNA) for control or PINK1', which implies the use of shRNA targeting PINK1 in neuroblastoma cells. The cited paper discusses PINK1's role in mitochondrial function and Parkin recruitment, but it does not mention neuroblastoma, shRNA, or any experimental setup involving cancer cells. Therefore, the cited paper is not the appropriate source for the claim about shRNA use in neuroblastoma."",
  ""evidence_quote"": ""Loss-of-function mutations in PINK1 and Parkin cause parkinsonism in humans and mitochondrial dysfunction in model organisms.""
}",1424,151,0.0,2.643,
