instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The paper supports that PINK1 accumulation on mitochondria recruits Parkin, but the available information does not indicate that it demonstrates recruitment occurs via PINK1’s kinase activity or specifies OMM localization.",“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria…”,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The paper supports that PINK1 accumulation on mitochondria recruits Parkin, but the available information does not indicate that it demonstrates recruitment occurs via PINK1’s kinase activity or specifies OMM localization."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria…”""
}",1411,1438,0.016144,16.064,
87,sarol_2024,VALID,VALID,SUPPORTED,"The paper demonstrates that PINK1 accumulation on damaged mitochondria recruits/activates Parkin, establishing that Parkin acts downstream of PINK1. This supports the background claim being cited in the sentence.","“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… These findings… support a novel model… in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper demonstrates that PINK1 accumulation on damaged mitochondria recruits/activates Parkin, establishing that Parkin acts downstream of PINK1. This supports the background claim being cited in the sentence."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… These findings… support a novel model… in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”""
}",1436,1145,0.013245,13.759,
88,sarol_2024,VALID,VALID,SUPPORTED,"The paper shows that PINK1 on damaged mitochondria is necessary and sufficient to recruit/activate Parkin and promote mitophagy, supporting the dependence of Parkin-mediated mitophagy on PINK1 activity.",“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… [and] Parkin promotes their elimination.”; Title: “PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper shows that PINK1 on damaged mitochondria is necessary and sufficient to recruit/activate Parkin and promote mitophagy, supporting the dependence of Parkin-mediated mitophagy on PINK1 activity."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… [and] Parkin promotes their elimination.”; Title: “PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin.”""
}",1432,1282,0.01461,15.072,
89,sarol_2024,VALID,VALID,SUPPORTED,"The paper shows that loss of mitochondrial membrane potential (voltage-dependent regulation) leads to PINK1 stabilization on damaged mitochondria, which recruits Parkin and triggers mitophagy, aligning with the claim that mitochondrial stress (e.g., membrane potential inhibitors) initiates the PINK1/Parkin pathway.",expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper shows that loss of mitochondrial membrane potential (voltage-dependent regulation) leads to PINK1 stabilization on damaged mitochondria, which recruits Parkin and triggers mitophagy, aligning with the claim that mitochondrial stress (e.g., membrane potential inhibitors) initiates the PINK1/Parkin pathway."",
  ""evidence_quote"": ""expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",1418,807,0.009843,8.836,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulation on damaged (depolarized) mitochondria is necessary and sufficient for Parkin recruitment and that disruptions impair Parkin-induced mitophagy, aligning with the claim that PINK1 is essential for Parkin translocation and mitophagy.",“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… [and] disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulation on damaged (depolarized) mitochondria is necessary and sufficient for Parkin recruitment and that disruptions impair Parkin-induced mitophagy, aligning with the claim that PINK1 is essential for Parkin translocation and mitophagy."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… [and] disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy.”""
}",1423,648,0.008259,6.718,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The paper is topically relevant and notes that disease mutations in Parkin affect recruitment and mitophagy, but the provided information does not specify the behaviors of the particular mutants R275W and C441R. Thus, it does not clearly support the specific claims about these two mutants’ translocation and mitophagy phenotypes.",“disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.”,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The paper is topically relevant and notes that disease mutations in Parkin affect recruitment and mitophagy, but the provided information does not specify the behaviors of the particular mutants R275W and C441R. Thus, it does not clearly support the specific claims about these two mutants’ translocation and mitophagy phenotypes."",
  ""evidence_quote"": ""“disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.”""
}",1438,1664,0.018437,19.639,
92,sarol_2024,VALID,VALID,SUPPORTED,"The paper demonstrates that PINK1/Parkin mediate mitophagy to eliminate damaged mitochondria and that mutations disrupt this process, implying that deficient mitophagy prevents removal and thus leads to accumulation of dysfunctional mitochondria.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy... Parkin promotes their elimination.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper demonstrates that PINK1/Parkin mediate mitophagy to eliminate damaged mitochondria and that mutations disrupt this process, implying that deficient mitophagy prevents removal and thus leads to accumulation of dysfunctional mitochondria."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy... Parkin promotes their elimination.""
}",1409,957,0.011331,11.401,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The paper demonstrates that Parkin is recruited to damaged mitochondria and triggers their autophagy (mitophagy), promoting elimination of impaired mitochondria, which aligns with the claim. While the sentence mentions ubiquitination, the paper clearly supports Parkin-driven autophagic degradation of damaged mitochondria.","“Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy… In addition, they support a novel model… in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper demonstrates that Parkin is recruited to damaged mitochondria and triggers their autophagy (mitophagy), promoting elimination of impaired mitochondria, which aligns with the claim. While the sentence mentions ubiquitination, the paper clearly supports Parkin-driven autophagic degradation of damaged mitochondria."",
  ""evidence_quote"": ""“Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy… In addition, they support a novel model… in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”""
}",1414,909,0.010858,11.298,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper demonstrates that accumulation/stabilization of PINK1 on mitochondria is sufficient to recruit Parkin, implying recruitment can occur without mitochondrial uncoupling. This aligns with the claim about experimentally stabilized PINK1 on the outer membrane recruiting Parkin in the absence of uncoupling.",“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper demonstrates that accumulation/stabilization of PINK1 on mitochondria is sufficient to recruit Parkin, implying recruitment can occur without mitochondrial uncoupling. This aligns with the claim about experimentally stabilized PINK1 on the outer membrane recruiting Parkin in the absence of uncoupling."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.”""
}",1410,688,0.008642,8.121,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The sentence cites a source for using/sharing M17 neuroblastoma cells with PINK1 shRNA, but the cited paper reports mechanistic findings about PINK1/Parkin on damaged mitochondria and does not describe M17 neuroblastoma shRNA lines or related methods.","Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The sentence cites a source for using/sharing M17 neuroblastoma cells with PINK1 shRNA, but the cited paper reports mechanistic findings about PINK1/Parkin on damaged mitochondria and does not describe M17 neuroblastoma shRNA lines or related methods."",
  ""evidence_quote"": ""Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1407,1092,0.012679,11.802,
