instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,FABRICATED,"The reference appears to be a different, likely fabricated record. The provided DOI (10.1145/3545678.3557899) does not resolve in CrossRef. Searches found a different real paper with a similar title, 'DiffuRec: A Diffusion Model for Sequential Recommendation' (Li, Sun, Chenliang, 2023, arXiv/CoRR; published with DOI 10.1145/3631116), but the authors, venue, and DOI differ from the bibliography entry. The title similarity is moderate (0.842) but the author lists are completely different, which is a strong indicator of a real mismatch rather than a cosmetic variation.",,,7566,3260,0.008411,43.89,0,,NEEDS_METADATA,True,openreview,
1,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.902,0,,CLEAR_VALID,False,crossref,
2,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.775,0,,CLEAR_VALID,False,openalex,
3,neurips,fabricated,fabricated,FABRICATED,"The bibliographic entry (Kolm et al., 2019, Journal of Trading) does not match the database record found (Mandelli et al., 2023, arXiv). Titles are only topically similar (similarity 0.8125) but refer to different specific works; the author lists are completely different with no overlap; the years differ by four years and the venues differ (journal vs arXiv). A Semantic Scholar and OpenAlex title search did not locate the referenced Kolm et al. paper but did return the 2023 arXiv paper by Mandelli et al. Given the ‘‘title matches but completely different authors’’ and multi-year/venue discrepa",,,7328,3284,0.0084,49.573,0,,NEEDS_METADATA,True,semantic_scholar,
4,s2_real,valid,fabricated,FABRICATED,"The database record (CrossRef DOI 10.3390/books978-3-0365-3627-9) corresponds to a 2022 book titled 'Disruptive Behavior Disorders' and does not match the reference's metadata (a 2016 inproceedings 'Handbook Of Disruptive Behavior Disorders' attributed to M. Wagner). The year difference (2016 vs 2022) is six years (outside an acceptable preprint/publish gap), the titles are similar but not identical, and the authors do not match (reference lists M. Wagner; CrossRef record has no matching author and Semantic Scholar/OpenAlex show other authors for similarly titled works). Multiple distinct work",,,6401,3279,0.008158,42.191,0,,NEEDS_METADATA,True,crossref,
5,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.9,0,,CLEAR_VALID,False,crossref,
6,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.638,0,,CLEAR_VALID,False,openalex,
7,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.127,0,,CLEAR_VALID,False,crossref,
8,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 4 databases: semantic_scholar, crossref, openalex, openreview (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
9,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.804,0,,CLEAR_VALID,False,crossref,
10,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 4 databases: semantic_scholar, crossref, openalex, openreview (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
11,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,0.834,0,,CLEAR_VALID,False,crossref,
12,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 5 databases: crossref, openalex, semantic_scholar, openreview, web (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.0,0,,CLEAR_FABRICATED,False,,
13,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.583,0,,CLEAR_VALID,False,crossref,
14,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.587,0,,CLEAR_VALID,False,openalex,
15,neurips,fabricated,fabricated,FABRICATED,"The bibliographic record in the paper is inconsistent and appears to conflate two different works. The title given ('Quantizing deep convolutional networks for efficient inference: A whitepaper') matches an arXiv paper by Raghuraman Krishnamoorthi (arXiv:1806.08342, 2018). The reference in the paper lists Hubara et al. as authors and gives arXiv:1612.01462 as the identifier; arXiv:1612.01462 actually corresponds to an unrelated paper (a general-relativity paper) and not the quantization whitepaper. Thus the title+DB record are for Krishnamoorthi 2018, but the authors and DOI/ID in the referenc",,,11437,3239,0.009337,45.674,0,,NEEDS_METADATA,True,openalex,
16,iclr2026,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 5 databases: crossref, openalex, semantic_scholar, openreview, web (1 other source(s) errored: arxiv: HTTPStatusError)",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
17,iclr2026,fabricated,fabricated,UNVERIFIABLE,Metadata agent failed: Extra data: line 2 column 1 (char 2907),,,7533,2067,0.006017,27.856,0,,NEEDS_METADATA,True,openalex,
18,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 4 databases: semantic_scholar, crossref, openalex, openreview (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
19,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 5 databases: crossref, openalex, semantic_scholar, openreview, web (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
20,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.11,0,,CLEAR_VALID,False,crossref,
21,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 5 databases: crossref, openalex, semantic_scholar, openreview, web (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.001,0,,CLEAR_FABRICATED,False,,
22,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 5 databases: crossref, openalex, semantic_scholar, openreview, web (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.0,0,,CLEAR_FABRICATED,False,,
23,neurips,fabricated,fabricated,CLEAR_FABRICATED,"Not found in 4 databases: crossref, semantic_scholar, openalex, openreview (2 other source(s) errored: arxiv: HTTPStatusError; arxiv: HTTPStatusError)",,,0,0,0.0,0.0,0,,CLEAR_FABRICATED,False,,
24,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.135,0,,CLEAR_VALID,False,crossref,
25,s2_real,valid,valid,CLEAR_VALID,"Reference exists, metadata matches, no substantive claims",,,0,0,0.0,1.028,0,,CLEAR_VALID,False,crossref,
