instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is directly about PINK1 stabilization on damaged mitochondria and activation of Parkin, which is closely aligned with the claim that PINK1 recruits/activates Parkin at mitochondria. Although the title alone does not spell out 'kinase activity,' this paper is an appropriate source for the PINK1–Parkin mitochondrial recruitment/activation mechanism.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{""classification"":""SUPPORTED"",""reasoning"":""The cited paper is directly about PINK1 stabilization on damaged mitochondria and activation of Parkin, which is closely aligned with the claim that PINK1 recruits/activates Parkin at mitochondria. Although the title alone does not spell out 'kinase activity,' this paper is an appropriate source for the PINK1–Parkin mitochondrial recruitment/activation mechanism."",""evidence_quote"":""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""}",1181,246,0.013285,8.543,
87,sarol_2024,VALID,VALID,SUPPORTED,"The citing sentence uses the paper to support the pathway relationship that PINK1 activates Parkin / Parkin functions downstream of PINK1. The cited paper’s title directly indicates that PINK1 is stabilized on impaired mitochondria in order to activate Parkin, which is topically and mechanistically aligned with the claim.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence uses the paper to support the pathway relationship that PINK1 activates Parkin / Parkin functions downstream of PINK1. The cited paper’s title directly indicates that PINK1 is stabilized on impaired mitochondria in order to activate Parkin, which is topically and mechanistically aligned with the claim."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1206,194,0.01185,6.697,
88,sarol_2024,VALID,VALID,SUPPORTED,"The citing sentence uses the paper to support that Parkin activation/relocalization in response to impaired mitochondria depends on PINK1. The title directly indicates that PINK1 is stabilized on impaired mitochondria and activates Parkin, which is topically and mechanistically aligned with the claim about PINK1 kinase-dependent Parkin-mediated mitophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence uses the paper to support that Parkin activation/relocalization in response to impaired mitochondria depends on PINK1. The title directly indicates that PINK1 is stabilized on impaired mitochondria and activates Parkin, which is topically and mechanistically aligned with the claim about PINK1 kinase-dependent Parkin-mediated mitophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1202,319,0.01558,10.708,
89,sarol_2024,VALID,VALID,SUPPORTED,"The citation is appropriate because the cited paper is specifically about PINK1 stabilization on impaired mitochondria and activation of Parkin, which directly aligns with the claim that mitochondrial stress initiates the PINK1/Parkin mitophagy pathway.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citation is appropriate because the cited paper is specifically about PINK1 stabilization on impaired mitochondria and activation of Parkin, which directly aligns with the claim that mitochondrial stress initiates the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1188,178,0.01128,7.311,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is directly about PINK1 stabilization on impaired mitochondria and activation of Parkin, which is topically and mechanistically aligned with the claim that PINK1 is required for Parkin translocation to depolarized mitochondria and Parkin-mediated mitophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is directly about PINK1 stabilization on impaired mitochondria and activation of Parkin, which is topically and mechanistically aligned with the claim that PINK1 is required for Parkin translocation to depolarized mitochondria and Parkin-mediated mitophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1193,228,0.012805,8.335,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence makes specific factual claims about the behavior of ParkinR275W and ParkinC441R mutants, but the available information only indicates that the cited paper is about PINK1 stabilization on impaired mitochondria and Parkin activation. From the title alone, there is no evidence that this paper reports those specific mutant translocation/mitophagy phenotypes.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence makes specific factual claims about the behavior of ParkinR275W and ParkinC441R mutants, but the available information only indicates that the cited paper is about PINK1 stabilization on impaired mitochondria and Parkin activation. From the title alone, there is no evidence that this paper reports those specific mutant translocation/mitophagy phenotypes."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1208,235,0.01309,10.688,
92,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The title indicates the paper studies PINK1 stabilization on impaired mitochondria and Parkin activation, which is related to mitochondrial quality control, but the available information does not show that it supports the specific claim that defective mitophagy causes accumulation of dysfunctional mitochondria.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The title indicates the paper studies PINK1 stabilization on impaired mitochondria and Parkin activation, which is related to mitochondrial quality control, but the available information does not show that it supports the specific claim that defective mitophagy causes accumulation of dysfunctional mitochondria."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1179,407,0.018105,17.551,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The citing sentence concerns the PINK1/Parkin pathway for handling impaired mitochondria, and this paper is an authoritative source on PINK1 stabilization on impaired mitochondria and activation of Parkin, which is directly aligned with Parkin-mediated mitophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence concerns the PINK1/Parkin pathway for handling impaired mitochondria, and this paper is an authoritative source on PINK1 stabilization on impaired mitochondria and activation of Parkin, which is directly aligned with Parkin-mediated mitophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1184,395,0.01777,14.886,
94,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The title supports the general idea that stabilized PINK1 on impaired mitochondria activates Parkin, but it does not establish the more specific claim that experimentally stabilized PINK1 recruits Parkin even without mitochondrial uncoupling. With only the available information, that specific absence-of-uncoupling claim is not supported.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The title supports the general idea that stabilized PINK1 on impaired mitochondria activates Parkin, but it does not establish the more specific claim that experimentally stabilized PINK1 recruits Parkin even without mitochondrial uncoupling. With only the available information, that specific absence-of-uncoupling claim is not supported."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1180,413,0.01829,15.4,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence appears to reference a specific experimental material or setup: M17 neuroblastoma cells carrying control or PINK1 shRNA. The cited paper title indicates it is about PINK1 stabilization on impaired mitochondria and Parkin activation, but the available information does not show that it introduces or describes those M17 shRNA cell lines.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence appears to reference a specific experimental material or setup: M17 neuroblastoma cells carrying control or PINK1 shRNA. The cited paper title indicates it is about PINK1 stabilization on impaired mitochondria and Parkin activation, but the available information does not show that it introduces or describes those M17 shRNA cell lines."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1177,230,0.012785,7.409,
