instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"The reference to 'Diffurecsys: Diffusion-based generative modeling for sequential recommendation' by Majid Zolghadr, Mohsen Jamali, and Jiawei Zhang in the Proceedings of the ACM Web Conference (WWW) 2024 does not correspond to any known publication. The DOI 10.1145/3545678.3557899 does not resolve to this paper, and no such paper exists in the specified venue and year.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference to 'Diffurecsys: Diffusion-based generative modeling for sequential recommendation' by Majid Zolghadr, Mohsen Jamali, and Jiawei Zhang in the Proceedings of the ACM Web Conference (WWW) 2024 does not correspond to any known publication. The DOI 10.1145/3545678.3557899 does not resolve to this paper, and no such paper exists in the specified venue and year."",
  ""confidence"": ""high""
} ",828,156,0.02863,7.598,1,"[""Diffurecsys: Diffusion-based generative modeling for sequential recommendation DOI 10.1145/3545678.3557899""]",,False,,
1,s2_real,valid,valid,valid,"The reference describes a real paper published in the International Journal of Molecular Sciences in 2019. The title, authors, and DOI (10.3390/ijms21010038) match the information available on the publisher's website.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper published in the International Journal of Molecular Sciences in 2019. The title, authors, and DOI (10.3390/ijms21010038) match the information available on the publisher's website."",
  ""confidence"": ""high""
} ",938,132,0.028665,4.644,1,"[""Possible Contribution of Inflammation-Associated Hypoxia to Increased K2P5.1 K+ Channel Expression in CD4+ T Cells of the Mouse Model for Inflammatory Bowel Disease DOI 10.3390/ijms21010038""]",,False,,
2,s2_real,valid,fabricated,fabricated,"A search for the article titled 'Optimization of Chengdu Landscape Patterns Based on the Modern Garden City' by Liu Yonghon in 'Environmental Science & Technology' (2014) yielded no results. Additionally, 'Environmental Science & Technology' is a journal published by the American Chemical Society, primarily focusing on environmental science and engineering topics, making it unlikely to publish an article on landscape patterns in Chengdu. Furthermore, no author named Liu Yonghon was found associated with this journal. Therefore, the reference appears to be fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the article titled 'Optimization of Chengdu Landscape Patterns Based on the Modern Garden City' by Liu Yonghon in 'Environmental Science & Technology' (2014) yielded no results. Additionally, 'Environmental Science & Technology' is a journal published by the American Chemical Society, primarily focusing on environmental science and engineering topics, making it unlikely to publish an article on landscape patterns in Chengdu. Furthermore, no author named Liu Yonghon was found associated with this journal. Therefore, the reference appears to be fabricated."",
  ""confidence"": ""high""
} ",780,162,0.02857,4.96,1,"[""Optimization of Chengdu Landscape Patterns Based on the Modern Garden City Liu Yonghon Environmental Science & Technology 2014""]",,False,,
3,neurips,fabricated,fabricated,fabricated,"A search for the article titled 'Reinforcement learning for optimal hedging' by Petter N Kolm, Sebastian Krügel, and Sergiy V Zadorozhnyi in 'The Journal of Trading' (2019) yielded no results. However, a similar article titled 'Dynamic Replication and Hedging: A Reinforcement Learning Approach' by Petter N. Kolm and Gordon Ritter was published in 'The Journal of Financial Data Science' in 2019. This suggests that the original reference may be fabricated or incorrect.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the article titled 'Reinforcement learning for optimal hedging' by Petter N Kolm, Sebastian Krügel, and Sergiy V Zadorozhnyi in 'The Journal of Trading' (2019) yielded no results. However, a similar article titled 'Dynamic Replication and Hedging: A Reinforcement Learning Approach' by Petter N. Kolm and Gordon Ritter was published in 'The Journal of Financial Data Science' in 2019. This suggests that the original reference may be fabricated or incorrect."",
  ""confidence"": ""high""
} ",786,178,0.028745,5.065,1,"[""Reinforcement learning for optimal hedging Petter N Kolm, Sebastian Krügel, Sergiy V Zadorozhnyi The Journal of Trading 2019""]",,False,,
4,s2_real,valid,fabricated,fabricated,"The reference cites 'Handbook Of Disruptive Behavior Disorders' authored by M. Wagner in 2016. However, the actual 'Handbook of Disruptive Behavior Disorders' was edited by Herbert C. Quay and Anne E. Hogan, published in 1999. No evidence of a 2016 publication by M. Wagner with this title exists.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference cites 'Handbook Of Disruptive Behavior Disorders' authored by M. Wagner in 2016. However, the actual 'Handbook of Disruptive Behavior Disorders' was edited by Herbert C. Quay and Anne E. Hogan, published in 1999. No evidence of a 2016 publication by M. Wagner with this title exists."",
  ""confidence"": ""high""
} ",763,124,0.028148,5.36,1,"[""Handbook Of Disruptive Behavior Disorders M. Wagner 2016""]",,False,,
5,s2_real,valid,valid,valid,"The article titled 'Economy-wide Impact of Tourism in Malaysia: An Input–output Analysis' by authors Mohammad Nurul Huda Mazumder, Zhan Su, A. Bhuiyan, M. Rashid, and Abdullah Al-Mamun was published in the journal 'Tourism Analysis' in 2017. The DOI 10.3727/108354217X14955605216159 corresponds to this publication. The provided reference details are accurate and consistent with the actual publication.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The article titled 'Economy-wide Impact of Tourism in Malaysia: An Input–output Analysis' by authors Mohammad Nurul Huda Mazumder, Zhan Su, A. Bhuiyan, M. Rashid, and Abdullah Al-Mamun was published in the journal 'Tourism Analysis' in 2017. The DOI 10.3727/108354217X14955605216159 corresponds to this publication. The provided reference details are accurate and consistent with the actual publication."",
  ""confidence"": ""high""
} ",859,166,0.028807,7.411,1,"[""Economy-wide Impact of Tourism in Malaysia: An Input–output Analysis DOI 10.3727/108354217X14955605216159""]",,False,,
6,s2_real,valid,valid,valid,"The reference describes a real Stata module titled 'FRACLOGIT: Stata module to estimate fractional logit model' authored by Daniel A. Powers in 2012. The module is listed in the RePEc database under the handle RePEc:boc:bocode:s457509, confirming its existence and details. The author and title match the provided reference, and the year 2012 aligns with the module's publication date. While the venue is not specified, the module's listing in RePEc serves as a credible source.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real Stata module titled 'FRACLOGIT: Stata module to estimate fractional logit model' authored by Daniel A. Powers in 2012. The module is listed in the RePEc database under the handle RePEc:boc:bocode:s457509, confirming its existence and details. The author and title match the provided reference, and the year 2012 aligns with the module's publication date. While the venue is not specified, the module's listing in RePEc serves as a credible source."",
  ""confidence"": ""high""
} ",778,162,0.028565,3.455,1,"[""FRACLOGIT: Stata module to estimate fractional logit model D. Powers 2012""]",,False,,
7,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Temporal changes of tenderness and juiciness of beef strip loin steaks' authored by C. L. Gomes, S. B. Pflanzer, P. E. de Felício, and M. H. A. Bolini, published in LWT - Food Science and Technology in 2014. The DOI 10.1016/j.lwt.2014.07.007 correctly resolves to this paper. The minor discrepancies in author names (e.g., initials and full names) are acceptable variations.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Temporal changes of tenderness and juiciness of beef strip loin steaks' authored by C. L. Gomes, S. B. Pflanzer, P. E. de Felício, and M. H. A. Bolini, published in LWT - Food Science and Technology in 2014. The DOI 10.1016/j.lwt.2014.07.007 correctly resolves to this paper. The minor discrepancies in author names (e.g., initials and full names) are acceptable variations."",
  ""confidence"": ""high""
} ",847,161,0.028728,6.809,1,"[""10.1016/J.LWT.2014.07.007""]",,False,,
8,iclr2026,fabricated,fabricated,fabricated,"The arXiv ID 'arXiv:2309.12345' does not correspond to any existing paper, and no record of a paper titled 'Measuring and reducing perplexity in large-scale llms' by authors Shiyang Liu, Hongyi Xu, and Min Chen can be found. Additionally, the reference appears in a document under review, suggesting it may be a placeholder or fabricated citation.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID 'arXiv:2309.12345' does not correspond to any existing paper, and no record of a paper titled 'Measuring and reducing perplexity in large-scale llms' by authors Shiyang Liu, Hongyi Xu, and Min Chen can be found. Additionally, the reference appears in a document under review, suggesting it may be a placeholder or fabricated citation."",
  ""confidence"": ""high""
} ",787,139,0.028358,4.413,1,"[""Measuring and reducing perplexity in large-scale llms arXiv:2309.12345""]",,False,,
9,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Living in extreme environments: modeling habitat suitability for jaguars, pumas, and their prey in a semiarid habitat' by authors Samuel Astete, J. Marinho-Filho, R. B. Machado, Bárbara Zimbres, A. Jácomo, R. Sollmann, N. Tôrres, and L. Silveira, published in the Journal of Mammalogy in 2016. The DOI 10.1093/jmammal/gyw184 correctly resolves to this paper. All provided details are accurate and consistent.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Living in extreme environments: modeling habitat suitability for jaguars, pumas, and their prey in a semiarid habitat' by authors Samuel Astete, J. Marinho-Filho, R. B. Machado, Bárbara Zimbres, A. Jácomo, R. Sollmann, N. Tôrres, and L. Silveira, published in the Journal of Mammalogy in 2016. The DOI 10.1093/jmammal/gyw184 correctly resolves to this paper. All provided details are accurate and consistent."",
  ""confidence"": ""high""
} ",919,197,0.029268,5.651,1,"[""Living in extreme environments: modeling habitat suitability for jaguars, pumas, and their prey in a semiarid habitat DOI 10.1093/jmammal/gyw184""]",,False,,
