instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper's title suggests it discusses the role of PINK1 in activating Parkin on mitochondria, which aligns with the claim that PINK1 recruits Parkin to mitochondria.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper's title suggests it discusses the role of PINK1 in activating Parkin on mitochondria, which aligns with the claim that PINK1 recruits Parkin to mitochondria."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1182,81,0.003765,1.292,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper's title suggests it discusses the relationship between PINK1 and Parkin, specifically how PINK1 activates Parkin. This aligns with the citing sentence's claim that Parkin acts downstream of PINK1.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper's title suggests it discusses the relationship between PINK1 and Parkin, specifically how PINK1 activates Parkin. This aligns with the citing sentence's claim that Parkin acts downstream of PINK1."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1207,88,0.003898,1.314,
88,sarol_2024,VALID,VALID,SUPPORTED,"The citing sentence attributes the mediation of autophagic elimination of damaged mitochondria to Parkin, which is dependent on PINK1 kinase activity. The cited paper's title suggests it discusses the role of PINK1 in activating Parkin on impaired mitochondria, aligning with the claim about PINK1's involvement.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence attributes the mediation of autophagic elimination of damaged mitochondria to Parkin, which is dependent on PINK1 kinase activity. The cited paper's title suggests it discusses the role of PINK1 in activating Parkin on impaired mitochondria, aligning with the claim about PINK1's involvement."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1203,106,0.004067,1.492,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper's title suggests it discusses the stabilization of PINK1 on impaired mitochondria, which aligns with the claim about mitochondrial stress initiating the PINK1/Parkin mitophagy pathway.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper's title suggests it discusses the stabilization of PINK1 on impaired mitochondria, which aligns with the claim about mitochondrial stress initiating the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1189,82,0.003792,1.08,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper's title suggests it discusses the role of PINK1 in activating Parkin on impaired mitochondria, which aligns with the claim about PINK1 being essential for Parkin translocation and mitophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper's title suggests it discusses the role of PINK1 in activating Parkin on impaired mitochondria, which aligns with the claim about PINK1 being essential for Parkin translocation and mitophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1194,87,0.003855,2.679,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence discusses specific Parkin mutants and their behavior, but the cited paper's title suggests a focus on PINK1 and its role in activating Parkin, not on specific Parkin mutants or their properties.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence discusses specific Parkin mutants and their behavior, but the cited paper's title suggests a focus on PINK1 and its role in activating Parkin, not on specific Parkin mutants or their properties."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1209,87,0.003893,1.387,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper's title suggests it discusses the role of PINK1 in stabilizing impaired mitochondria, which is related to mitophagy. This aligns with the claim about mitophagy deficits leading to dysfunctional mitochondria accumulation.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper's title suggests it discusses the role of PINK1 in stabilizing impaired mitochondria, which is related to mitophagy. This aligns with the claim about mitophagy deficits leading to dysfunctional mitochondria accumulation."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1180,89,0.00384,1.316,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper's title suggests a focus on the activation of Parkin in the context of impaired mitochondria, which aligns with the citing sentence's claim about Parkin's role in degrading impaired mitochondria.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper's title suggests a focus on the activation of Parkin in the context of impaired mitochondria, which aligns with the citing sentence's claim about Parkin's role in degrading impaired mitochondria."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1185,84,0.003802,1.903,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper's title suggests that it discusses the stabilization of PINK1 on mitochondria and its role in activating Parkin, which aligns with the claim about PINK1 recruiting Parkin without mitochondrial uncoupling.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper's title suggests that it discusses the stabilization of PINK1 on mitochondria and its role in activating Parkin, which aligns with the claim about PINK1 recruiting Parkin without mitochondrial uncoupling."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1181,87,0.003822,1.326,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence refers to M17 neuroblastoma carrying shRNA for PINK1, which suggests a method or tool involving shRNA. The cited paper's title indicates a focus on the stabilization of PINK1 on mitochondria, not on shRNA or its use in neuroblastoma.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence refers to M17 neuroblastoma carrying shRNA for PINK1, which suggests a method or tool involving shRNA. The cited paper's title indicates a focus on the stabilization of PINK1 on mitochondria, not on shRNA or its use in neuroblastoma."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1178,103,0.003975,1.574,
