instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in recruiting Parkin to mitochondria, which aligns with the claim that PINK1 recruits Parkin via its kinase activity. The abstract mentions that PINK1 accumulation is necessary and sufficient for Parkin recruitment, supporting the claim.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in recruiting Parkin to mitochondria, which aligns with the claim that PINK1 recruits Parkin via its kinase activity. The abstract mentions that PINK1 accumulation is necessary and sufficient for Parkin recruitment, supporting the claim."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1412,98,0.00451,1.797,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the relationship between PINK1 and Parkin, specifically how PINK1 is necessary for Parkin recruitment to mitochondria, which aligns with the claim that PINK1 kinase activity is required for many Parkin functions.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the relationship between PINK1 and Parkin, specifically how PINK1 is necessary for Parkin recruitment to mitochondria, which aligns with the claim that PINK1 kinase activity is required for many Parkin functions."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.""
}",1437,90,0.004492,1.492,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria to activate Parkin, which aligns with the claim that Parkin's activity in mediating autophagic elimination of damaged mitochondria is dependent on PINK1 kinase activity.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in stabilizing on impaired mitochondria to activate Parkin, which aligns with the claim that Parkin's activity in mediating autophagic elimination of damaged mitochondria is dependent on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.""
}",1433,122,0.004803,1.587,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses how PINK1 is stabilized on impaired mitochondria to activate Parkin, which aligns with the claim that mitochondrial stress initiates the PINK1/Parkin mitophagy pathway.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how PINK1 is stabilized on impaired mitochondria to activate Parkin, which aligns with the claim that mitochondrial stress initiates the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.""
}",1419,82,0.004367,1.184,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in the recruitment of Parkin to damaged mitochondria and its necessity for Parkin-induced mitophagy, aligning with the claim in the citing sentence.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in the recruitment of Parkin to damaged mitochondria and its necessity for Parkin-induced mitophagy, aligning with the claim in the citing sentence."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.""
}",1424,110,0.00466,1.49,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper discusses how disease-causing mutations in Parkin disrupt Parkin recruitment and Parkin-induced mitophagy, which aligns with the citing sentence's description of Parkin mutants with specific functional deficiencies.",disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how disease-causing mutations in Parkin disrupt Parkin recruitment and Parkin-induced mitophagy, which aligns with the citing sentence's description of Parkin mutants with specific functional deficiencies."",
  ""evidence_quote"": ""disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.""
}",1439,91,0.004508,1.54,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 and Parkin in the process of mitophagy, specifically how PINK1 signals mitochondrial dysfunction to Parkin, which then promotes the elimination of damaged mitochondria. This aligns with the claim that a deficit in mitophagy leads to the accumulation of dysfunctional mitochondria.","PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 and Parkin in the process of mitophagy, specifically how PINK1 signals mitochondrial dysfunction to Parkin, which then promotes the elimination of damaged mitochondria. This aligns with the claim that a deficit in mitophagy leads to the accumulation of dysfunctional mitochondria."",
  ""evidence_quote"": ""PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1410,103,0.004555,1.488,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper discusses how Parkin is recruited to damaged mitochondria to trigger their autophagy, which aligns with the citing sentence's claim about Parkin promoting degradation of impaired mitochondria through ubiquitination-dependent autophagy.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how Parkin is recruited to damaged mitochondria to trigger their autophagy, which aligns with the citing sentence's claim about Parkin promoting degradation of impaired mitochondria through ubiquitination-dependent autophagy."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",1415,88,0.004417,1.545,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses how PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment, which aligns with the claim that stabilized PINK1 recruits Parkin even without mitochondrial uncoupling.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment, which aligns with the claim that stabilized PINK1 recruits Parkin even without mitochondrial uncoupling."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.""
}",1411,83,0.004358,1.181,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence refers to M17 neuroblastoma carrying shRNA for PINK1, which implies a method involving genetic manipulation. The cited paper focuses on the role of PINK1 in mitochondrial function and its interaction with Parkin, not on the use of shRNA or specific experimental models like M17 neuroblastoma.",Loss-of-function mutations in PINK1 and Parkin cause parkinsonism in humans and mitochondrial dysfunction in model organisms.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence refers to M17 neuroblastoma carrying shRNA for PINK1, which implies a method involving genetic manipulation. The cited paper focuses on the role of PINK1 in mitochondrial function and its interaction with Parkin, not on the use of shRNA or specific experimental models like M17 neuroblastoma."",
  ""evidence_quote"": ""Loss-of-function mutations in PINK1 and Parkin cause parkinsonism in humans and mitochondrial dysfunction in model organisms.""
}",1408,112,0.00464,1.794,
