instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in recruiting Parkin to mitochondria, specifically mentioning that PINK1's kinase activity is necessary for this recruitment. This aligns with the citing sentence's claim about PINK1 recruiting Parkin via its kinase activity.","Consistent with necessity of PINK1's mitochondrial localization and kinase activity, exogenous expression of PINK1 KD or PINK1 DN fails to accelerate the kinetics of Parkin recruitment.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in recruiting Parkin to mitochondria, specifically mentioning that PINK1's kinase activity is necessary for this recruitment. This aligns with the citing sentence's claim about PINK1 recruiting Parkin via its kinase activity."",
  ""evidence_quote"": ""Consistent with necessity of PINK1's mitochondrial localization and kinase activity, exogenous expression of PINK1 KD or PINK1 DN fails to accelerate the kinetics of Parkin recruitment.""
}",1981,113,0.006083,1.899,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the relationship between PINK1 and Parkin, specifically that PINK1 accumulation is necessary for Parkin recruitment to mitochondria. This supports the claim that PINK1 kinase activity is required for many Parkin functions, aligning with the citing sentence's context.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the relationship between PINK1 and Parkin, specifically that PINK1 accumulation is necessary for Parkin recruitment to mitochondria. This supports the claim that PINK1 kinase activity is required for many Parkin functions, aligning with the citing sentence's context."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.""
}",1823,98,0.005537,1.384,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in recruiting Parkin to damaged mitochondria and the subsequent autophagic degradation of these mitochondria, which aligns with the claim that Parkin's activity is dependent on PINK1 kinase activity.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in recruiting Parkin to damaged mitochondria and the subsequent autophagic degradation of these mitochondria, which aligns with the claim that Parkin's activity is dependent on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.""
}",2002,119,0.006195,1.634,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses how PINK1 is stabilized on impaired mitochondria and how this stabilization is linked to Parkin recruitment and mitophagy, which aligns with the claim that mitochondrial stress initiates the PINK1/Parkin mitophagy pathway.","In addition, increased expression of PINK1 on the outer mitochondrial membrane is sufficient for Parkin recruitment and Parkin-induced mitophagy, suggesting that loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how PINK1 is stabilized on impaired mitochondria and how this stabilization is linked to Parkin recruitment and mitophagy, which aligns with the claim that mitochondrial stress initiates the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""In addition, increased expression of PINK1 on the outer mitochondrial membrane is sufficient for Parkin recruitment and Parkin-induced mitophagy, suggesting that loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1.""
}",1753,122,0.005602,1.466,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper provides evidence that PINK1 is necessary for Parkin recruitment to depolarized mitochondria and for Parkin-induced mitophagy, aligning with the claim in the citing sentence. The paper discusses how PINK1 accumulation on damaged mitochondria is necessary for Parkin recruitment and subsequent mitophagy.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper provides evidence that PINK1 is necessary for Parkin recruitment to depolarized mitochondria and for Parkin-induced mitophagy, aligning with the claim in the citing sentence. The paper discusses how PINK1 accumulation on damaged mitochondria is necessary for Parkin recruitment and subsequent mitophagy."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.""
}",2006,133,0.006345,1.895,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper discusses the effects of specific Parkin mutations, including R275W and mutations in cysteine residues, on Parkin's recruitment to mitochondria and its ability to induce mitophagy. This aligns with the citing sentence's description of ParkinR275W and ParkinC441R mutants.","Interestingly, the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy, suggesting that recruitment and mitophagy can be experimentally disassociated.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the effects of specific Parkin mutations, including R275W and mutations in cysteine residues, on Parkin's recruitment to mitochondria and its ability to induce mitophagy. This aligns with the citing sentence's description of ParkinR275W and ParkinC441R mutants."",
  ""evidence_quote"": ""Interestingly, the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy, suggesting that recruitment and mitophagy can be experimentally disassociated.""
}",2011,134,0.006367,5.795,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses how mutations in PINK1 and Parkin can lead to a deficit in mitophagy, which aligns with the claim that a deficit in mitophagy leads to the accumulation of dysfunctional mitochondria. The paper provides evidence of mitophagy deficits due to specific mutations, supporting the general claim about mitophagy deficits.",patient mutations R211N and C212Y caused a similar deficit in mitophagy,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how mutations in PINK1 and Parkin can lead to a deficit in mitophagy, which aligns with the claim that a deficit in mitophagy leads to the accumulation of dysfunctional mitochondria. The paper provides evidence of mitophagy deficits due to specific mutations, supporting the general claim about mitophagy deficits."",
  ""evidence_quote"": ""patient mutations R211N and C212Y caused a similar deficit in mitophagy""
}",1975,108,0.006018,1.4,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper discusses how Parkin is recruited to damaged mitochondria and promotes their autophagic degradation, which aligns with the citing sentence's claim about Parkin promoting degradation through ubiquitination-dependent autophagy.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses how Parkin is recruited to damaged mitochondria and promotes their autophagic degradation, which aligns with the citing sentence's claim about Parkin promoting degradation through ubiquitination-dependent autophagy."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",2002,85,0.005855,1.509,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper provides evidence that increased expression of PINK1 on the mitochondrial outer membrane is sufficient for Parkin recruitment, even in the absence of mitochondrial uncoupling, which aligns with the claim in the citing sentence.","In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper provides evidence that increased expression of PINK1 on the mitochondrial outer membrane is sufficient for Parkin recruitment, even in the absence of mitochondrial uncoupling, which aligns with the claim in the citing sentence."",
  ""evidence_quote"": ""In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP.""
}",1897,91,0.005653,2.12,
95,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses experiments involving M17 neuroblastoma cells with PINK1 shRNA, which aligns with the citing sentence mentioning M17 neuroblastoma carrying shRNA for PINK1. This indicates that the cited paper is an appropriate source for this experimental setup.",We found that Parkin-induced mitophagy is also dependent on PINK1 expression in the M17 human neuroblastoma cell line.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses experiments involving M17 neuroblastoma cells with PINK1 shRNA, which aligns with the citing sentence mentioning M17 neuroblastoma carrying shRNA for PINK1. This indicates that the cited paper is an appropriate source for this experimental setup."",
  ""evidence_quote"": ""We found that Parkin-induced mitophagy is also dependent on PINK1 expression in the M17 human neuroblastoma cell line.""
}",2010,104,0.006065,1.514,
96,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper discusses the role of PINK1 in response to mitochondrial depolarization and its effect on Parkin recruitment, specifically mentioning the use of CCCP to induce mitochondrial depolarization and the subsequent increase in PINK1 levels. This aligns with the citing sentence's claim about CCCP activating the PINK1/Parkin pathway.","When HeLa cells are treated with CCCP, which depolarizes mitochondria by increasing membrane permeability to H + , a large increase in endogenous full-length PINK1 (,63 kDa) is seen beginning by 30 min and continuing for at least 3 h.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in response to mitochondrial depolarization and its effect on Parkin recruitment, specifically mentioning the use of CCCP to induce mitochondrial depolarization and the subsequent increase in PINK1 levels. This aligns with the citing sentence's claim about CCCP activating the PINK1/Parkin pathway."",
  ""evidence_quote"": ""When HeLa cells are treated with CCCP, which depolarizes mitochondria by increasing membrane permeability to H + , a large increase in endogenous full-length PINK1 (,63 kDa) is seen beginning by 30 min and continuing for at least 3 h.""
}",1927,145,0.006267,2.154,
