instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The paper demonstrates that PINK1 accumulates on damaged mitochondria and is necessary and sufficient to recruit Parkin to the outer mitochondrial membrane, implying recruitment via PINK1’s kinase-dependent signaling function. This aligns with the citing sentence’s claim about PINK1 recruiting Parkin at the OMM via its activity.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... they support a novel model... in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper demonstrates that PINK1 accumulates on damaged mitochondria and is necessary and sufficient to recruit Parkin to the outer mitochondrial membrane, implying recruitment via PINK1’s kinase-dependent signaling function. This aligns with the citing sentence’s claim about PINK1 recruiting Parkin at the OMM via its activity."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... they support a novel model... in which PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1411,139,0.003154,2.539,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulation is necessary and sufficient to recruit/activate Parkin on damaged mitochondria, establishing that Parkin acts downstream of PINK1 and depends on PINK1 activity for its function. This aligns with the claim that PINK1 kinase activity is required for many Parkin functions and that Parkin acts downstream of PINK1.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... These findings provide a biochemical explanation for the genetic epistasis between PINK1 and Parkin... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulation is necessary and sufficient to recruit/activate Parkin on damaged mitochondria, establishing that Parkin acts downstream of PINK1 and depends on PINK1 activity for its function. This aligns with the claim that PINK1 kinase activity is required for many Parkin functions and that Parkin acts downstream of PINK1."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... These findings provide a biochemical explanation for the genetic epistasis between PINK1 and Parkin... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1436,162,0.003415,2.478,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulates on damaged mitochondria and is necessary and sufficient for Parkin recruitment, leading to Parkin-induced mitophagy, directly supporting that Parkin relocalizes to damaged mitochondria and that this process depends on PINK1 kinase activity.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... and Parkin promotes their elimination.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulates on damaged mitochondria and is necessary and sufficient for Parkin recruitment, leading to Parkin-induced mitophagy, directly supporting that Parkin relocalizes to damaged mitochondria and that this process depends on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... and Parkin promotes their elimination.""
}",1432,115,0.00294,2.734,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that loss of membrane potential (mitochondrial damage) leads to stabilization of PINK1 on impaired mitochondria, which recruits Parkin and triggers mitophagy. This aligns with the claim that mitochondrial stress such as membrane potential inhibitors initiates the PINK1/Parkin mitophagy pathway.",expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... Parkin- induced mitophagy,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that loss of membrane potential (mitochondrial damage) leads to stabilization of PINK1 on impaired mitochondria, which recruits Parkin and triggers mitophagy. This aligns with the claim that mitochondrial stress such as membrane potential inhibitors initiates the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... Parkin- induced mitophagy""
}",1418,156,0.003332,3.018,
90,sarol_2024,VALID,VALID,SUPPORTED,"The paper demonstrates that PINK1 accumulates on damaged (depolarized) mitochondria and that this accumulation is necessary and sufficient for Parkin recruitment, leading to Parkin-induced mitophagy, matching the claim that PINK1 is essential for Parkin translocation and Parkin-mediated mitophagy.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper demonstrates that PINK1 accumulates on damaged (depolarized) mitochondria and that this accumulation is necessary and sufficient for Parkin recruitment, leading to Parkin-induced mitophagy, matching the claim that PINK1 is essential for Parkin translocation and Parkin-mediated mitophagy."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1423,140,0.003179,2.315,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The citing sentence attributes properties of Parkin mutants regarding translocation and mitophagy. The cited paper studies PINK1-dependent recruitment of Parkin to damaged mitochondria and reports that disease-causing mutations in Parkin disrupt recruitment and Parkin-induced mitophagy at distinct steps, which aligns with the described mutant behaviors.","“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence attributes properties of Parkin mutants regarding translocation and mitophagy. The cited paper studies PINK1-dependent recruitment of Parkin to damaged mitochondria and reports that disease-causing mutations in Parkin disrupt recruitment and Parkin-induced mitophagy at distinct steps, which aligns with the described mutant behaviors."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.”""
}",1438,145,0.003247,2.502,
92,sarol_2024,VALID,VALID,SUPPORTED,"The paper establishes that PINK1/Parkin-mediated mitophagy targets damaged mitochondria for elimination; loss-of-function mutations disrupt Parkin recruitment and mitophagy, implying that deficits in this pathway would allow dysfunctional mitochondria to accumulate.","Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper establishes that PINK1/Parkin-mediated mitophagy targets damaged mitochondria for elimination; loss-of-function mutations disrupt Parkin recruitment and mitophagy, implying that deficits in this pathway would allow dysfunctional mitochondria to accumulate."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1409,139,0.003151,3.529,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper discusses Parkin being recruited to damaged mitochondria and promoting their elimination via mitophagy, aligning with the claim that Parkin promotes degradation of impaired mitochondria through autophagy (ubiquitination-dependent is consistent with Parkin’s E3 ligase role).","Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper discusses Parkin being recruited to damaged mitochondria and promoting their elimination via mitophagy, aligning with the claim that Parkin promotes degradation of impaired mitochondria through autophagy (ubiquitination-dependent is consistent with Parkin’s E3 ligase role)."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.""
}",1414,126,0.003027,2.236,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulation on mitochondria is sufficient to recruit Parkin, implying Parkin recruitment can occur without mitochondrial uncoupling if PINK1 is experimentally stabilized on the outer membrane.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... expression of PINK1 ... is regulated by voltage-dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulation on mitochondria is sufficient to recruit Parkin, implying Parkin recruitment can occur without mitochondrial uncoupling if PINK1 is experimentally stabilized on the outer membrane."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... expression of PINK1 ... is regulated by voltage-dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage.""
}",1410,123,0.002992,2.198,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The sentence appears to describe use of shRNA constructs targeting PINK1 in M17 neuroblastoma cells, which is a methodological detail. The cited paper studies PINK1 stabilization on damaged mitochondria and Parkin recruitment, not shRNA design/use in M17 cells. It does not seem to be the introducer of the specific shRNA tool or cell line usage.","Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria...","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The sentence appears to describe use of shRNA constructs targeting PINK1 in M17 neuroblastoma cells, which is a methodological detail. The cited paper studies PINK1 stabilization on damaged mitochondria and Parkin recruitment, not shRNA design/use in M17 cells. It does not seem to be the introducer of the specific shRNA tool or cell line usage."",
  ""evidence_quote"": ""Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria...""
}",1407,151,0.003269,3.171,
96,sarol_2024,VALID,VALID,SUPPORTED,"The paper demonstrates that loss of mitochondrial membrane potential stabilizes PINK1 on impaired mitochondria and recruits Parkin, which aligns with the claim that depolarization (as induced by CCCP) activates the PINK1/Parkin pathway.",expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper demonstrates that loss of mitochondrial membrane potential stabilizes PINK1 on impaired mitochondria and recruits Parkin, which aligns with the claim that depolarization (as induced by CCCP) activates the PINK1/Parkin pathway."",
  ""evidence_quote"": ""expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1434,133,0.003123,3.244,
97,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper demonstrates that PINK1 accumulates on damaged mitochondria and that this accumulation is necessary and sufficient for Parkin recruitment, matching the claim that Parkin translocation requires PINK1 which stabilizes on damaged mitochondria.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... expression of PINK1 ... facilitates the rapid accumulation of PINK1 on mitochondria that sustain damage.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper demonstrates that PINK1 accumulates on damaged mitochondria and that this accumulation is necessary and sufficient for Parkin recruitment, matching the claim that Parkin translocation requires PINK1 which stabilizes on damaged mitochondria."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... expression of PINK1 ... facilitates the rapid accumulation of PINK1 on mitochondria that sustain damage.""
}",1411,119,0.002954,2.362,
