instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not mention PINK1 recruiting Parkin to mitochondria via its kinase activity. Instead, it states that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment, but does not specify the mechanism of recruitment.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not mention PINK1 recruiting Parkin to mitochondria via its kinase activity. Instead, it states that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment, but does not specify the mechanism of recruitment."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1429,121,0.0,3.594,
87,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss the relationship between PINK1 kinase activity and Parkin functions, nor does it mention Parkin acting downstream of PINK1. The paper focuses on how PINK1 and Parkin interact to recognize and eliminate damaged mitochondria, but does not address the specific claim about PINK1 kinase activity being required for Parkin functions.","How Parkin recognizes damaged mitochondria, however, is unknown.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss the relationship between PINK1 kinase activity and Parkin functions, nor does it mention Parkin acting downstream of PINK1. The paper focuses on how PINK1 and Parkin interact to recognize and eliminate damaged mitochondria, but does not address the specific claim about PINK1 kinase activity being required for Parkin functions."",
  ""evidence_quote"": ""How Parkin recognizes damaged mitochondria, however, is unknown.""
}",1453,109,0.0,3.274,
88,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not describe the autophagic elimination of damaged mitochondria as being dependent on PINK1 kinase activity. Instead, it states that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment to mitochondria, but does not mention the specific dependency on PINK1 kinase activity.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not describe the autophagic elimination of damaged mitochondria as being dependent on PINK1 kinase activity. Instead, it states that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment to mitochondria, but does not mention the specific dependency on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1450,134,0.0,3.948,
89,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss the initiation of the PINK1/Parkin mitophagy pathway by mitochondrial stress such as exposure to membrane potential inhibitors. Instead, it focuses on the regulation of PINK1 expression on individual mitochondria and its role in recruiting Parkin to damaged mitochondria.","How Parkin recognizes damaged mitochondria, however, is unknown.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss the initiation of the PINK1/Parkin mitophagy pathway by mitochondrial stress such as exposure to membrane potential inhibitors. Instead, it focuses on the regulation of PINK1 expression on individual mitochondria and its role in recruiting Parkin to damaged mitochondria."",
  ""evidence_quote"": ""How Parkin recognizes damaged mitochondria, however, is unknown.""
}",1435,95,0.0,2.902,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment to mitochondria, which is consistent with the citing sentence's claim that PINK1 is essential for the Parkin translocation to depolarized mitochondria.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment to mitochondria, which is consistent with the citing sentence's claim that PINK1 is essential for the Parkin translocation to depolarized mitochondria."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,""
}",1441,96,0.0,2.931,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss Parkin mutants ParkinR275W and ParkinC441R, nor does it describe their behavior. The paper focuses on the relationship between PINK1 and Parkin, specifically how PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss Parkin mutants ParkinR275W and ParkinC441R, nor does it describe their behavior. The paper focuses on the relationship between PINK1 and Parkin, specifically how PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1455,131,0.0,3.866,
92,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper discusses the role of PINK1 in recognizing and recruiting Parkin to damaged mitochondria, but it does not discuss the accumulation of dysfunctional mitochondria due to a deficit in mitophagy. The paper actually discusses the opposite, mitophagy being a process that eliminates damaged mitochondria.",Parkin promotes their elimination.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the role of PINK1 in recognizing and recruiting Parkin to damaged mitochondria, but it does not discuss the accumulation of dysfunctional mitochondria due to a deficit in mitophagy. The paper actually discusses the opposite, mitophagy being a process that eliminates damaged mitochondria."",
  ""evidence_quote"": ""Parkin promotes their elimination.""
}",1426,90,0.0,2.766,
93,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The cited paper discusses the relationship between PINK1 and Parkin, but it does not mention Parkin promoting the degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy. The paper actually describes Parkin being recruited to damaged mitochondria to trigger their autophagy, but it does not describe the mechanism of degradation.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the relationship between PINK1 and Parkin, but it does not mention Parkin promoting the degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy. The paper actually describes Parkin being recruited to damaged mitochondria to trigger their autophagy, but it does not describe the mechanism of degradation."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",1432,113,0.0,3.383,
94,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss the experimental stabilization of PINK1 on the mitochondrial outer membrane, nor does it mention recruiting Parkin in the absence of mitochondrial uncoupling. The paper focuses on how PINK1 is selectively stabilized on impaired mitochondria to activate Parkin, which is a different scenario.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss the experimental stabilization of PINK1 on the mitochondrial outer membrane, nor does it mention recruiting Parkin in the absence of mitochondrial uncoupling. The paper focuses on how PINK1 is selectively stabilized on impaired mitochondria to activate Parkin, which is a different scenario."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1428,132,0.0,3.891,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss the use of PINK1 shRNA in M17 neuroblastoma cells. The paper focuses on the biochemical explanation for the genetic epistasis between PINK1 and Parkin in Drosophila melanogaster, and the role of PINK1 in signaling mitochondrial dysfunction to Parkin.","Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis to maintain low levels of PINK1 on healthy, polarized mitochondria, while facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss the use of PINK1 shRNA in M17 neuroblastoma cells. The paper focuses on the biochemical explanation for the genetic epistasis between PINK1 and Parkin in Drosophila melanogaster, and the role of PINK1 in signaling mitochondrial dysfunction to Parkin."",
  ""evidence_quote"": ""Here, we show that expression of PINK1 on individual mitochondria is regulated by voltage-dependent proteolysis to maintain low levels of PINK1 on healthy, polarized mitochondria, while facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage.""
}",1425,144,0.0,4.22,
