instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not support the claim that PINK1 recruits Parkin to mitochondria via its kinase activity. The paper shows that PINK1's mitochondrial targeting and kinase activity are necessary for Parkin recruitment, but it does not provide evidence that kinase activity is the specific mechanism by which PINK1 recruits Parkin.",A kinase-deficient (KD) version of PINK1 [28] also failed to reconstitute Parkin recruitment to mitochondria (Figure 3A and 3B).,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not support the claim that PINK1 recruits Parkin to mitochondria via its kinase activity. The paper shows that PINK1's mitochondrial targeting and kinase activity are necessary for Parkin recruitment, but it does not provide evidence that kinase activity is the specific mechanism by which PINK1 recruits Parkin."",
  ""evidence_quote"": ""A kinase-deficient (KD) version of PINK1 [28] also failed to reconstitute Parkin recruitment to mitochondria (Figure 3A and 3B).""
}",1999,128,0.0,3.88,
87,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not establish that PINK1 acts upstream of Parkin. Instead, it shows that PINK1 accumulation is necessary and sufficient for Parkin recruitment to mitochondria, and that PINK1 and Parkin are genetically epistatic. This suggests that Parkin acts downstream of PINK1, contrary to the citing sentence's claim.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not establish that PINK1 acts upstream of Parkin. Instead, it shows that PINK1 accumulation is necessary and sufficient for Parkin recruitment to mitochondria, and that PINK1 and Parkin are genetically epistatic. This suggests that Parkin acts downstream of PINK1, contrary to the citing sentence's claim."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1840,142,0.0,4.241,
88,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper describes how PINK1 is selectively stabilized on impaired mitochondria to activate Parkin, but it does not mention that Parkin mediates the autophagic elimination of damaged mitochondria being dependent on PINK1 kinase activity.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper describes how PINK1 is selectively stabilized on impaired mitochondria to activate Parkin, but it does not mention that Parkin mediates the autophagic elimination of damaged mitochondria being dependent on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",2025,119,0.0,3.646,
89,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss the initiation of the PINK1/Parkin mitophagy pathway by mitochondrial stress, such as exposure to membrane potential inhibitors. Instead, it focuses on the regulation of PINK1 expression and its role in Parkin recruitment and mitophagy.","In addition, determining how PINK1 cleavage is modulated by membrane potential will require further study.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss the initiation of the PINK1/Parkin mitophagy pathway by mitochondrial stress, such as exposure to membrane potential inhibitors. Instead, it focuses on the regulation of PINK1 expression and its role in Parkin recruitment and mitophagy."",
  ""evidence_quote"": ""In addition, determining how PINK1 cleavage is modulated by membrane potential will require further study.""
}",1772,100,0.0,3.095,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 is necessary and sufficient for Parkin recruitment to mitochondria, and that PINK1's mitochondrial targeting signal and depolarization-induced accumulation are required for Parkin recruitment and mitophagy.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 is necessary and sufficient for Parkin recruitment to mitochondria, and that PINK1's mitochondrial targeting signal and depolarization-induced accumulation are required for Parkin recruitment and mitophagy."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",2024,117,0.0,3.59,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss the Parkin mutants ParkinR275W and ParkinC441R, which are the specific mutants used in the citing sentence. The paper does discuss the R275W mutation, but it only mentions that it causes a minor disturbance of Parkin recruitment to depolarized mitochondria, and does not discuss the C441R mutation at all.","Mutations in key cysteine residues in the RBR domain or deletion of RING2, which is responsible for Parkin's ubiquitin ligase activity, severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy. Interestingly, the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy, suggesting that recruitment and mitophagy can be experimentally disassociated.","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss the Parkin mutants ParkinR275W and ParkinC441R, which are the specific mutants used in the citing sentence. The paper does discuss the R275W mutation, but it only mentions that it causes a minor disturbance of Parkin recruitment to depolarized mitochondria, and does not discuss the C441R mutation at all."",
  ""evidence_quote"": ""Mutations in key cysteine residues in the RBR domain or deletion of RING2, which is responsible for Parkin's ubiquitin ligase activity, severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy. Interestingly, the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy, suggesting that recruitment and mitophagy can be experimentally disassociated.""
}",2031,203,0.0,5.896,
92,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper discusses the PINK1/Parkin pathway and its role in mitophagy, but it does not discuss a general deficit in mitophagy leading to accumulation of dysfunctional mitochondria. Instead, it highlights specific mutations in PINK1 and Parkin that disrupt mitophagy at distinct steps.",Loss-of-function mutations in PINK1 and Parkin cause parkinsonism in humans and mitochondrial dysfunction in model organisms. Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper discusses the PINK1/Parkin pathway and its role in mitophagy, but it does not discuss a general deficit in mitophagy leading to accumulation of dysfunctional mitochondria. Instead, it highlights specific mutations in PINK1 and Parkin that disrupt mitophagy at distinct steps."",
  ""evidence_quote"": ""Loss-of-function mutations in PINK1 and Parkin cause parkinsonism in humans and mitochondrial dysfunction in model organisms. Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",1992,130,0.0,3.942,
93,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The cited paper describes how PINK1 is necessary and sufficient for Parkin recruitment to mitochondria, but it does not discuss how Parkin promotes the degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy.",Parkin promotes their autophagic degradation [21],"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper describes how PINK1 is necessary and sufficient for Parkin recruitment to mitochondria, but it does not discuss how Parkin promotes the degradation of functionally impaired mitochondria through ubiquitination-dependent autophagy."",
  ""evidence_quote"": ""Parkin promotes their autophagic degradation [21]""
}",2025,81,0.0,2.63,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that increased expression of PINK1 on the outer mitochondrial membrane is sufficient for Parkin recruitment, even in the absence of mitochondrial uncoupling.","In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP (Figure 5C and 5D), as has been reported previously [27].","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that increased expression of PINK1 on the outer mitochondrial membrane is sufficient for Parkin recruitment, even in the absence of mitochondrial uncoupling."",
  ""evidence_quote"": ""In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP (Figure 5C and 5D), as has been reported previously [27].""
}",1915,100,0.0,3.109,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not discuss the use of shRNA for PINK1 in M17 neuroblastoma cells. The paper focuses on the role of PINK1 in recruiting Parkin to damaged mitochondria and the necessity of PINK1 for Parkin-induced mitophagy, but does not provide information on the use of shRNA for PINK1 in M17 cells.",We found that Parkin-induced mitophagy is also dependent on PINK1 expression in the M17 human neuroblastoma cell line.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not discuss the use of shRNA for PINK1 in M17 neuroblastoma cells. The paper focuses on the role of PINK1 in recruiting Parkin to damaged mitochondria and the necessity of PINK1 for Parkin-induced mitophagy, but does not provide information on the use of shRNA for PINK1 in M17 cells."",
  ""evidence_quote"": ""We found that Parkin-induced mitophagy is also dependent on PINK1 expression in the M17 human neuroblastoma cell line.""
}",2025,128,0.0,3.89,
96,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper does not report a decline in mitochondrial membrane-potential induced by CCCP activating the PINK1/Parkin pathway. Instead, it shows that CCCP depolarizes mitochondria, leading to an increase in endogenous PINK1, which in turn activates Parkin. The citing sentence inverts the relationship between CCCP and PINK1/Parkin activation.","When HeLa cells are treated with CCCP, which depolarizes mitochondria by increasing membrane permeability to H+, a large increase in endogenous full-length PINK1 (,63 kDa) is seen beginning by 30 min and continuing for at least 3 h (Figure 1A).","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper does not report a decline in mitochondrial membrane-potential induced by CCCP activating the PINK1/Parkin pathway. Instead, it shows that CCCP depolarizes mitochondria, leading to an increase in endogenous PINK1, which in turn activates Parkin. The citing sentence inverts the relationship between CCCP and PINK1/Parkin activation."",
  ""evidence_quote"": ""When HeLa cells are treated with CCCP, which depolarizes mitochondria by increasing membrane permeability to H+, a large increase in endogenous full-length PINK1 (,63 kDa) is seen beginning by 30 min and continuing for at least 3 h (Figure 1A).""
}",1949,164,0.0,4.843,
97,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment, and that PINK1 is selectively stabilized on damaged mitochondria. This directly supports the citing sentence's claim that the function of PINK1 is required for the translocation of Parkin.","PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 accumulation on mitochondria is necessary and sufficient for Parkin recruitment, and that PINK1 is selectively stabilized on damaged mitochondria. This directly supports the citing sentence's claim that the function of PINK1 is required for the translocation of Parkin."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria, and disease-causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin-induced mitophagy at distinct steps.""
}",1862,130,0.0,3.914,
98,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that PINK1 selectively accumulates on dysfunctional mitochondria, which matches the citing sentence's claim that PINK1 is stabilized on damaged mitochondria.",PINK1 selectively accumulates on dysfunctional mitochondria with low membrane potentials.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that PINK1 selectively accumulates on dysfunctional mitochondria, which matches the citing sentence's claim that PINK1 is stabilized on damaged mitochondria."",
  ""evidence_quote"": ""PINK1 selectively accumulates on dysfunctional mitochondria with low membrane potentials.""
}",1752,73,0.0,2.365,
