instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The paper shows that mitochondrial (OMM-targeted) PINK1 is sufficient to recruit Parkin and that kinase-deficient PINK1 fails to do so, indicating recruitment depends on PINK1’s kinase activity.",“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.”; “A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper shows that mitochondrial (OMM-targeted) PINK1 is sufficient to recruit Parkin and that kinase-deficient PINK1 fails to do so, indicating recruitment depends on PINK1’s kinase activity."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria.”; “A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria.”""
}",1980,1468,0.017155,19.264,
87,sarol_2024,VALID,VALID,SUPPORTED,"The paper shows that PINK1 functions upstream of Parkin and that PINK1’s kinase activity is required for Parkin recruitment/mitophagy, aligning with the claim that Parkin acts downstream of PINK1 and that PINK1 kinase activity is needed for Parkin functions.","“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”; “A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper shows that PINK1 functions upstream of Parkin and that PINK1’s kinase activity is required for Parkin recruitment/mitophagy, aligning with the claim that Parkin acts downstream of PINK1 and that PINK1 kinase activity is needed for Parkin functions."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria… PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”; “A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria.”""
}",1822,1115,0.013428,14.76,
88,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The paper clearly shows that PINK1 accumulation on damaged mitochondria is necessary and sufficient for Parkin recruitment and mitophagy, but the provided information does not specifically demonstrate that this dependence requires PINK1’s kinase activity.","“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,” and “Parkin recruitment … and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal and depolarization-induced accumulation.”","{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The paper clearly shows that PINK1 accumulation on damaged mitochondria is necessary and sufficient for Parkin recruitment and mitophagy, but the provided information does not specifically demonstrate that this dependence requires PINK1’s kinase activity."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,” and “Parkin recruitment … and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal and depolarization-induced accumulation.”""
}",2001,2115,0.023651,30.468,
89,sarol_2024,VALID,VALID,SUPPORTED,"The paper demonstrates that loss of mitochondrial membrane potential stabilizes PINK1 on damaged mitochondria, which is sufficient to recruit Parkin and induce mitophagy, aligning with the claim that mitochondrial stress (e.g., potential inhibitors) initiates the PINK1/Parkin pathway.",expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper demonstrates that loss of mitochondrial membrane potential stabilizes PINK1 on damaged mitochondria, which is sufficient to recruit Parkin and induce mitophagy, aligning with the claim that mitochondrial stress (e.g., potential inhibitors) initiates the PINK1/Parkin pathway."",
  ""evidence_quote"": ""expression of PINK1 on individual mitochondria is regulated by voltage- dependent proteolysis... facilitating the rapid accumulation of PINK1 on mitochondria that sustain damage. PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria""
}",1752,717,0.00936,12.711,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that mitochondrial PINK1 is required for recruiting/translocating Parkin to damaged (depolarized) mitochondria and that perturbing PINK1 disrupts Parkin-induced mitophagy, supporting the claim of essentiality for both processes.",“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria” … “disease‑causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin‑induced mitophagy.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that mitochondrial PINK1 is required for recruiting/translocating Parkin to damaged (depolarized) mitochondria and that perturbing PINK1 disrupts Parkin-induced mitophagy, supporting the claim of essentiality for both processes."",
  ""evidence_quote"": ""“PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria” … “disease‑causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin‑induced mitophagy.”""
}",2005,1223,0.014736,18.138,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper reports that Parkin R275W is recruited to depolarized mitochondria but strongly impairs mitophagy, and that mutations in key cysteines in the RBR domain disrupt Parkin recruitment, consistent with C441R failing to translocate.",“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy” … “Mutations in key cysteine residues in the RBR domain … severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper reports that Parkin R275W is recruited to depolarized mitochondria but strongly impairs mitophagy, and that mutations in key cysteines in the RBR domain disrupt Parkin recruitment, consistent with C441R failing to translocate."",
  ""evidence_quote"": ""“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy” … “Mutations in key cysteine residues in the RBR domain … severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”""
}",2010,1821,0.020723,25.51,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that damaged mitochondria are eliminated via PINK1/Parkin-mediated mitophagy, and that mutations disrupting this pathway impair mitophagy. It reasonably follows that when mitophagy is deficient, dysfunctional mitochondria are not cleared and therefore accumulate.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... Parkin promotes their elimination. ... disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that damaged mitochondria are eliminated via PINK1/Parkin-mediated mitophagy, and that mutations disrupting this pathway impair mitophagy. It reasonably follows that when mitophagy is deficient, dysfunctional mitochondria are not cleared and therefore accumulate."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy... Parkin promotes their elimination. ... disease- causing mutations in PINK1 and Parkin disrupt Parkin recruitment and Parkin- induced mitophagy at distinct steps.""
}",1974,1163,0.014097,16.191,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The paper shows that Parkin is recruited to damaged mitochondria and induces their autophagic degradation, i.e., mitophagy, leading to elimination of impaired mitochondria. This aligns with the claim that Parkin promotes degradation of dysfunctional mitochondria via autophagy.","“Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy… PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The paper shows that Parkin is recruited to damaged mitochondria and induces their autophagic degradation, i.e., mitophagy, leading to elimination of impaired mitochondria. This aligns with the claim that Parkin promotes degradation of dysfunctional mitochondria via autophagy."",
  ""evidence_quote"": ""“Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy… PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”""
}",2001,1213,0.014631,15.679,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper shows that increased/stabilized PINK1 on the outer mitochondrial membrane is sufficient to recruit Parkin even without mitochondrial depolarization/uncoupling (CCCP), matching the claim.","In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP... they indicate that increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper shows that increased/stabilized PINK1 on the outer mitochondrial membrane is sufficient to recruit Parkin even without mitochondrial depolarization/uncoupling (CCCP), matching the claim."",
  ""evidence_quote"": ""In cells with high expression of PINK1, Parkin is recruited to mitochondria even in the absence of CCCP... they indicate that increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.""
}",1896,820,0.01057,11.073,
95,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper uses M17 human neuroblastoma cells stably transduced with control or PINK1 shRNA, matching the described method.",In M17 cells stably transduced with PINK1 shRNA... whereas 67.3±3.1% of control shRNA M17 cells displayed mitochondrial YFP-Parkin...,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper uses M17 human neuroblastoma cells stably transduced with control or PINK1 shRNA, matching the described method."",
  ""evidence_quote"": ""In M17 cells stably transduced with PINK1 shRNA... whereas 67.3±3.1% of control shRNA M17 cells displayed mitochondrial YFP-Parkin...""
}",2009,803,0.010541,8.821,
