instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is known for demonstrating that PINK1 accumulates on damaged mitochondria and activates/recruits the E3 ligase Parkin, a process dependent on PINK1 kinase activity. This directly aligns with the claim about PINK1 recruiting Parkin to mitochondria via its kinase activity.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is known for demonstrating that PINK1 accumulates on damaged mitochondria and activates/recruits the E3 ligase Parkin, a process dependent on PINK1 kinase activity. This directly aligns with the claim about PINK1 recruiting Parkin to mitochondria via its kinase activity."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1181,113,0.002606,2.968,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is a key study showing that PINK1 accumulates on damaged mitochondria to recruit/activate Parkin, establishing that Parkin acts downstream of PINK1 and that PINK1 kinase activity is critical for Parkin’s function. This aligns with the citing sentence’s premise about PINK1-dependent activation of Parkin.",PINK1 is selectively stabilized on impaired mitochondria to activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is a key study showing that PINK1 accumulates on damaged mitochondria to recruit/activate Parkin, establishing that Parkin acts downstream of PINK1 and that PINK1 kinase activity is critical for Parkin’s function. This aligns with the citing sentence’s premise about PINK1-dependent activation of Parkin."",
  ""evidence_quote"": ""PINK1 is selectively stabilized on impaired mitochondria to activate Parkin""
}",1206,114,0.002647,3.553,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper specifically studies how PINK1 accumulates on damaged mitochondria and activates Parkin, leading to Parkin recruitment to mitochondria upon mitochondrial impairment, consistent with the claim that Parkin relocalization and mitophagy are dependent on PINK1 kinase activity.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper specifically studies how PINK1 accumulates on damaged mitochondria and activates Parkin, leading to Parkin recruitment to mitochondria upon mitochondrial impairment, consistent with the claim that Parkin relocalization and mitophagy are dependent on PINK1 kinase activity."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1202,107,0.002573,3.553,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper established that loss of mitochondrial membrane potential stabilizes PINK1 on damaged mitochondria, which in turn recruits/activates Parkin to initiate mitophagy. This directly supports the claim that mitochondrial stress via membrane potential inhibitors triggers the PINK1/Parkin pathway.",PINK1 is selectively stabilized on impaired (depolarized) mitochondria to activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper established that loss of mitochondrial membrane potential stabilizes PINK1 on damaged mitochondria, which in turn recruits/activates Parkin to initiate mitophagy. This directly supports the claim that mitochondrial stress via membrane potential inhibitors triggers the PINK1/Parkin pathway."",
  ""evidence_quote"": ""PINK1 is selectively stabilized on impaired (depolarized) mitochondria to activate Parkin""
}",1188,107,0.002555,2.772,
90,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper focuses on how PINK1 accumulates on damaged (impaired/depolarized) mitochondria to activate Parkin, which underlies Parkin translocation and mitophagy initiation. This aligns with the claim that PINK1 is essential for Parkin recruitment to depolarized mitochondria and Parkin-mediated mitophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper focuses on how PINK1 accumulates on damaged (impaired/depolarized) mitochondria to activate Parkin, which underlies Parkin translocation and mitophagy initiation. This aligns with the claim that PINK1 is essential for Parkin recruitment to depolarized mitochondria and Parkin-mediated mitophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1193,121,0.002701,3.144,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence makes specific functional claims about two Parkin mutants (R275W translocates but fails to induce mitophagy; C441R fails to translocate). The cited paper’s title indicates a focus on PINK1 stabilization and Parkin activation on impaired mitochondria, not on characterizing these particular Parkin mutants. Without evidence that this paper studies R275W and C441R behaviors, the citation is not appropriate for these specific claims.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence makes specific functional claims about two Parkin mutants (R275W translocates but fails to induce mitophagy; C441R fails to translocate). The cited paper’s title indicates a focus on PINK1 stabilization and Parkin activation on impaired mitochondria, not on characterizing these particular Parkin mutants. Without evidence that this paper studies R275W and C441R behaviors, the citation is not appropriate for these specific claims."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1208,146,0.00297,3.755,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper establishes that impaired/damaged mitochondria stabilize PINK1 to activate Parkin-mediated mitophagy, implying that when mitophagy is deficient, damaged (dysfunctional) mitochondria accumulate. This aligns with the claim about accumulation due to a mitophagy deficit.",PINK1 is selectively stabilized on impaired mitochondria to activate Parkin [promoting mitophagy of damaged mitochondria].,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper establishes that impaired/damaged mitochondria stabilize PINK1 to activate Parkin-mediated mitophagy, implying that when mitophagy is deficient, damaged (dysfunctional) mitochondria accumulate. This aligns with the claim about accumulation due to a mitophagy deficit."",
  ""evidence_quote"": ""PINK1 is selectively stabilized on impaired mitochondria to activate Parkin [promoting mitophagy of damaged mitochondria].""
}",1179,114,0.002614,3.143,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper is about PINK1 stabilization on damaged mitochondria to activate Parkin, a pathway known to trigger Parkin-mediated mitophagy via ubiquitination. It is reasonable to cite it for the claim that Parkin promotes degradation of impaired mitochondria through ubiquitination-dependent autophagy.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is about PINK1 stabilization on damaged mitochondria to activate Parkin, a pathway known to trigger Parkin-mediated mitophagy via ubiquitination. It is reasonable to cite it for the claim that Parkin promotes degradation of impaired mitochondria through ubiquitination-dependent autophagy."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1184,111,0.00259,2.427,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper reports that PINK1 is stabilized on impaired mitochondria and activates/recruits Parkin even without induced mitochondrial depolarization, matching the claim about experimentally stabilizing PINK1 on the outer membrane to recruit Parkin without uncoupling.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper reports that PINK1 is stabilized on impaired mitochondria and activates/recruits Parkin even without induced mitochondrial depolarization, matching the claim about experimentally stabilizing PINK1 on the outer membrane to recruit Parkin without uncoupling."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1180,104,0.002515,2.741,
95,sarol_2024,VALID,VALID,SUPPORTED,"The sentence references PINK1 in the context of an shRNA manipulation, implying background on PINK1’s role. The cited paper is a seminal study on PINK1’s function in mitochondrial quality control (stabilization on damaged mitochondria to activate Parkin), making it an appropriate background citation for experiments involving PINK1 knockdown in neuroblastoma cells.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The sentence references PINK1 in the context of an shRNA manipulation, implying background on PINK1’s role. The cited paper is a seminal study on PINK1’s function in mitochondrial quality control (stabilization on damaged mitochondria to activate Parkin), making it an appropriate background citation for experiments involving PINK1 knockdown in neuroblastoma cells."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1177,126,0.002731,4.675,
96,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is known for showing that loss of mitochondrial membrane potential (e.g., via CCCP) stabilizes PINK1 on damaged mitochondria and activates Parkin, directly aligning with the claim.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is known for showing that loss of mitochondrial membrane potential (e.g., via CCCP) stabilizes PINK1 on damaged mitochondria and activates Parkin, directly aligning with the claim."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1204,93,0.002435,2.729,
