instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly supports that mitochondrial/OMM-localized PINK1 is necessary and sufficient for Parkin recruitment, and that PINK1 kinase activity is required because kinase-deficient PINK1 fails to recruit Parkin.",A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports that mitochondrial/OMM-localized PINK1 is necessary and sufficient for Parkin recruitment, and that PINK1 kinase activity is required because kinase-deficient PINK1 fails to recruit Parkin."",
  ""evidence_quote"": ""A kinase-deficient (KD) version of PINK1 also failed to reconstitute Parkin recruitment to mitochondria""
}",1980,198,0.01584,6.402,
87,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is directly about PINK1 stabilizing on damaged mitochondria to activate/recruit Parkin, and it reports that kinase-deficient PINK1 fails to restore Parkin recruitment. This reasonably supports the claim that Parkin acts downstream of PINK1 and that PINK1 kinase activity is required for Parkin-related functions.",PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is directly about PINK1 stabilizing on damaged mitochondria to activate/recruit Parkin, and it reports that kinase-deficient PINK1 fails to restore Parkin recruitment. This reasonably supports the claim that Parkin acts downstream of PINK1 and that PINK1 kinase activity is required for Parkin-related functions."",
  ""evidence_quote"": ""PINK1 accumulation on mitochondria is both necessary and sufficient for Parkin recruitment to mitochondria... PINK1 signals mitochondrial dysfunction to Parkin""
}",1822,229,0.01598,7.406,
88,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The cited paper clearly supports PINK1-dependent Parkin recruitment and mitophagy after mitochondrial damage, but the available information attributes this dependence to PINK1 accumulation/mitochondrial targeting rather than specifically to PINK1 kinase activity. For the specific claim that the process is dependent on PINK1 kinase activity, the provided evidence is insufficient.",Parkin recruitment to depolarized mitochondria and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal and depolarization-induced accumulation.,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The cited paper clearly supports PINK1-dependent Parkin recruitment and mitophagy after mitochondrial damage, but the available information attributes this dependence to PINK1 accumulation/mitochondrial targeting rather than specifically to PINK1 kinase activity. For the specific claim that the process is dependent on PINK1 kinase activity, the provided evidence is insufficient."",
  ""evidence_quote"": ""Parkin recruitment to depolarized mitochondria and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal and depolarization-induced accumulation.""
}",2001,651,0.029535,34.435,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly studies how damaged/depolarized mitochondria stabilize PINK1, recruit Parkin, and induce mitophagy, which matches the claim that mitochondrial stress such as membrane-potential inhibition initiates the PINK1/Parkin mitophagy pathway.",loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly studies how damaged/depolarized mitochondria stabilize PINK1, recruit Parkin, and induce mitophagy, which matches the claim that mitochondrial stress such as membrane-potential inhibition initiates the PINK1/Parkin mitophagy pathway."",
  ""evidence_quote"": ""loss of membrane potential activates Parkin recruitment primarily through the up-regulation of mitochondrial PINK1""
}",1752,170,0.01386,5.48,
90,sarol_2024,VALID,VALID,SUPPORTED,The cited paper directly supports the claim that PINK1 is required for Parkin recruitment/translocation to depolarized mitochondria and subsequent Parkin-induced mitophagy.,Parkin recruitment to depolarized mitochondria and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal and depolarization-induced accumulation.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly supports the claim that PINK1 is required for Parkin recruitment/translocation to depolarized mitochondria and subsequent Parkin-induced mitophagy."",
  ""evidence_quote"": ""Parkin recruitment to depolarized mitochondria and subsequent Parkin-induced mitophagy are strictly dependent on PINK1's mitochondrial targeting signal and depolarization-induced accumulation.""
}",2005,178,0.015365,6.37,
91,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper is an appropriate source for the functional behavior of Parkin mutants in the PINK1/Parkin mitophagy pathway. It explicitly states that R275W is recruited to depolarized mitochondria but severely disrupts mitophagy, and it reports that key cysteine mutations in the RBR/RING2 region severely disrupt Parkin recruitment, aligning with the C441R claim.",“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy”; “Mutations in key cysteine residues in the RBR domain or deletion of RING2... severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is an appropriate source for the functional behavior of Parkin mutants in the PINK1/Parkin mitophagy pathway. It explicitly states that R275W is recruited to depolarized mitochondria but severely disrupts mitophagy, and it reports that key cysteine mutations in the RBR/RING2 region severely disrupt Parkin recruitment, aligning with the C441R claim."",
  ""evidence_quote"": ""“the R275W mutation in RING1 of Parkin causes only a minor disturbance of Parkin recruitment to depolarized mitochondria but severely disrupts mitophagy”; “Mutations in key cysteine residues in the RBR domain or deletion of RING2... severely disrupt both the recruitment of Parkin to mitochondria and its induction of mitophagy.”""
}",2010,622,0.02871,22.558,
92,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper describes PINK1/Parkin-mediated mitophagy as the pathway for selective turnover/elimination of damaged mitochondria, so citing it for the idea that impaired mitophagy causes dysfunctional mitochondria to persist/accumulate is reasonable.","“PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”","{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper describes PINK1/Parkin-mediated mitophagy as the pathway for selective turnover/elimination of damaged mitochondria, so citing it for the idea that impaired mitophagy causes dysfunctional mitochondria to persist/accumulate is reasonable."",
  ""evidence_quote"": ""“PINK1 signals mitochondrial dysfunction to Parkin, and Parkin promotes their elimination.”""
}",1974,191,0.0156,7.404,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The cited paper is directly about PINK1-dependent activation/recruitment of Parkin on damaged mitochondria and reports that Parkin promotes mitophagy/autophagic degradation of dysfunctional mitochondria. While the retrieved evidence is stronger for Parkin-induced autophagy than for the exact phrase “ubiquitination-dependent,” the citation reasonably earns its place for the core claim.",Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is directly about PINK1-dependent activation/recruitment of Parkin on damaged mitochondria and reports that Parkin promotes mitophagy/autophagic degradation of dysfunctional mitochondria. While the retrieved evidence is stronger for Parkin-induced autophagy than for the exact phrase “ubiquitination-dependent,” the citation reasonably earns its place for the core claim."",
  ""evidence_quote"": ""Parkin is selectively recruited from the cytosol to damaged mitochondria to trigger their autophagy.""
}",2001,642,0.029265,21.837,
94,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly reports that increased PINK1 on mitochondria is sufficient to recruit Parkin without CCCP/uncoupling, matching the citing sentence’s claim.",Parkin is recruited to mitochondria even in the absence of CCCP... increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly reports that increased PINK1 on mitochondria is sufficient to recruit Parkin without CCCP/uncoupling, matching the citing sentence’s claim."",
  ""evidence_quote"": ""Parkin is recruited to mitochondria even in the absence of CCCP... increased PINK1 expression is sufficient for Parkin recruitment independent of membrane potential.""
}",1896,181,0.01491,6.273,
95,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper directly describes using M17 human neuroblastoma cells carrying control shRNA or PINK1 shRNA, matching the citing sentence's sub-claim.",M17 cells stably transduced with control short hairpin RNA (shRNA) or PINK shRNA,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper directly describes using M17 human neuroblastoma cells carrying control shRNA or PINK1 shRNA, matching the citing sentence's sub-claim."",
  ""evidence_quote"": ""M17 cells stably transduced with control short hairpin RNA (shRNA) or PINK shRNA""
}",2009,178,0.015385,6.273,
