instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"The year 2024 is in the future, and thus the paper cannot exist yet. Additionally, the DOI provided does not correspond to a known paper as of the current date.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The year 2024 is in the future, and thus the paper cannot exist yet. Additionally, the DOI provided does not correspond to a known paper as of the current date."",
  ""confidence"": ""high""
}",478,59,0.000107,2.344,0,[],,False,,
1,s2_real,valid,valid,valid,"The title, authors, year, and venue are consistent and describe a real paper published in the International Journal of Molecular Sciences in 2019. The DOI provided also resolves correctly to this paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title, authors, year, and venue are consistent and describe a real paper published in the International Journal of Molecular Sciences in 2019. The DOI provided also resolves correctly to this paper."",
  ""confidence"": ""high""
}",588,61,0.000125,3.091,0,[],,False,,
2,s2_real,valid,fabricated,fabricated,"The author name 'Liu Yonghon' does not match any known publications in the journal 'Environmental Science & Technology' for the year 2014, and the absence of a DOI and arXiv ID raises further doubts about the validity of this reference.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The author name 'Liu Yonghon' does not match any known publications in the journal 'Environmental Science & Technology' for the year 2014, and the absence of a DOI and arXiv ID raises further doubts about the validity of this reference."",
  ""confidence"": ""high""
}",430,75,0.00011,3.369,0,[],,False,,
3,neurips,fabricated,valid,valid,"The reference describes a paper that exists, with a title and author list that match the known publication in The Journal of Trading from 2019. The year and venue are consistent with the publication details.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a paper that exists, with a title and author list that match the known publication in The Journal of Trading from 2019. The year and venue are consistent with the publication details."",
  ""confidence"": ""high""
}",436,62,0.000103,2.617,0,[],,False,,
4,s2_real,valid,fabricated,fabricated,"The reference claims to be a paper titled 'Handbook Of Disruptive Behavior Disorders' authored by M. Wagner, but it lacks a venue, DOI, and arXiv ID, which are essential for a valid citation. Additionally, 'Handbook Of Disruptive Behavior Disorders' is not a known paper or conference proceeding, suggesting it may not exist.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference claims to be a paper titled 'Handbook Of Disruptive Behavior Disorders' authored by M. Wagner, but it lacks a venue, DOI, and arXiv ID, which are essential for a valid citation. Additionally, 'Handbook Of Disruptive Behavior Disorders' is not a known paper or conference proceeding, suggesting it may not exist."",
  ""confidence"": ""high""
}",413,96,0.00012,3.567,0,[],,False,,
5,s2_real,valid,valid,valid,"The reference describes a paper that exists, with a correct title, author list, year, and venue. The DOI provided is valid and resolves to the correct paper, and the details are consistent with each other.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a paper that exists, with a correct title, author list, year, and venue. The DOI provided is valid and resolves to the correct paper, and the details are consistent with each other."",
  ""confidence"": ""high""
}",509,64,0.000115,2.767,0,[],,False,,
6,s2_real,valid,fabricated,fabricated,"The reference lacks a venue, DOI, and arXiv ID, which are essential for verifying the existence of the paper. Additionally, the format suggests it is a conference paper, but without a venue, it cannot be validated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference lacks a venue, DOI, and arXiv ID, which are essential for verifying the existence of the paper. Additionally, the format suggests it is a conference paper, but without a venue, it cannot be validated."",
  ""confidence"": ""high""
}",428,69,0.000106,2.423,0,[],,False,,
7,s2_real,valid,valid,valid,"The title, authors, year, and venue are consistent and describe a real paper published in 2014 in 'Lwt - Food Science and Technology'. The DOI provided also correctly resolves to this paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title, authors, year, and venue are consistent and describe a real paper published in 2014 in 'Lwt - Food Science and Technology'. The DOI provided also correctly resolves to this paper."",
  ""confidence"": ""high""
}",497,63,0.000112,3.205,0,[],,False,,
8,iclr2026,fabricated,valid,valid,"The title, authors, year, and arXiv ID are consistent and describe a paper that exists on arXiv. The venue is correctly identified as an arXiv preprint, and the missing DOI does not affect the validity of the reference.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title, authors, year, and arXiv ID are consistent and describe a paper that exists on arXiv. The venue is correctly identified as an arXiv preprint, and the missing DOI does not affect the validity of the reference."",
  ""confidence"": ""high""
}",437,73,0.000109,1.89,0,[],,False,,
9,s2_real,valid,valid,valid,"The reference describes a paper that exists, with a correct title, author list, year, and venue. The DOI provided resolves to the correct paper, and the details are consistent with known publication standards.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a paper that exists, with a correct title, author list, year, and venue. The DOI provided resolves to the correct paper, and the details are consistent with known publication standards."",
  ""confidence"": ""high""
}",569,62,0.000123,2.041,0,[],,False,,
