instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"Searches for the exact title and DOI only surface this reference as a hallucinated citation inside later papers, not as an ACM WWW 2024 paper. The real related work appears to be an arXiv/workshop paper titled ""Generative Diffusion Models for Sequential Recommendations"" by Sharare Zolghadr, Ole Winther, and Paul Jeha, while the claimed DOI 10.1145/3545678.3557899 does not correspond to this paper.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""Searches for the exact title and DOI only surface this reference as a hallucinated citation inside later papers, not as an ACM WWW 2024 paper. The real related work appears to be an arXiv/workshop paper titled \""Generative Diffusion Models for Sequential Recommendations\"" by Sharare Zolghadr, Ole Winther, and Paul Jeha, while the claimed DOI 10.1145/3545678.3557899 does not correspond to this paper."",
  ""confidence"": ""high""
}",18984,654,0.15454,55.973,4,"[""\""Diffurecsys\"" \""Diffusion-based generative modeling for sequential recommendation\"""", ""site:dl.acm.org \""Diffurecsys\"""", ""\""3545678.3557899\""""]",,False,,
1,s2_real,valid,valid,valid,"The paper exists in International Journal of Molecular Sciences with DOI 10.3390/ijms21010038, and the title and listed authors match PubMed/MDPI records. The apparent year issue is cosmetic: it was published online on December 19, 2019, while the journal citation is volume 21, issue 1, article 38.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The paper exists in International Journal of Molecular Sciences with DOI 10.3390/ijms21010038, and the title and listed authors match PubMed/MDPI records. The apparent year issue is cosmetic: it was published online on December 19, 2019, while the journal citation is volume 21, issue 1, article 38."",
  ""confidence"": ""high""
}",9144,639,0.07489,31.082,1,"[""10.3390/ijms21010038 Possible Contribution of Inflammation-Associated Hypoxia K2P5.1""]",,False,,
2,s2_real,valid,fabricated,fabricated,"The paper appears to exist in Environmental Science & Technology in 2014 as “Optimization of Chengdu landscape pattern based on the modern garden city,” but indexed references list the authors as LI Y H / Li Yonghong, CHEN Y L, FU Z Q, et al. The provided citation gives a single author, “Liu Yonghon,” which is not a correct author list. ([jnr.ac.cn](https://www.jnr.ac.cn/CN/abstract/article/1000-3037/42193?utm_source=openai))",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The paper appears to exist in Environmental Science & Technology in 2014 as “Optimization of Chengdu landscape pattern based on the modern garden city,” but indexed references list the authors as LI Y H / Li Yonghong, CHEN Y L, FU Z Q, et al. The provided citation gives a single author, “Liu Yonghon,” which is not a correct author list. ([jnr.ac.cn](https://www.jnr.ac.cn/CN/abstract/article/1000-3037/42193?utm_source=openai))"",
  ""confidence"": ""high""
}",14925,834,0.119645,52.482,2,"[""\""Optimization of Chengdu Landscape Patterns Based on the Modern Garden City\"""", ""\""Optimization of Chengdu landscape pattern based on the modern garden city\"" \""Environmental Science\""""]",,False,,
3,neurips,fabricated,fabricated,fabricated,"I could not find evidence of a real paper with this title/authors/venue combination. The closely matching real 2019 paper is ""Dynamic Replication and Hedging: A Reinforcement Learning Approach"" by Petter N. Kolm and Gordon Ritter in The Journal of Financial Data Science, not The Journal of Trading, and the listed coauthors appear inconsistent.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""I could not find evidence of a real paper with this title/authors/venue combination. The closely matching real 2019 paper is \""Dynamic Replication and Hedging: A Reinforcement Learning Approach\"" by Petter N. Kolm and Gordon Ritter in The Journal of Financial Data Science, not The Journal of Trading, and the listed coauthors appear inconsistent."",
  ""confidence"": ""high""
}",51407,1194,0.372855,83.509,8,"[""\""Reinforcement learning for optimal hedging\"" Kolm Krügel Zadorozhnyi Journal of Trading 14 4 4-17 2019"", ""\""Petter N Kolm\"" \""Sebastian Krügel\"" \""Sergiy\"""", ""site:jot.pm-research.com \""Reinforcement Learning for Optimal Hedging\"""", ""\""The Journal of Trading\"" \""14\"" \""4\"" \""2019\"" \""4-17\"""", ""\""Sebastian Krügel\"" finance reinforcement learning hedging"", ""\""Sergiy V Zadorozhnyi\"""", ""\""Reinforcement learning for optimal hedging\"" -\""Robust Reinforcement\""""]",,False,,
4,s2_real,valid,fabricated,fabricated,"The title corresponds to a real Springer book, Handbook of Disruptive Behavior Disorders, edited by Herbert C. Quay and Anne E. Hogan, originally published in 1999, with later reprint/eBook dates. The audited reference incorrectly lists M. Wagner as author, 2016 as the year, and labels it as an inproceedings item, which is inconsistent with the real source.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The title corresponds to a real Springer book, Handbook of Disruptive Behavior Disorders, edited by Herbert C. Quay and Anne E. Hogan, originally published in 1999, with later reprint/eBook dates. The audited reference incorrectly lists M. Wagner as author, 2016 as the year, and labels it as an inproceedings item, which is inconsistent with the real source."",
  ""confidence"": ""high""
}",9029,229,0.062015,18.509,1,"[""\""Handbook Of Disruptive Behavior Disorders\"" Wagner 2016""]",,False,,
5,s2_real,valid,valid,valid,"The paper exists in Tourism Analysis, volume 22 issue 3, pages 429–433, published in 2017, with the listed title and DOI 10.3727/108354217X14955605216159. The expanded author names found for the abbreviated initials match the supplied author list: Mohammad Nurul Huda Mazumder, Zhan Su, Abul Bashar Bhuiyan, Mamunur Rashid, and Abdullah Al-Mamun.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The paper exists in Tourism Analysis, volume 22 issue 3, pages 429–433, published in 2017, with the listed title and DOI 10.3727/108354217X14955605216159. The expanded author names found for the abbreviated initials match the supplied author list: Mohammad Nurul Huda Mazumder, Zhan Su, Abul Bashar Bhuiyan, Mamunur Rashid, and Abdullah Al-Mamun."",
  ""confidence"": ""high""
}",9094,348,0.06591,27.4,1,"[""\""Economy-wide Impact of Tourism in Malaysia\"" \""10.3727/108354217X14955605216159\""""]",,False,,
6,s2_real,valid,valid,valid,"This is a real RePEc/SSC software component: 'FRACLOGIT: Stata module to estimate fractional logit model' by Daniel A. Powers, dated 2012. The author abbreviation 'D. Powers' is cosmetic, and the missing venue/DOI/arXiv fields do not contradict the known record.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a real RePEc/SSC software component: 'FRACLOGIT: Stata module to estimate fractional logit model' by Daniel A. Powers, dated 2012. The author abbreviation 'D. Powers' is cosmetic, and the missing venue/DOI/arXiv fields do not contradict the known record."",
  ""confidence"": ""high""
}",8724,369,0.06469,22.533,1,"[""\""FRACLOGIT: Stata module to estimate fractional logit model\"" Powers 2012""]",,False,,
7,s2_real,valid,valid,valid,"The paper exists with the stated title in LWT - Food Science and Technology, volume 59, issue 2, pages 629-634, in 2014. The DOI resolves to the same paper, and the full author list matches the initials given: Carolina Lugnani Gomes, Sérgio Bertelli Pflanzer, Pedro Eduardo de Felício, and Helena Maria Andre Bolini.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The paper exists with the stated title in LWT - Food Science and Technology, volume 59, issue 2, pages 629-634, in 2014. The DOI resolves to the same paper, and the full author list matches the initials given: Carolina Lugnani Gomes, Sérgio Bertelli Pflanzer, Pedro Eduardo de Felício, and Helena Maria Andre Bolini."",
  ""confidence"": ""high""
}",15382,646,0.12629,46.757,3,"[""\""Temporal changes of tenderness and juiciness of beef strip loin steaks\"" DOI"", ""\""Temporal changes of tenderness\"" \""Gomes\"" \""Pflanzer\"" \""Bolini\""""]",,False,,
8,iclr2026,fabricated,fabricated,fabricated,"The arXiv ID arXiv:2309.12345 is real, but it resolves to a different paper: “Antagonising explanation and revealing bias directly through sequencing and multimodal inference” by Luís Arandas, Mick Grierson, and Miguel Carvalhais. It does not match the claimed title or authors.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID arXiv:2309.12345 is real, but it resolves to a different paper: “Antagonising explanation and revealing bias directly through sequencing and multimodal inference” by Luís Arandas, Mick Grierson, and Miguel Carvalhais. It does not match the claimed title or authors."",
  ""confidence"": ""high""
}",11667,240,0.085535,17.381,2,"[""arXiv 2309.12345 \""Measuring and reducing perplexity in large-scale llms\""""]",,False,,
9,s2_real,valid,valid,valid,"The paper exists in Journal of Mammalogy with the stated title, DOI 10.1093/jmammal/gyw184, and matching authors. The article was published online on 30 December 2016 and later appeared in volume 98, issue 2, pages 464–474 in 2017, so the 2016 year reflects online publication rather than fabrication.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The paper exists in Journal of Mammalogy with the stated title, DOI 10.1093/jmammal/gyw184, and matching authors. The article was published online on 30 December 2016 and later appeared in volume 98, issue 2, pages 464–474 in 2017, so the 2016 year reflects online publication rather than fabrication."",
  ""confidence"": ""high""
}",17568,1112,0.1512,38.184,3,"[""10.1093/jmammal/gyw184 Living in extreme environments modeling habitat suitability jaguars pumas prey semiarid habitat"", ""site:academic.oup.com/jmammal/article gyw184 Astete""]",,False,,
