instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"The DOI pattern is inconsistent with ACM Web Conference 2024 papers, which use a different proceedings DOI prefix (WWW 2024 papers are under 10.1145/3589334...). The title/authors/venue combination also does not match a known WWW 2024 paper, suggesting the citation was synthesized.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The DOI pattern is inconsistent with ACM Web Conference 2024 papers, which use a different proceedings DOI prefix (WWW 2024 papers are under 10.1145/3589334...). The title/authors/venue combination also does not match a known WWW 2024 paper, suggesting the citation was synthesized."",
  ""confidence"": ""high""
}",477,611,0.020715,32.21,0,[],,False,,
1,s2_real,valid,valid,valid,"The DOI 10.3390/ijms21010038 corresponds to an International Journal of Molecular Sciences article with this title and matching author list. Although volume 21 is associated with the 2020 issue, the article was published online in late 2019, so the 2019 year is not necessarily inconsistent.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI 10.3390/ijms21010038 corresponds to an International Journal of Molecular Sciences article with this title and matching author list. Although volume 21 is associated with the 2020 issue, the article was published online in late 2019, so the 2019 year is not necessarily inconsistent."",
  ""confidence"": ""high""
}",587,832,0.027895,37.329,0,[],,False,,
2,s2_real,valid,fabricated,fabricated,"The title and single-author format are not consistent with a 2014 article in the ACS journal Environmental Science & Technology, which would normally have full bibliographic details and a DOI. The title reads like a local planning/landscape study rather than an ES&T research article, suggesting the venue metadata is likely incorrect or synthesized.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The title and single-author format are not consistent with a 2014 article in the ACS journal Environmental Science & Technology, which would normally have full bibliographic details and a DOI. The title reads like a local planning/landscape study rather than an ES&T research article, suggesting the venue metadata is likely incorrect or synthesized."",
  ""confidence"": ""medium""
}",429,1130,0.036045,55.305,0,[],,False,,
3,neurips,fabricated,valid,valid,"This matches a real article titled ""Reinforcement Learning for Optimal Hedging"" by Petter N. Kolm, Sebastian Krügel, and Sergiy V. Zadorozhnyi, published in The Journal of Trading, volume 14 issue 4, pages 4–17, in 2019. The missing DOI/arXiv ID does not create an inconsistency.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This matches a real article titled \""Reinforcement Learning for Optimal Hedging\"" by Petter N. Kolm, Sebastian Krügel, and Sergiy V. Zadorozhnyi, published in The Journal of Trading, volume 14 issue 4, pages 4–17, in 2019. The missing DOI/arXiv ID does not create an inconsistency."",
  ""confidence"": ""high""
}",435,835,0.027225,40.196,0,[],,False,,
4,s2_real,valid,fabricated,fabricated,"The title corresponds to a known handbook/book on disruptive behavior disorders, not a 2016 conference paper authored by M. Wagner. The author, year, and entry type are inconsistent with the real bibliographic record, and no venue or identifiers support the citation.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The title corresponds to a known handbook/book on disruptive behavior disorders, not a 2016 conference paper authored by M. Wagner. The author, year, and entry type are inconsistent with the real bibliographic record, and no venue or identifiers support the citation."",
  ""confidence"": ""high""
}",412,248,0.0095,11.261,0,[],,False,,
5,s2_real,valid,valid,valid,"The DOI format and prefix are consistent with Tourism Analysis/Cognizant publications, and the title, journal, volume 22, 2017, and pages 429-433 form a plausible and mutually consistent citation. The listed authors also match the type of authorship associated with this Malaysia tourism input-output analysis.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI format and prefix are consistent with Tourism Analysis/Cognizant publications, and the title, journal, volume 22, 2017, and pages 429-433 form a plausible and mutually consistent citation. The listed authors also match the type of authorship associated with this Malaysia tourism input-output analysis."",
  ""confidence"": ""medium""
}",508,518,0.01808,24.424,0,[],,False,,
6,s2_real,valid,valid,valid,"This appears to correspond to a real SSC/RePEc Stata software module titled “FRACLOGIT: Stata module to estimate fractional logit model,” authored by D. Powers/Daniel Powers around 2012. The lack of DOI, arXiv ID, and venue is consistent with this being a software module rather than a conventional proceedings paper, despite the BibTeX entry type being questionable.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This appears to correspond to a real SSC/RePEc Stata software module titled “FRACLOGIT: Stata module to estimate fractional logit model,” authored by D. Powers/Daniel Powers around 2012. The lack of DOI, arXiv ID, and venue is consistent with this being a software module rather than a conventional proceedings paper, despite the BibTeX entry type being questionable."",
  ""confidence"": ""medium""
}",427,628,0.020975,33.743,0,[],,False,,
7,s2_real,valid,valid,valid,"The title, author set, venue, year, volume/pages, and DOI format are mutually consistent with a real LWT - Food Science and Technology article from 2014. The DOI 10.1016/j.lwt.2014.07.007 fits Elsevier's LWT DOI pattern and corresponds plausibly to this paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The title, author set, venue, year, volume/pages, and DOI format are mutually consistent with a real LWT - Food Science and Technology article from 2014. The DOI 10.1016/j.lwt.2014.07.007 fits Elsevier's LWT DOI pattern and corresponds plausibly to this paper."",
  ""confidence"": ""high""
}",496,235,0.00953,11.215,0,[],,False,,
8,iclr2026,fabricated,fabricated,fabricated,"I do not recognize any real arXiv paper titled ""Measuring and reducing perplexity in large-scale llms"" by Shiyang Liu, Hongyi Xu, and Min Chen. The arXiv identifier arXiv:2309.12345 has a placeholder-like form and is not known to correspond to this title/authorship combination, suggesting the citation was synthesized.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""I do not recognize any real arXiv paper titled \""Measuring and reducing perplexity in large-scale llms\"" by Shiyang Liu, Hongyi Xu, and Min Chen. The arXiv identifier arXiv:2309.12345 has a placeholder-like form and is not known to correspond to this title/authorship combination, suggesting the citation was synthesized."",
  ""confidence"": ""medium""
}",436,546,0.01856,25.086,0,[],,False,,
9,s2_real,valid,valid,valid,"This is a real Journal of Mammalogy article with the given title, author group, pages, and DOI (10.1093/jmammal/gyw184). The apparent year issue is likely due to online publication in 2016 versus the journal volume/issue appearing in 2017, not fabrication.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a real Journal of Mammalogy article with the given title, author group, pages, and DOI (10.1093/jmammal/gyw184). The apparent year issue is likely due to online publication in 2016 versus the journal volume/issue appearing in 2017, not fabrication."",
  ""confidence"": ""high""
}",568,610,0.02114,12.47,0,[],,False,,
