instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"The ACM DOI prefix 10.1145/3545678 corresponds to an older proceedings volume and is not consistent with WWW 2024; it would resolve to a different paper/venue. Given this DOI mismatch and the unrecognized title, the citation appears synthesized rather than a real WWW 2024 paper.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The ACM DOI prefix 10.1145/3545678 corresponds to an older proceedings volume and is not consistent with WWW 2024; it would resolve to a different paper/venue. Given this DOI mismatch and the unrecognized title, the citation appears synthesized rather than a real WWW 2024 paper."",
  ""confidence"": ""medium""
}",477,1567,0.016266,18.399,0,[],,False,,
1,s2_real,valid,fabricated,fabricated,"The DOI 10.3390/ijms21010038 corresponds to International Journal of Molecular Sciences volume 21, issue 1 (article 38), which is 2020, not 2019. IJMS volume 21 is 2020, so the provided year (2019) and volume/DOI are inconsistent, indicating the reference is not correctly described.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The DOI 10.3390/ijms21010038 corresponds to International Journal of Molecular Sciences volume 21, issue 1 (article 38), which is 2020, not 2019. IJMS volume 21 is 2020, so the provided year (2019) and volume/DOI are inconsistent, indicating the reference is not correctly described."",
  ""confidence"": ""high""
}",587,1965,0.020384,20.855,0,[],,False,,
2,s2_real,valid,fabricated,fabricated,"Environmental Science & Technology (the ACS journal) does not publish local urban-planning case studies like “Optimization of Chengdu Landscape Patterns Based on the Modern Garden City,” and the single-author name “Liu Yonghon” is atypical/suspicious. With no DOI and an implausible venue-topic match, the citation appears synthesized rather than a real ES&T article.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""Environmental Science & Technology (the ACS journal) does not publish local urban-planning case studies like “Optimization of Chengdu Landscape Patterns Based on the Modern Garden City,” and the single-author name “Liu Yonghon” is atypical/suspicious. With no DOI and an implausible venue-topic match, the citation appears synthesized rather than a real ES&T article."",
  ""confidence"": ""medium""
}",429,1067,0.011206,13.282,0,[],,False,,
3,neurips,fabricated,valid,valid,"The citation details are internally consistent and match a known Journal of Trading article by Petter N. Kolm, Sebastian Krügel, and Sergiy V. Zadorozhnyi in 2019 (vol. 14, issue 4, pp. 4–17) titled 'Reinforcement learning for optimal hedging.'",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The citation details are internally consistent and match a known Journal of Trading article by Petter N. Kolm, Sebastian Krügel, and Sergiy V. Zadorozhnyi in 2019 (vol. 14, issue 4, pp. 4–17) titled 'Reinforcement learning for optimal hedging.'"",
  ""confidence"": ""medium""
}",435,1252,0.013064,15.634,0,[],,False,,
4,s2_real,valid,fabricated,fabricated,"The title matches a well-known 1999 Springer edited volume (Handbook of Disruptive Behavior Disorders) by Herbert C. Quay and Anne E. Hogan, not a 2016 work by M. Wagner, and it is not an inproceedings item. The author and year are incorrect and key fields are missing.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The title matches a well-known 1999 Springer edited volume (Handbook of Disruptive Behavior Disorders) by Herbert C. Quay and Anne E. Hogan, not a 2016 work by M. Wagner, and it is not an inproceedings item. The author and year are incorrect and key fields are missing."",
  ""confidence"": ""high""
}",412,740,0.007915,8.975,0,[],,False,,
5,s2_real,valid,valid,valid,"The citation details are internally consistent for Tourism Analysis (volume 22, 2017), and the DOI format (10.3727/108354217X...) matches the journal’s DOI pattern. Title, author list, year, and venue plausibly align for a short article in that journal.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The citation details are internally consistent for Tourism Analysis (volume 22, 2017), and the DOI format (10.3727/108354217X...) matches the journal’s DOI pattern. Title, author list, year, and venue plausibly align for a short article in that journal."",
  ""confidence"": ""high""
}",508,1307,0.013705,17.576,0,[],,False,,
6,s2_real,valid,valid,valid,"This looks like a Stata SSC/REPEC software component entry: titles of the form “<command>: Stata module to …” are standard, and Daniel (D.) Powers is a plausible author of such a module. The lack of venue/DOI/arXiv is typical for SSC modules, and the year 2012 is plausible; the @Inproceedings type is just a stylistic mismatch rather than evidence of fabrication.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This looks like a Stata SSC/REPEC software component entry: titles of the form “<command>: Stata module to …” are standard, and Daniel (D.) Powers is a plausible author of such a module. The lack of venue/DOI/arXiv is typical for SSC modules, and the year 2012 is plausible; the @Inproceedings type is just a stylistic mismatch rather than evidence of fabrication."",
  ""confidence"": ""medium""
}",427,1657,0.017104,20.854,0,[],,False,,
7,s2_real,valid,valid,valid,"This is a real LWT - Food Science and Technology article from 2014 with the listed title and author group; volume 59 and pages 629–634 are plausible, and the DOI format 10.1016/j.lwt.2014.07.007 matches Elsevier’s scheme for that year and journal.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a real LWT - Food Science and Technology article from 2014 with the listed title and author group; volume 59 and pages 629–634 are plausible, and the DOI format 10.1016/j.lwt.2014.07.007 matches Elsevier’s scheme for that year and journal."",
  ""confidence"": ""high""
}",496,1313,0.01375,14.808,0,[],,False,,
8,iclr2026,fabricated,fabricated,fabricated,The arXiv identifier arXiv:2309.12345 is a generic-looking placeholder and does not correspond to a paper with this title and author list. This inconsistency indicates the citation was synthesized rather than a real arXiv preprint.,medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv identifier arXiv:2309.12345 is a generic-looking placeholder and does not correspond to a paper with this title and author list. This inconsistency indicates the citation was synthesized rather than a real arXiv preprint."",
  ""confidence"": ""medium""
}",436,915,0.009695,12.183,0,[],,False,,
9,s2_real,valid,valid,valid,"This is a real Journal of Mammalogy paper; the title and author list are plausible and known in this research area, and the DOI format (10.1093/jmammal/gyw184) matches Oxford’s 2016 online-first identifiers. Minor year/volume mismatch likely reflects online-ahead-of-print in 2016 with print in volume 98 (2017), not fabrication.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a real Journal of Mammalogy paper; the title and author list are plausible and known in this research area, and the DOI format (10.1093/jmammal/gyw184) matches Oxford’s 2016 online-first identifiers. Minor year/volume mismatch likely reflects online-ahead-of-print in 2016 with print in volume 98 (2017), not fabrication."",
  ""confidence"": ""high""
}",568,2160,0.02231,25.927,0,[],,False,,
10,neurips,fabricated,valid,valid,"This is a known arXiv preprint from June 2024 by Tri Dao et al. titled “An empirical study of state space models for large language modeling,” and the author list and year match. It is an arXiv-only work (no DOI) and the provided arXiv ID is consistent with that preprint.",medium,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a known arXiv preprint from June 2024 by Tri Dao et al. titled “An empirical study of state space models for large language modeling,” and the author list and year match. It is an arXiv-only work (no DOI) and the provided arXiv ID is consistent with that preprint."",
  ""confidence"": ""medium""
}",473,1507,0.015661,18.118,0,[],,False,,
11,s2_real,valid,fabricated,fabricated,"“Education Silent Abstracts” reads like a meeting-abstracts section header in In Vitro Cellular & Developmental Biology – Animal, not a standalone article by the three listed authors. Such sections typically have no specific author list, and the provided DOI likely corresponds to the section compilation rather than an article by Roldán, Oviedo, and Ruiz, indicating mismatched metadata.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""“Education Silent Abstracts” reads like a meeting-abstracts section header in In Vitro Cellular & Developmental Biology – Animal, not a standalone article by the three listed authors. Such sections typically have no specific author list, and the provided DOI likely corresponds to the section compilation rather than an article by Roldán, Oviedo, and Ruiz, indicating mismatched metadata."",
  ""confidence"": ""medium""
}",490,1580,0.016413,18.844,0,[],,False,,
12,iclr2026,fabricated,fabricated,fabricated,"No ICLR 2020 paper is known by this title, and the author combination (Zhang, Yang Song, Dhillon, Xing) is implausible and inconsistent with known works. This appears to mix elements from other adversarial-defense papers (e.g., feature scattering, spectral methods) rather than a real, identifiable publication.",medium,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""No ICLR 2020 paper is known by this title, and the author combination (Zhang, Yang Song, Dhillon, Xing) is implausible and inconsistent with known works. This appears to mix elements from other adversarial-defense papers (e.g., feature scattering, spectral methods) rather than a real, identifiable publication."",
  ""confidence"": ""medium""
}",435,932,0.009864,12.487,0,[],,False,,
