instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
0,neurips,fabricated,fabricated,fabricated,"No record of this paper appears for WWW 2024, and the DOI 10.1145/3545678.3557899 does not resolve to this title/authors. A similarly named work “Generative Diffusion Models for Sequential Recommendations (DiffuRecSys)” exists but with different authors and as an arXiv preprint, indicating the given fields are inconsistent.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""No record of this paper appears for WWW 2024, and the DOI 10.1145/3545678.3557899 does not resolve to this title/authors. A similarly named work “Generative Diffusion Models for Sequential Recommendations (DiffuRecSys)” exists but with different authors and as an arXiv preprint, indicating the given fields are inconsistent."",
  ""confidence"": ""high""
}",29412,1025,0.107015,34.161,6,"[""Diffurecsys: Diffusion-based generative modeling for sequential recommendation"", ""doi 10.1145/3545678.3557899"", ""site:dl.acm.org 10.1145/3545678.3557899"", ""\""Diffusion-based generative modeling for sequential recommendation\"""", ""\""10.1145/3545678.3557899\"""", ""Majid Zolghadr sequential recommendation diffusion""]",,False,,
1,s2_real,valid,valid,valid,"PubMed lists this article with the exact title, author list (Kyoko Endo et al.), journal (International Journal of Molecular Sciences), and DOI 10.3390/ijms21010038, with publication date Dec 19, 2019 and volume 21(1):38. The fields are mutually consistent and describe a real paper.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""PubMed lists this article with the exact title, author list (Kyoko Endo et al.), journal (International Journal of Molecular Sciences), and DOI 10.3390/ijms21010038, with publication date Dec 19, 2019 and volume 21(1):38. The fields are mutually consistent and describe a real paper."",
  ""confidence"": ""high""
}",13893,740,0.064766,18.493,4,"[""10.3390/ijms21010038""]",,False,,
2,s2_real,valid,fabricated,fabricated,"No record of this title or an author named Liu Yonghon appears in Environmental Science & Technology or elsewhere, and ES&T’s 2014 tables of contents do not include a paper on Chengdu landscape patterns. The venue/topic pairing is implausible for ES&T and there is no DOI or arXiv to substantiate it.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""No record of this title or an author named Liu Yonghon appears in Environmental Science & Technology or elsewhere, and ES&T’s 2014 tables of contents do not include a paper on Chengdu landscape patterns. The venue/topic pairing is implausible for ES&T and there is no DOI or arXiv to substantiate it."",
  ""confidence"": ""high""
}",13244,504,0.041595,15.184,2,"[""Optimization of Chengdu Landscape Patterns Based on the Modern Garden City"", ""Chengdu Modern Garden City Optimization of Landscape Patterns 2014 Liu""]",,False,,
3,neurips,fabricated,fabricated,fabricated,"No record exists of this article in The Journal of Trading, and the journal itself ceased publication in 2018, making a 2019 volume/issue impossible. A related 2019 paper by Petter N. Kolm is “Dynamic Replication and Hedging: A Reinforcement Learning Approach” in The Journal of Financial Data Science with different coauthors and title, indicating the provided fields were likely synthesized.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""No record exists of this article in The Journal of Trading, and the journal itself ceased publication in 2018, making a 2019 volume/issue impossible. A related 2019 paper by Petter N. Kolm is “Dynamic Replication and Hedging: A Reinforcement Learning Approach” in The Journal of Financial Data Science with different coauthors and title, indicating the provided fields were likely synthesized."",
  ""confidence"": ""high""
}",25562,1018,0.092133,30.488,5,"[""Reinforcement learning for optimal hedging Kolm Krügel Zadorozhnyi Journal of Trading 2019"", ""Journal of Trading 2019 Volume 14 Issue 4 table of contents"", ""site:pm-research.com \""Journal of Trading\"" 2019 Volume 14 Issue 4"", ""site:pm-research.com/content/iijtrade/14/4"", ""Sebastian Krügel Sergiy Zadorozhnyi reinforcement learning hedging""]",,False,,
4,s2_real,valid,fabricated,fabricated,"“Handbook of Disruptive Behavior Disorders” is a real book edited by Herbert C. Quay and Anne E. Hogan, first published in 1999 by Springer (later reprinted), not a 2016 inproceedings by M. Wagner. The title, year, author, and document type in the provided reference are inconsistent with the actual publication.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""“Handbook of Disruptive Behavior Disorders” is a real book edited by Herbert C. Quay and Anne E. Hogan, first published in 1999 by Springer (later reprinted), not a 2016 inproceedings by M. Wagner. The title, year, author, and document type in the provided reference are inconsistent with the actual publication."",
  ""confidence"": ""high""
}",13420,582,0.042595,17.572,2,"[""Handbook of Disruptive Behavior Disorders"", ""\""Handbook of Disruptive Behavior Disorders\"" Wagner""]",,False,,
5,s2_real,valid,valid,valid,"The paper exists in Tourism Analysis (2017, vol. 22, issue 3, pp. 429–433) with the listed title and author group, and the DOI 10.3727/108354217X14955605216159 resolves to this article. The venue/year, author names (including expanded initials), and pagination are consistent; no arXiv ID is expected for this journal article.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The paper exists in Tourism Analysis (2017, vol. 22, issue 3, pp. 429–433) with the listed title and author group, and the DOI 10.3727/108354217X14955605216159 resolves to this article. The venue/year, author names (including expanded initials), and pagination are consistent; no arXiv ID is expected for this journal article."",
  ""confidence"": ""high""
}",17512,600,0.06789,18.621,4,"[""10.3727/108354217X14955605216159"", ""site:ingentaconnect.com 10.3727/108354217X14955605216159""]",,False,,
6,s2_real,valid,valid,valid,"This is a real SSC/Statistical Software Components Stata module: 'FRACLOGIT: Stata module to estimate fractional logit model' by Daniel Powers, first released in 2012 and hosted via RePEc/IDEAS (Boston College Department of Economics). Such modules typically lack DOIs and arXiv IDs.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""This is a real SSC/Statistical Software Components Stata module: 'FRACLOGIT: Stata module to estimate fractional logit model' by Daniel Powers, first released in 2012 and hosted via RePEc/IDEAS (Boston College Department of Economics). Such modules typically lack DOIs and arXiv IDs."",
  ""confidence"": ""high""
}",9088,504,0.0264,57.708,1,"[""FRACLOGIT Stata module to estimate fractional logit model D. Powers 2012""]",,False,,
7,s2_real,valid,valid,valid,"The article exists in LWT - Food Science and Technology, Volume 59, Issue 2 (December 2014), pages 629–634, with the exact title and authors listed, and the DOI 10.1016/j.lwt.2014.07.007 matches the record.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The article exists in LWT - Food Science and Technology, Volume 59, Issue 2 (December 2014), pages 629–634, with the exact title and authors listed, and the DOI 10.1016/j.lwt.2014.07.007 matches the record."",
  ""confidence"": ""high""
}",21438,608,0.082877,21.766,5,"[""10.1016/J.LWT.2014.07.007"", ""Temporal changes of tenderness and juiciness of beef strip loin steaks LWT 2014 DOI 10.1016/j.lwt.2014.07.007"", ""C. Gomes S. Pflanzer P. E. Felício H. Bolini Temporal changes of tenderness and juiciness of beef strip loin steaks""]",,False,,
8,iclr2026,fabricated,fabricated,fabricated,"The arXiv ID arXiv:2309.12345 corresponds to a paper titled “Antagonising explanation and revealing bias directly through sequencing and multimodal inference” by Luís Arandas, Mick Grierson, and Miguel Carvalhais (submitted Aug 25, 2023), not the given title or authors. Therefore the identifier, title, and author list do not match.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID arXiv:2309.12345 corresponds to a paper titled “Antagonising explanation and revealing bias directly through sequencing and multimodal inference” by Luís Arandas, Mick Grierson, and Miguel Carvalhais (submitted Aug 25, 2023), not the given title or authors. Therefore the identifier, title, and author list do not match."",
  ""confidence"": ""high""
}",11664,338,0.03796,9.248,2,"[""arXiv:2309.12345""]",,False,,
9,s2_real,valid,valid,valid,"The DOI 10.1093/jmammal/gyw184 resolves to the Journal of Mammalogy article with the exact title and author list provided; it appears in volume 98(2), pages 464–474. Oxford Academic lists it as published online on December 30, 2016 (with the print issue dated March 21, 2017), explaining the 2016/2017 year discrepancy.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The DOI 10.1093/jmammal/gyw184 resolves to the Journal of Mammalogy article with the exact title and author list provided; it appears in volume 98(2), pages 464–474. Oxford Academic lists it as published online on December 30, 2016 (with the print issue dated March 21, 2017), explaining the 2016/2017 year discrepancy."",
  ""confidence"": ""high""
}",17264,678,0.05836,20.047,3,"[""10.1093/jmammal/gyw184"", ""Journal of Mammalogy 2016 gyw184 Astete Jagomo Silveira DOI gyw184 site:academic.oup.com"", ""site:academic.oup.com gyw184""]",,False,,
