instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,evidence_quote,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,error
86,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is directly about PINK1 stabilization on damaged mitochondria leading to Parkin activation, which is closely aligned with the claim that PINK1 recruits/activates Parkin at mitochondria via its kinase function.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is directly about PINK1 stabilization on damaged mitochondria leading to Parkin activation, which is closely aligned with the claim that PINK1 recruits/activates Parkin at mitochondria via its kinase function."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1181,329,0.015775,8.14,
87,sarol_2024,VALID,VALID,SUPPORTED,"The citation is appropriate for the sub-claim that Parkin acts downstream of PINK1, since the paper title itself states that PINK1 is stabilized on impaired mitochondria to activate Parkin. This directly aligns with the idea that PINK1 activity regulates Parkin function.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citation is appropriate for the sub-claim that Parkin acts downstream of PINK1, since the paper title itself states that PINK1 is stabilized on impaired mitochondria to activate Parkin. This directly aligns with the idea that PINK1 activity regulates Parkin function."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1206,292,0.01479,5.676,
88,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper is directly about PINK1 stabilization on impaired mitochondria and activation of Parkin, which is the mechanistic relationship invoked by the claim that Parkin-mediated elimination of damaged mitochondria depends on PINK1 kinase activity. A reviewer would reasonably accept this as an appropriate citation for PINK1-dependent Parkin activation during mitochondrial damage.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper is directly about PINK1 stabilization on impaired mitochondria and activation of Parkin, which is the mechanistic relationship invoked by the claim that Parkin-mediated elimination of damaged mitochondria depends on PINK1 kinase activity. A reviewer would reasonably accept this as an appropriate citation for PINK1-dependent Parkin activation during mitochondrial damage."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1202,636,0.02509,14.141,
89,sarol_2024,VALID,VALID,SUPPORTED,"The cited paper appears to be an authoritative mechanistic source for the claim that impaired/stressed mitochondria trigger the PINK1/Parkin pathway, since its title directly states that PINK1 is stabilized on impaired mitochondria to activate Parkin. The specific example of membrane potential inhibitors is consistent with mitochondrial impairment/depolarization in this pathway.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The cited paper appears to be an authoritative mechanistic source for the claim that impaired/stressed mitochondria trigger the PINK1/Parkin pathway, since its title directly states that PINK1 is stabilized on impaired mitochondria to activate Parkin. The specific example of membrane potential inhibitors is consistent with mitochondrial impairment/depolarization in this pathway."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1188,319,0.01551,8.031,
90,sarol_2024,VALID,VALID,SUPPORTED,"The citing sentence uses the paper to support the role of PINK1 in activating/recruiting Parkin on damaged mitochondria, which is directly aligned with the cited paper's title and known focus. It is reasonable to cite this paper for PINK1 being required for Parkin activation/translocation in mitophagy-related mitochondrial impairment.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence uses the paper to support the role of PINK1 in activating/recruiting Parkin on damaged mitochondria, which is directly aligned with the cited paper's title and known focus. It is reasonable to cite this paper for PINK1 being required for Parkin activation/translocation in mitophagy-related mitochondrial impairment."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1193,313,0.015355,8.029,
91,sarol_2024,MISREPRESENTED,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence makes specific factual claims about the behavior of ParkinR275W and ParkinC441R mutants, but the available information only indicates that the cited paper concerns PINK1 stabilization on impaired mitochondria to activate Parkin. From the title alone, there is no evidence that this paper reports those particular mutant translocation/mitophagy phenotypes.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence makes specific factual claims about the behavior of ParkinR275W and ParkinC441R mutants, but the available information only indicates that the cited paper concerns PINK1 stabilization on impaired mitochondria to activate Parkin. From the title alone, there is no evidence that this paper reports those particular mutant translocation/mitophagy phenotypes."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1208,641,0.02527,16.02,
92,sarol_2024,VALID,VALID,SUPPORTED,"The citing sentence makes a general background claim about defective mitophagy and dysfunctional mitochondria. A paper titled “PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin” is directly about the PINK1/Parkin pathway that recognizes impaired mitochondria for mitophagy, so it is a reasonable citation for this claim.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""SUPPORTED"",
  ""reasoning"": ""The citing sentence makes a general background claim about defective mitophagy and dysfunctional mitochondria. A paper titled “PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin” is directly about the PINK1/Parkin pathway that recognizes impaired mitochondria for mitophagy, so it is a reasonable citation for this claim."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1179,637,0.025005,17.342,
93,sarol_2024,MISREPRESENTED,VALID,SUPPORTED,"The citation is reasonable because the cited paper is directly about impaired mitochondria and activation of Parkin in the PINK1/Parkin mitophagy pathway, which is the pathway underlying Parkin-mediated degradation of damaged mitochondria. Although the title does not explicitly mention ubiquitination-dependent autophagy, it is topically and mechanistically aligned with the claim.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{""classification"":""SUPPORTED"",""reasoning"":""The citation is reasonable because the cited paper is directly about impaired mitochondria and activation of Parkin in the PINK1/Parkin mitophagy pathway, which is the pathway underlying Parkin-mediated degradation of damaged mitochondria. Although the title does not explicitly mention ubiquitination-dependent autophagy, it is topically and mechanistically aligned with the claim."",""evidence_quote"":""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""}",1184,628,0.02476,13.041,
94,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The title supports the general idea that PINK1 stabilization on impaired mitochondria activates Parkin, but it does not establish the more specific claim that experimentally stabilized PINK1 on the mitochondrial outer membrane recruits Parkin in the absence of mitochondrial uncoupling. With only the available title, this specific factual claim is not sufficiently supported.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The title supports the general idea that PINK1 stabilization on impaired mitochondria activates Parkin, but it does not establish the more specific claim that experimentally stabilized PINK1 on the mitochondrial outer membrane recruits Parkin in the absence of mitochondrial uncoupling. With only the available title, this specific factual claim is not sufficiently supported."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1180,634,0.02492,15.703,
95,sarol_2024,VALID,MISREPRESENTED,NOT_SUPPORTED,"The citing sentence appears to cite the paper as a source for M17 neuroblastoma cells carrying control or PINK1 shRNA. The available information only shows that the paper concerns PINK1 stabilization on impaired mitochondria and Parkin activation, not that it introduces or describes these specific shRNA M17 cell lines.",PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin,"{
  ""classification"": ""NOT_SUPPORTED"",
  ""reasoning"": ""The citing sentence appears to cite the paper as a source for M17 neuroblastoma cells carrying control or PINK1 shRNA. The available information only shows that the paper concerns PINK1 stabilization on impaired mitochondria and Parkin activation, not that it introduces or describes these specific shRNA M17 cell lines."",
  ""evidence_quote"": ""PINK1 Is Selectively Stabilized on Impaired Mitochondria to Activate Parkin""
}",1177,632,0.024845,15.772,
